core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
CORE01,CORE03,chr22p,0.0,,,
CORE01,CORE03,chr22q,-0.22268908,0.30195147,0.39988168,lower_in_core_a
CORE01,CORE03,locus::VHL,-0.61344538,0.00400421,0.05517698,lower_in_core_a
CORE01,CORE03,locus::SETD2,-0.52941176,0.01310555,0.05517698,lower_in_core_a
CORE01,CORE03,locus::PBRM1,-0.52941176,0.01310555,0.05517698,lower_in_core_a
CORE01,CORE03,locus::BAP1,-0.52941176,0.01310555,0.05517698,lower_in_core_a
CORE01,CORE03,locus::JAK2,0.34453782,0.10791942,0.17626839,higher_in_core_a
CORE01,CORE03,locus::CDKN2A,0.35294118,0.09949441,0.16811124,higher_in_core_a
CORE01,CORE03,locus::PTEN,-0.35714286,0.09541641,0.16697872,higher_in_core_a
CORE01,CORE03,fga,-0.50420168,0.01818618,0.05569518,lower_in_core_a
CORE01,CORE03,gain_burden,-0.18487395,0.39342339,0.48194365,lower_in_core_a
CORE01,CORE03,loss_burden,-0.42016807,0.04943005,0.1053075,lower_in_core_a
CORE01,CORE04,chr1p,-0.32941176,0.16735116,0.27334023,lower_in_core_a
CORE01,CORE04,chr1q,-0.38823529,0.10271879,0.18641558,lower_in_core_a
CORE01,CORE04,chr2p,-0.70588235,0.00281293,0.01378336,lower_in_core_a
CORE01,CORE04,chr2q,-0.62352941,0.00837887,0.02932604,lower_in_core_a
CORE01,CORE04,chr3p,-0.02352941,0.93996451,0.93996451,higher_in_core_a
CORE01,CORE04,chr3q,-0.30588235,0.2004235,0.31679844,lower_in_core_a
CORE01,CORE04,chr4p,0.25882353,0.28036162,0.41629453,higher_in_core_a
CORE01,CORE04,chr4q,0.09411765,0.70649145,0.8334586,higher_in_core_a
CORE01,CORE04,chr5p,-0.41176471,0.08323213,0.15686055,lower_in_core_a
CORE01,CORE04,chr5q,-0.17647059,0.4665892,0.61791543,lower_in_core_a
CORE01,CORE04,chr6p,0.24705882,0.30326599,0.43705981,higher_in_core_a
CORE01,CORE04,chr6q,0.2,0.40741053,0.554531,higher_in_core_a
CORE01,CORE04,chr7p,-0.64705882,0.00621106,0.02341092,lower_in_core_a
CORE01,CORE04,chr7q,-0.64705882,0.00621106,0.02341092,lower_in_core_a
CORE01,CORE04,chr8p,0.52941176,0.02546142,0.05198373,higher_in_core_a
CORE01,CORE04,chr8q,-0.05882353,0.82124544,0.85619205,higher_in_core_a
CORE01,CORE04,chr9p,0.56470588,0.01708107,0.04184862,higher_in_core_a
CORE01,CORE04,chr9q,0.6,0.0112259,0.03437932,higher_in_core_a
CORE01,CORE04,chr10p,-0.07058824,0.78243052,0.8334586,higher_in_core_a
CORE01,CORE04,chr10q,0.15294118,0.53025254,0.66621473,higher_in_core_a
CORE01,CORE04,chr11p,-0.55294118,0.01955656,0.04355779,lower_in_core_a
CORE01,CORE04,chr11q,-0.55294118,0.01955656,0.04355779,lower_in_core_a
CORE01,CORE04,chr12p,-0.96470588,4.275e-05,0.00104738,lower_in_core_a
CORE01,CORE04,chr12q,-0.85882353,0.00027243,0.00444969,lower_in_core_a
CORE01,CORE04,chr13p,0.0,,,
CORE01,CORE04,chr13q,-0.58823529,0.01294142,0.03730174,lower_in_core_a
CORE01,CORE04,chr14p,0.0,,,
CORE01,CORE04,chr14q,0.47058824,0.04733606,0.09277868,higher_in_core_a
CORE01,CORE04,chr15p,0.0,,,
CORE01,CORE04,chr15q,-0.2,0.40741053,0.554531,higher_in_core_a
CORE01,CORE04,chr16p,-0.96470588,4.275e-05,0.00104738,lower_in_core_a
CORE01,CORE04,chr16q,-0.78823529,0.00084098,0.00876524,lower_in_core_a
CORE01,CORE04,chr17p,-0.57647059,0.01488489,0.03838735,lower_in_core_a
CORE01,CORE04,chr17q,-0.75294118,0.00143106,0.00876524,lower_in_core_a
CORE01,CORE04,chr18p,0.07058824,0.78243052,0.8334586,higher_in_core_a
CORE01,CORE04,chr18q,0.03529412,0.90010864,0.9188609,higher_in_core_a
CORE01,CORE04,chr19p,-0.35294118,0.13855741,0.24247547,lower_in_core_a
CORE01,CORE04,chr19q,-0.34117647,0.15243742,0.25756668,lower_in_core_a
CORE01,CORE04,chr20p,-0.76470588,0.00119943,0.00876524,lower_in_core_a
CORE01,CORE04,chr20q,-0.75294118,0.00142865,0.00876524,lower_in_core_a
CORE01,CORE04,chr21p,0.0,,,
CORE01,CORE04,chr21q,-0.52941176,0.02546142,0.05198373,lower_in_core_a
CORE01,CORE04,chr22p,0.0,,,
CORE01,CORE04,chr22q,-0.75294118,0.00142865,0.00876524,lower_in_core_a
CORE01,CORE04,locus::VHL,-0.07058824,0.78243052,0.8334586,higher_in_core_a
CORE01,CORE04,locus::SETD2,-0.08235294,0.74414996,0.8334586,higher_in_core_a
CORE01,CORE04,locus::PBRM1,-0.08235294,0.74414996,0.8334586,higher_in_core_a
CORE01,CORE04,locus::BAP1,-0.08235294,0.74414996,0.8334586,higher_in_core_a
CORE01,CORE04,locus::JAK2,0.6,0.0112259,0.03437932,higher_in_core_a
CORE01,CORE04,locus::CDKN2A,0.57647059,0.01488489,0.03838735,higher_in_core_a
