core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
CORE02,CORE05,t_stage,,,,,,,0.11566466,0.54940714,T1B,5,14,0,9,0.35714285714285715,0.0,0.35714285714285715,11.0,0.53063704,228.02780534,,,,,,
CORE02,CORE05,t_stage,,,,,,,0.04743083,0.45059288,T2,0,14,3,9,0.0,0.3333333333333333,-0.3333333333333333,0.06403941,0.00287251,1.42768668,,,,,,
CORE02,CORE05,t_stage,,,,,,,0.16163928,0.56777494,T3A,2,14,4,9,0.14285714285714285,0.4444444444444444,-0.30158730158730157,0.24444444,0.0387112,1.54356067,,,,,,
CORE02,CORE05,t_stage,,,,,,,0.50197628,0.95584416,T3B,2,14,0,9,0.14285714285714285,0.0,0.14285714285714285,3.8,0.16260446,88.80445014,,,,,,
CORE02,CORE05,t_stage,,,,,,,1.0,1.0,T4,1,14,0,9,0.07142857142857142,0.0,0.07142857142857142,2.11111111,0.07735687,57.61337092,,,,,,
CORE02,CORE05,m_stage,,,,,,,0.55338346,0.95584416,M0,11,12,7,9,0.9166666666666666,0.7777777777777778,0.13888888888888884,2.55555556,0.27658562,23.61245008,,,,,,
CORE02,CORE05,m_stage,,,,,,,0.55338346,0.95584416,M1,1,12,2,9,0.08333333333333333,0.2222222222222222,-0.1388888888888889,0.39130435,0.04235054,3.61551693,,,,,,
CORE02,CORE05,grade,,,,,,,0.22829452,0.61965655,G2,7,14,2,9,0.5,0.2222222222222222,0.2777777777777778,3.0,0.51972004,17.31701567,,,,,,
CORE02,CORE05,grade,,,,,,,1.0,1.0,G3,4,14,2,9,0.2857142857142857,0.2222222222222222,0.06349206349206349,1.28571429,0.21086025,7.83960589,,,,,,
CORE02,CORE05,grade,,,,,,,0.17929735,0.56777494,G4,3,14,5,9,0.21428571428571427,0.5555555555555556,-0.3412698412698413,0.24901186,0.04426209,1.4009032,,,,,,
CORE02,CORE05,overall_survival,,,,,,,0.88565174,0.9703412,,,,,,,,,,,,14,9,3,3,521.0,1218.0
CORE02,CORE06,age,14,5,58.5,57.0,0.04897375,0.04897375,1.0,1.0,,,,,,,,,,,,,,,,,
CORE02,CORE06,gender,,,,,,,0.12796698,0.54166666,FEMALE,6,14,0,5,0.42857142857142855,0.0,0.42857142857142855,8.41176471,0.3905003,181.19777461,,,,,,
CORE02,CORE06,gender,,,,,,,0.12796698,0.54166666,MALE,8,14,5,5,0.5714285714285714,1.0,-0.4285714285714286,0.11888112,0.00551883,2.56081749,,,,,,
CORE02,CORE06,stage_group,,,,,,,1.0,1.0,I,9,14,3,5,0.6428571428571429,0.6,0.04285714285714293,1.23376623,0.17851468,8.52691264,,,,,,
CORE02,CORE06,stage_group,,,,,,,0.53044376,0.90175439,III,3,14,0,5,0.21428571428571427,0.0,0.21428571428571427,3.34782609,0.14597623,76.77920945,,,,,,
CORE02,CORE06,stage_group,,,,,,,0.27218782,0.57839912,IV,2,14,2,5,0.14285714285714285,0.4,-0.2571428571428572,0.28,0.03373757,2.32381913,,,,,,
CORE02,CORE06,t_stage,,,,,,,0.53044376,0.90175439,T1A,4,14,0,5,0.2857142857142857,0.0,0.2857142857142857,4.71428571,0.21267556,104.49950101,,,,,,
CORE02,CORE06,t_stage,,,,,,,0.60268318,0.93141946,T1B,5,14,3,5,0.35714285714285715,0.6,-0.24285714285714283,0.41353383,0.05983456,2.85805105,,,,,,
CORE02,CORE06,t_stage,,,,,,,0.26315789,0.57839912,T2,0,14,1,5,0.0,0.2,-0.2,0.10344828,0.00355439,3.01079927,,,,,,
CORE02,CORE06,t_stage,,,,,,,1.0,1.0,T3A,2,14,1,5,0.14285714285714285,0.2,-0.05714285714285716,0.6,0.06056632,5.94389754,,,,,,
CORE02,CORE06,t_stage,,,,,,,1.0,1.0,T3B,2,14,0,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,,,,,,
CORE02,CORE06,t_stage,,,,,,,1.0,1.0,T4,1,14,0,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,,,,,,
CORE02,CORE06,m_stage,,,,,,,0.19117647,0.54166666,M0,11,12,3,5,0.9166666666666666,0.6,0.31666666666666665,5.47619048,0.52149834,57.50480822,,,,,,
CORE02,CORE06,m_stage,,,,,,,0.19117647,0.54166666,M1,1,12,2,5,0.08333333333333333,0.4,-0.3166666666666667,0.1826087,0.01738985,1.91755164,,,,,,
CORE02,CORE06,grade,,,,,,,0.10603715,0.54166666,G2,7,14,0,5,0.5,0.0,0.5,11.0,0.51219943,236.23610653,,,,,,
