core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
CORE03,mutation::FLG,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,FLG,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE03,mutation::KDM5C,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,KDM5C,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE03,mutation::KMT2C,1.0,1.0,2.03448276,0.07900557,52.39022903,-0.011235955056179775,KMT2C,0,14,1,89,0.0,0.011235955056179775,-0.011235955056179775
CORE03,mutation::LYST,1.0,1.0,1.70707071,0.2567029,11.35199639,0.01524879614767255,LYST,1,14,5,89,0.07142857142857142,0.056179775280898875,0.01524879614767255
CORE03,mutation::MTOR,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,MTOR,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE03,mutation::MUC16,1.0,0.5942844,0.3306288,0.018076,6.04754497,-0.0898876404494382,MUC16,0,14,8,89,0.0,0.0898876404494382,-0.0898876404494382
CORE03,mutation::PBRM1,0.00899591,0.00081781,0.04408555,0.00255056,0.76200302,-0.43820224719101125,PBRM1,0,14,39,89,0.0,0.43820224719101125,-0.43820224719101125
CORE03,mutation::PIK3CA,1.0,1.0,0.65517241,0.03346662,12.82624075,-0.0449438202247191,PIK3CA,0,14,4,89,0.0,0.0449438202247191,-0.0449438202247191
CORE03,mutation::PTEN,1.0,1.0,0.52978056,0.02777762,10.10408562,-0.056179775280898875,PTEN,0,14,5,89,0.0,0.056179775280898875,-0.056179775280898875
CORE03,mutation::SETD2,1.0,1.0,0.44297082,0.02365228,8.29616267,-0.06741573033707865,SETD2,0,14,6,89,0.0,0.06741573033707865,-0.06741573033707865
CORE03,mutation::SPTA1,0.17478257,0.03177865,7.52173913,1.51215101,37.41462285,0.18057784911717495,SPTA1,3,14,3,89,0.21428571428571427,0.033707865168539325,0.18057784911717495
CORE03,mutation::TP53,1.0,1.0,0.85221675,0.04179821,17.37570721,-0.033707865168539325,TP53,0,14,3,89,0.0,0.033707865168539325,-0.033707865168539325
