core_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
CORE02,chr7q,14,89,0.16466687,0.02947043,0.19679919,0.08280149,0.82941536,0.00779566,0.04244304,0.44462279,higher_in_core
CORE02,chr8p,14,89,-0.0046146,-0.01388635,-0.09170088,-0.09852391,0.03636693,0.76913594,0.8727213,0.04975923,higher_in_core
CORE02,chr8q,14,89,0.0075,0.0128,-0.00623935,0.00711218,-0.09575976,0.7398916,0.8727213,-0.05617978,lower_in_core
CORE02,chr9p,14,89,0.02410615,-0.0163,0.01121983,-0.08402098,0.58715644,0.01838993,0.07509221,0.394061,higher_in_core
CORE02,chr9q,14,89,0.03966317,-0.0161,0.03466966,-0.09322043,0.8260372,0.00126525,0.01033288,0.53852327,higher_in_core
CORE02,chr10p,14,89,0.00494966,0.0057,-0.06300158,-0.00407835,-0.58017105,0.58664342,0.7945382,-0.09149278,lower_in_core
CORE02,chr10q,14,89,-0.00191444,-0.0032306,-0.06196186,-0.02859151,-0.29790496,0.8511507,0.8727213,-0.03210273,lower_in_core
CORE02,chr11p,14,89,0.04775608,0.0153,0.07900173,0.02511934,1.03471566,0.00736133,0.04244304,0.44783307,higher_in_core
CORE02,chr11q,14,89,0.04015,0.01220703,0.05565016,0.01676571,0.61793337,0.04279884,0.12623351,0.33868379,higher_in_core
CORE02,chr12p,14,89,0.0768199,0.032,0.12675139,0.07023756,0.51936807,0.04086333,0.12623351,0.34189406,higher_in_core
CORE02,chr12q,14,89,0.07549594,0.0329,0.12085285,0.07085292,0.49851625,0.07582088,0.20640128,0.29695024,higher_in_core
CORE02,chr13p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr13q,14,89,0.00238806,0.00813583,-0.06079655,-0.00430988,-0.58382207,0.50361731,0.7945382,-0.11235955,lower_in_core
CORE02,chr14p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr14q,14,89,-0.00159089,-0.12212292,-0.05522585,-0.16123004,0.54071989,0.08584714,0.22139526,0.28731942,higher_in_core
CORE02,chr15p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr15q,14,89,0.035,0.01176597,0.05143194,0.00452327,0.59255092,0.18899548,0.40264254,0.21990369,higher_in_core
CORE02,chr16p,14,89,0.0405,0.0381,0.0390369,0.08120966,-0.38997621,0.58003872,0.7945382,-0.09309791,lower_in_core
CORE02,chr16q,14,89,0.03875921,0.0366,0.03902243,0.07318751,-0.32225234,0.77650127,0.8727213,-0.04815409,lower_in_core
CORE02,chr17p,14,89,0.00886725,0.0138,-0.05201989,0.01239852,-0.74661874,0.41063343,0.74522363,-0.13804173,lower_in_core
CORE02,chr17q,14,89,0.0191,0.0201,-0.01439468,0.02939207,-0.55504968,0.78388554,0.8727213,-0.04654896,lower_in_core
CORE02,chr18p,14,89,0.01725,0.0169,-0.02062371,-0.01778632,-0.02293054,0.66848179,0.86198968,0.07223114,higher_in_core
CORE02,chr18q,14,89,0.01799121,0.01625832,0.00245952,-0.01817674,0.15808236,0.59995742,0.7945382,0.0882825,higher_in_core
CORE02,chr19p,14,89,0.02098036,0.0164,0.02882022,0.02379614,0.07965326,0.97696877,0.97696877,0.00561798,higher_in_core
CORE02,chr19q,14,89,0.0315,0.02,0.05268819,0.03586097,0.22516162,0.43005449,0.75259536,0.13242376,higher_in_core
CORE02,chr20p,14,89,0.06168492,0.0302,0.12891802,0.04974256,0.63786128,0.0380989,0.12623351,0.34670947,higher_in_core
CORE02,chr20q,14,89,0.06758899,0.03295765,0.11700108,0.0759823,0.34460942,0.11787345,0.26254082,0.26163724,higher_in_core
CORE02,chr21p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr21q,14,89,0.02075,0.0162,-0.03351779,0.02223007,-0.38342298,0.74716886,0.8727213,-0.05457464,lower_in_core
CORE02,chr22p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr22q,14,89,0.03404897,0.0205,-0.00101328,0.01959306,-0.22146423,0.76913532,0.8727213,0.04975923,higher_in_core
CORE02,locus::VHL,14,89,-0.1489,-0.3836,-0.11503571,-0.38712472,1.46964903,0.00014686,0.00370097,0.63402889,higher_in_core
CORE02,locus::SETD2,14,89,-0.21515,-0.38,-0.13273571,-0.39536741,1.4726619,0.0002414,0.00370097,0.61316212,higher_in_core
CORE02,locus::PBRM1,14,89,-0.21515,-0.38,-0.13288571,-0.40094813,1.3546802,0.00026024,0.00370097,0.60995185,higher_in_core
CORE02,locus::BAP1,14,89,-0.21515,-0.38,-0.13288571,-0.39160899,1.39213429,0.00030212,0.00370097,0.6035313,higher_in_core
CORE02,locus::JAK2,14,89,0.03905,-0.0161,0.05910714,-0.08169455,0.78271206,0.00413458,0.02894206,0.47913323,higher_in_core
CORE02,locus::CDKN2A,14,89,0.0241,-0.0169,-0.05292143,-0.10261011,0.24067805,0.02822977,0.10640452,0.36677368,higher_in_core
CORE02,locus::PTEN,14,89,-0.00195,-0.0012,-0.08255138,-0.03448399,-0.37978815,0.8210889,0.8727213,-0.03852327,lower_in_core
CORE02,fga,14,89,0.14646365,0.12594242,0.26260137,0.15425529,0.72623799,0.49750008,0.7945382,0.11396469,higher_in_core
CORE02,gain_burden,14,89,0.04443834,0.04625013,0.10711168,0.06885581,0.43841084,0.85491066,0.8727213,-0.03130016,lower_in_core
CORE02,loss_burden,14,89,0.12831548,0.07120195,0.1554897,0.08539948,0.8777312,0.11787547,0.26254082,0.26163724,higher_in_core
CORE03,chr1p,14,89,0.01657987,0.0044,-0.00242828,-0.02307123,0.1800523,0.23465255,0.57634473,0.19903692,higher_in_core
CORE03,chr1q,14,89,0.05401652,0.0144,0.07860501,0.02293322,0.51649447,0.01768667,0.25617666,0.3964687,higher_in_core
CORE03,chr2p,14,89,0.04028821,0.0291,0.05306607,0.0424461,0.10881673,0.26224521,0.57634473,0.18780096,higher_in_core
CORE03,chr2q,14,89,0.03383303,0.0198,0.03799675,0.02826331,0.09855422,0.63040264,0.81573222,0.08105939,higher_in_core
CORE03,chr3p,14,89,-0.27527974,-0.33246993,-0.28182062,-0.30878638,0.15079602,0.26224914,0.57634473,0.18780096,higher_in_core
CORE03,chr3q,14,89,0.0244055,0.0162,0.01252077,-0.00976114,0.15042422,0.87384132,0.92685809,0.02728732,higher_in_core
CORE03,chr4p,14,89,0.02469106,0.0092,0.0240905,-0.00845339,0.31436886,0.13963552,0.4561427,0.24719101,higher_in_core
CORE03,chr4q,14,89,0.01526915,0.01029436,0.01384905,-0.00139426,0.16571958,0.47938147,0.81573222,0.1187801,higher_in_core
