core_a,core_b,feature,effect_size,smd_a_vs_b,p_value,q_value,feature_family,medical_imaging_domain,interpretation
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Idmn,-0.34260648,-0.34260648,0.23775947,0.62388909,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Idn,-0.30847655,-0.30847655,0.42305918,0.77606635,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Imc1,-0.55570846,-0.55570846,0.04298094,0.29614916,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_Imc2,0.6196612,0.6196612,0.04298094,0.29614916,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_InverseVariance,-0.10546491,-0.10546491,0.80027834,0.99439454,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_JointAverage,-0.43550974,-0.43550974,0.20589481,0.61065915,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_JointEnergy,-0.09855995,-0.09855995,0.28228774,0.65770133,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_JointEntropy,0.25484835,0.25484835,0.30158994,0.66932759,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_MCC,0.54039853,0.54039853,0.05777494,0.3667735,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_MaximumProbability,-0.00437437,-0.00437437,0.4353656,0.78463019,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_SumAverage,-0.43550974,-0.43550974,0.20589481,0.61065915,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_SumEntropy,0.32367584,0.32367584,0.22948452,0.62037681,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glcm_SumSquares,0.35440051,0.35440051,0.25493637,0.62625674,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.40833197,0.40833197,0.08014834,0.40252277,gldm,gray-level dependence texture,gray-level dependence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,-0.75797467,-0.75797467,0.01533127,0.22355153,gldm,gray-level dependence texture,gray-level dependence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,-0.54122683,-0.54122683,0.02279327,0.22593329,gldm,gray-level dependence texture,gray-level dependence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.63401626,0.63401626,0.01720519,0.22355153,gldm,gray-level dependence texture,gray-level dependence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,-0.75780748,-0.75780748,0.01533127,0.22355153,gldm,gray-level dependence texture,gray-level dependence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.36228879,0.36228879,0.28228774,0.65770133,gldm,gray-level dependence texture,gray-level dependence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,-0.4237429,-0.4237429,0.22948452,0.62037681,gldm,gray-level dependence texture,gray-level dependence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,-0.31875152,-0.31875152,0.24624295,0.62388909,gldm,gray-level dependence texture,gray-level dependence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,-0.44131519,-0.44131519,0.11873959,0.47580048,gldm,gray-level dependence texture,gray-level dependence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.17506341,0.17506341,0.25493637,0.62625674,gldm,gray-level dependence texture,gray-level dependence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,0.4079517,0.4079517,0.10910026,0.45660479,gldm,gray-level dependence texture,gray-level dependence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.26456127,0.26456127,0.18411825,0.59186954,gldm,gray-level dependence texture,gray-level dependence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,-0.22672613,-0.22672613,0.65796316,0.94472474,gldm,gray-level dependence texture,gray-level dependence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.5207565,0.5207565,0.06356235,0.36833567,gldm,gray-level dependence texture,gray-level dependence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,-0.76136537,-0.76136537,0.01533127,0.22355153,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,-0.28218376,-0.28218376,0.31156311,0.66932759,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,0.35090662,0.35090662,0.27295777,0.64662952,glrlm,gray-level run-length texture,gray-level run-length texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,-0.42957046,-0.42957046,0.17057901,0.57884169,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,-0.44614983,-0.44614983,0.15168861,0.54071965,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,-0.45859565,-0.45859565,0.06663099,0.38219806,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,-0.059518,-0.059518,0.46058831,0.80817514,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.42703245,0.42703245,0.10910026,0.45660479,glrlm,gray-level run-length texture,gray-level run-length texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_RunEntropy,-0.07840434,-0.07840434,0.38738362,0.74193812,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,-0.68860829,-0.68860829,0.02279327,0.22593329,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.37130412,0.37130412,0.12903422,0.49764051,glrlm,gray-level run-length texture,gray-level run-length texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_RunPercentage,0.35792544,0.35792544,0.1911791,0.59186954,glrlm,gray-level run-length texture,gray-level run-length texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_RunVariance,-0.426693,-0.426693,0.21355395,0.61403553,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.42162248,0.42162248,0.12903422,0.49764051,glrlm,gray-level run-length texture,gray-level run-length texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,-0.35519411,-0.35519411,0.35360543,0.71225336,glrlm,gray-level run-length texture,gray-level run-length texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.52180744,0.52180744,0.06356235,0.36833567,glrlm,gray-level run-length texture,gray-level run-length texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,-0.5353653,-0.5353653,0.01011031,0.22355153,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,-0.6467713,-0.6467713,0.06356235,0.36833567,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.1331005,0.1331005,0.83302585,0.99439454,glszm,gray-level zone-size texture,gray-level zone-size texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,-0.3606872,-0.3606872,0.4353656,0.78463019,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,-0.59749184,-0.59749184,0.05504967,0.35750648,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,-0.59551889,-0.59551889,0.02833959,0.24633644,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,-0.61366434,-0.61366434,0.10910026,0.45660479,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.26415469,0.26415469,0.13443512,0.50637229,glszm,gray-level zone-size texture,gray-level zone-size texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,-0.5222663,-0.5222663,0.01821536,0.22355153,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.0660974,0.0660974,0.80027834,0.99439454,glszm,gray-level zone-size texture,gray-level zone-size texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.01860312,0.01860312,0.83302585,0.99439454,glszm,gray-level zone-size texture,gray-level zone-size texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,-0.34755358,-0.34755358,0.47349985,0.81812665,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.30625242,0.30625242,0.30158994,0.66932759,glszm,gray-level zone-size texture,gray-level zone-size texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_ZoneEntropy,-0.10005184,-0.10005184,0.88267764,0.99439454,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.20395517,0.20395517,0.38738362,0.74193812,glszm,gray-level zone-size texture,gray-level zone-size texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_glszm_ZoneVariance,-0.5974677,-0.5974677,0.05504967,0.35750648,glszm,gray-level zone-size texture,gray-level zone-size texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_ngtdm_Busyness,-0.79089846,-0.79089846,0.02685387,0.23893601,ngtdm,neighboring gray-tone texture,neighboring gray-tone texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.25338774,0.25338774,0.01363942,0.22355153,ngtdm,neighboring gray-tone texture,neighboring gray-tone texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_ngtdm_Complexity,-0.28145946,-0.28145946,0.28228774,0.65770133,ngtdm,neighboring gray-tone texture,neighboring gray-tone texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_ngtdm_Contrast,0.44393076,0.44393076,0.10910026,0.45660479,ngtdm,neighboring gray-tone texture,neighboring gray-tone texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-1-0-mm-3D_ngtdm_Strength,0.30937282,0.30937282,0.02833959,0.24633644,ngtdm,neighboring gray-tone texture,neighboring gray-tone texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_10Percentile,-0.35618204,-0.35618204,0.24624295,0.62388909,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.43701636,0.43701636,0.06356235,0.36833567,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Energy,-0.33490059,-0.33490059,0.14575935,0.52960793,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Entropy,0.38585501,0.38585501,0.1911791,0.59186954,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.51008675,0.51008675,0.09168427,0.41944626,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Kurtosis,-0.41145454,-0.41145454,0.18411825,0.59186954,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Maximum,0.09726861,0.09726861,0.62775327,0.91767296,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Mean,-0.12218008,-0.12218008,0.84951274,0.99439454,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.46638191,0.46638191,0.12380341,0.48744897,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Median,-0.17031928,-0.17031928,0.81661207,0.99439454,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Minimum,0.19817277,0.19817277,0.48660798,0.82438833,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Range,-0.07389853,-0.07389853,0.98318005,1.0,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.48632693,0.48632693,0.11873959,0.47580048,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.50180069,0.50180069,0.12380341,0.48744897,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
