state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_B,locus::JAK2,19,40,-0.0593,0.00825,-0.05250607,-0.0326825,-0.10032243,0.13772246,0.24994076,-0.24210526,lower_in_core
STATE_B,locus::CDKN2A,19,40,-0.0832,0.00725,-0.18304737,-0.0486,-0.59715462,0.02680661,0.13135239,-0.36052632,lower_in_core
STATE_B,locus::PTEN,19,40,-0.0429,0.00255,-0.11662207,-0.01635368,-0.78607745,0.00228954,0.06507102,-0.49605263,lower_in_core
STATE_B,fga,19,40,0.17732353,0.0996736,0.21872605,0.14403478,0.42977954,0.01529952,0.11682261,0.39473684,higher_in_core
STATE_B,gain_burden,19,40,0.1155957,0.03472949,0.10437808,0.05845854,0.48940221,0.01786196,0.11682261,0.38552632,higher_in_core
STATE_B,loss_burden,19,40,0.10166401,0.06164759,0.11434796,0.08557624,0.30120384,0.12133015,0.23780709,0.25263158,higher_in_core
STATE_C,chr1p,11,48,0.01240818,0.00541392,0.00717589,-0.04750624,0.38732025,0.27148647,0.45744389,0.21590909,higher_in_core
STATE_C,chr1q,11,48,0.081,0.01004771,0.0900182,-0.00437685,0.84078829,0.00047662,0.02335438,0.68181818,higher_in_core
STATE_C,chr2p,11,48,0.0571,0.01265,0.06323735,0.01746522,0.50397709,0.01048786,0.16925029,0.5,higher_in_core
STATE_C,chr2q,11,48,0.04369408,0.0120202,0.04421695,0.01073997,0.35399455,0.20934584,0.43870843,0.24621212,higher_in_core
STATE_C,chr3p,11,48,-0.30223612,-0.3220028,-0.28247608,-0.2826952,0.00111357,0.74811126,0.81461004,0.06439394,higher_in_core
STATE_C,chr3q,11,48,0.04344037,0.01614164,-0.0118395,-0.00091913,-0.07052594,0.47746834,0.61568286,0.14015152,higher_in_core
STATE_C,chr4p,11,48,0.02,0.01018492,-0.00256557,0.00821385,-0.12237047,0.60602515,0.74238081,0.10227273,higher_in_core
STATE_C,chr4q,11,48,0.0184,0.00974718,0.03539923,0.00549152,0.36620403,0.28006769,0.45744389,0.21212121,higher_in_core
STATE_C,chr5p,11,48,0.04900197,0.04705,0.06598629,0.13205976,-0.43220795,0.67562312,0.78433751,-0.08333333,lower_in_core
STATE_C,chr5q,11,48,0.12516695,0.15592555,0.15438698,0.17937323,-0.16395083,0.70430307,0.78433751,-0.07575758,lower_in_core
STATE_C,chr6p,11,48,0.0165,0.00858054,-0.03590748,-0.0370762,0.00914387,0.41926753,0.55524619,0.15909091,higher_in_core
STATE_C,chr6q,11,48,-0.0556,0.00545489,-0.11862124,-0.03927051,-0.60657087,0.05046768,0.34340539,-0.38257576,lower_in_core
STATE_C,chr7p,11,48,0.0904,0.02485,0.09217257,0.08990214,0.01713935,0.18247292,0.43870843,0.26136364,higher_in_core
STATE_C,chr7q,11,48,0.0478,0.01512471,0.08202034,0.08994607,-0.05387239,0.22383083,0.43870843,0.23863636,higher_in_core
STATE_C,chr8p,11,48,-0.0092,0.00084035,-0.05895202,-0.07005789,0.06534184,0.82289603,0.87656316,-0.04545455,lower_in_core
STATE_C,chr8q,11,48,0.02875602,0.0126,0.04422953,0.02027273,0.19736523,0.41926753,0.55524619,0.15909091,higher_in_core
STATE_C,chr9p,11,48,-0.1217,0.00295,-0.15078288,-0.03323581,-0.73693661,0.12179896,0.43870843,-0.3030303,lower_in_core
STATE_C,chr9q,11,48,-0.1217,0.00556814,-0.18523588,-0.03599311,-1.00174473,0.01381635,0.16925029,-0.48106061,lower_in_core
STATE_C,chr10p,11,48,0.02924962,0.0011,0.03231485,-0.02882663,0.57069014,0.05774996,0.34340539,0.37121212,higher_in_core
STATE_C,chr10q,11,48,0.00988389,-0.00468947,-0.01938335,-0.0462228,0.22784346,0.33535062,0.49750196,0.18939394,higher_in_core
STATE_C,chr11p,11,48,0.03365527,0.01239211,0.04504768,0.03310112,0.21114007,0.1640536,0.43870843,0.27272727,higher_in_core
STATE_C,chr11q,11,48,0.03087365,0.01210351,0.03359866,0.01772007,0.22808587,0.20238287,0.43870843,0.25,higher_in_core
STATE_C,chr12p,11,48,0.053,0.0249,0.06623591,0.07804898,-0.10095769,0.34519839,0.49750196,0.18560606,higher_in_core
STATE_C,chr12q,11,48,0.053,0.0272,0.06613781,0.07782647,-0.1153521,0.51439963,0.64629697,0.12878788,higher_in_core
STATE_C,chr13p,11,48,0.0,0.0,0.0,0.0,,,,0.0,
