gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
CHPT1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CHRNA1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CLDN10,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CLIC6,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CLPTM1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CNTN5,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CNTN6,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CNTNAP2,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
COL11A2,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
COL13A1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
COL22A1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
COX11,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CPLANE1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CREBRF,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CRELD1,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
CRYGA,False,1,18,0,85,14.657142857142857,True,estimated,0.17475728155339806,1.0,,0.5730470518599718,374.8938870506387
