feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
log-sigma-1-0-mm-3D_glcm_ClusterProminence,4,86,26;28;17;15,estimable,,7.46142145,0.05855803,0.12485014,0.05440758
log-sigma-1-0-mm-3D_glcm_ClusterShade,4,86,26;28;17;15,estimable,,9.9094262,0.01935195,0.05480627,0.0842613
log-sigma-1-0-mm-3D_glcm_ClusterTendency,4,86,26;28;17;15,estimable,,9.11403638,0.02781251,0.07224859,0.07456142
log-sigma-1-0-mm-3D_glcm_Contrast,4,86,26;28;17;15,estimable,,4.45047372,0.21675069,0.31280751,0.0176887
log-sigma-1-0-mm-3D_glcm_Correlation,4,86,26;28;17;15,estimable,,13.86227559,0.00309874,0.0168345,0.13246678
log-sigma-1-0-mm-3D_glcm_DifferenceAverage,4,86,26;28;17;15,estimable,,4.05791905,0.25527746,0.35394298,0.01290145
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy,4,86,26;28;17;15,estimable,,5.32986959,0.1491759,0.24150253,0.02841304
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,4,86,26;28;17;15,estimable,,5.16304957,0.16023986,0.25079092,0.02637865
log-sigma-1-0-mm-3D_glcm_Id,4,86,26;28;17;15,estimable,,3.96830053,0.26490751,0.36416726,0.01180854
log-sigma-1-0-mm-3D_glcm_Idm,4,86,26;28;17;15,estimable,,3.97201406,0.26450201,0.36405271,0.01185383
log-sigma-1-0-mm-3D_glcm_Idmn,4,86,26;28;17;15,estimable,,3.05649064,0.38299717,0.48549002,0.00068891
log-sigma-1-0-mm-3D_glcm_Idn,4,86,26;28;17;15,estimable,,1.23010732,0.74579276,0.79486478,0.0
log-sigma-1-0-mm-3D_glcm_Imc1,4,86,26;28;17;15,estimable,,8.70192937,0.03352798,0.08334464,0.06953572
log-sigma-1-0-mm-3D_glcm_Imc2,4,86,26;28;17;15,estimable,,13.5468837,0.00359153,0.01836848,0.12862053
log-sigma-1-0-mm-3D_glcm_InverseVariance,4,86,26;28;17;15,estimable,,3.88154462,0.27454254,0.37537668,0.01075054
log-sigma-1-0-mm-3D_glcm_JointAverage,4,86,26;28;17;15,estimable,,2.87616387,0.41111496,0.50936133,0.0
log-sigma-1-0-mm-3D_glcm_JointEnergy,4,86,26;28;17;15,estimable,,7.75530396,0.05134902,0.11223287,0.05799151
log-sigma-1-0-mm-3D_glcm_JointEntropy,4,86,26;28;17;15,estimable,,7.31233853,0.06258149,0.13097089,0.05258949
log-sigma-1-0-mm-3D_glcm_MCC,4,86,26;28;17;15,estimable,,9.31314486,0.02540456,0.06685648,0.07698957
log-sigma-1-0-mm-3D_glcm_MaximumProbability,4,86,26;28;17;15,estimable,,7.76535959,0.05111828,0.11216244,0.05811414
log-sigma-1-0-mm-3D_glcm_SumAverage,4,86,26;28;17;15,estimable,,2.87616387,0.41111496,0.50936133,0.0
log-sigma-1-0-mm-3D_glcm_SumEntropy,4,86,26;28;17;15,estimable,,9.08944739,0.02812497,0.07281999,0.07426155
log-sigma-1-0-mm-3D_glcm_SumSquares,4,86,26;28;17;15,estimable,,7.73972279,0.05170855,0.11258316,0.0578015
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,20.11190745,0.00016091,0.00296731,0.2086818
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,4,86,26;28;17;15,estimable,,8.07662738,0.04445431,0.10230829,0.06191009
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,4,86,26;28;17;15,estimable,,6.99971348,0.07190691,0.14305424,0.04877699
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,4,86,26;28;17;15,estimable,,3.19322262,0.36278267,0.46743947,0.00235637
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,4,86,26;28;17;15,estimable,,2.26460416,0.5193357,0.60624932,0.0
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,1.8019682,0.61450673,0.68480533,0.0
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,3.1223926,0.37313689,0.47697363,0.00149259
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,4,86,26;28;17;15,estimable,,2.16364555,0.53914452,0.62357555,0.0
