case_id,columns,error,exists,file_path,invalid_segment_mean_count,required_columns_present,segment_count,segment_mean_max,segment_mean_median,segment_mean_min
TCGA-B8-5551,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/f1e019e9-9f28-4ace-92b9-910814787aa0/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_A10_748542.nocnv_grch38.seg.v2.txt,0,True,103,1.5813,-0.0262,-2.0648
TCGA-B8-5553,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/05e3afe8-0a46-4024-a155-3bbc2468069f/SOOKS_p_TCGA_b90_SNP_N_GenomeWideSNP_6_E09_748442.nocnv_grch38.seg.v2.txt,0,True,63,1.3533,0.0278,-1.8908
TCGA-B8-A54D,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/197c5585-0cc3-46c8-91b1-a5532ca65292/MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_H03_1320348.nocnv_grch38.seg.v2.txt,0,True,92,0.421,0.03105,-3.1375
TCGA-B8-A54E,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/63d22873-c168-49d2-8950-3ef537f2685a/MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G01_1320326.nocnv_grch38.seg.v2.txt,0,True,58,0.3784,-0.01205,-2.4298
TCGA-B8-A54F,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/b2d0fbde-d432-4af5-a590-f48efb4748c9/MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_F12_1320472.nocnv_grch38.seg.v2.txt,0,True,91,0.4476,0.0023,-1.9046
TCGA-B8-A54G,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/60f636c8-c4bf-4faa-9737-85f59607d708/MOHEL_p_TCGA_271_274_275_N_GenomeWideSNP_6_G05_1320456.nocnv_grch38.seg.v2.txt,0,True,84,0.5801,0.0274,-3.1952
TCGA-BP-4164,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/f8933d21-2c45-4900-9f10-0d18dcaea22f/DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_E03_729416.nocnv_grch38.seg.v2.txt,0,True,94,1.8026,0.18025,-2.1278
TCGA-BP-4167,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/34747338-e770-4791-bc21-d2bd23001e5f/DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_F02_729376.nocnv_grch38.seg.v2.txt,0,True,67,1.2059,-0.012,-2.7092
TCGA-BP-4770,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/71259bfa-7519-4d29-a900-b7835c8d6119/MANIA_p_TCGASNP_b82and51R_N_GenomeWideSNP_6_B12_734844.nocnv_grch38.seg.v2.txt,0,True,164,0.9112,0.10785,-2.65
TCGA-BP-4782,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/ccc028ef-3b5c-450d-8601-e93874b39fa4/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_B11_730670.nocnv_grch38.seg.v2.txt,0,True,69,0.3209,0.0075,-2.6565
