core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
STATE_B,STATE_C,mutation::SPTA1,0.59555556,1.0,0.36507937,0.04615271,2.88786804,0.07142857142857142,0.21428571428571427,-0.14285714285714285
STATE_B,STATE_C,mutation::TP53,0.22222222,1.0,8.82608696,0.41274202,188.73729273,0.21428571428571427,0.0,0.21428571428571427
STATE_B,STATE_C,mutation::TSC1,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::TSC2,1.0,1.0,1.0,0.01855505,53.89368994,0.0,0.0,0.0
STATE_B,STATE_C,mutation::TTN,0.32592593,1.0,0.25925926,0.03452205,1.94702725,0.07142857142857142,0.2857142857142857,-0.21428571428571427
STATE_B,STATE_C,mutation::VHL,0.04074074,0.44814814,0.05956113,0.00294032,1.20651271,0.0,0.35714285714285715,-0.35714285714285715
STATE_B,STATE_D,mutation::ARID1A,1.0,1.0,0.54022989,0.02059583,14.17026576,0.0,0.041666666666666664,-0.041666666666666664
STATE_B,STATE_D,mutation::ATM,0.28307255,0.77844951,0.21182266,0.0101612,4.41570132,0.0,0.125,-0.125
STATE_B,STATE_D,mutation::BAP1,0.52204836,0.95708866,0.31034483,0.01387865,6.93971924,0.0,0.08333333333333333,-0.08333333333333333
STATE_B,STATE_D,mutation::CDKN2A,1.0,1.0,1.68965517,0.03178043,89.83309577,0.0,0.0,0.0
STATE_B,STATE_D,mutation::DST,0.27586534,0.77844951,0.15708812,0.00783502,3.14953486,0.0,0.16666666666666666,-0.16666666666666666
STATE_B,STATE_D,mutation::ELOC,0.36842105,0.90058479,5.44444444,0.20715408,143.09143826,0.07142857142857142,0.0,0.07142857142857142
STATE_B,STATE_D,mutation::FLG,0.52204836,0.95708866,0.31034483,0.01387865,6.93971924,0.0,0.08333333333333333,-0.08333333333333333
STATE_B,STATE_D,mutation::KDM5C,1.0,1.0,0.54022989,0.02059583,14.17026576,0.0,0.041666666666666664,-0.041666666666666664
STATE_B,STATE_D,mutation::KMT2C,1.0,1.0,0.54022989,0.02059583,14.17026576,0.0,0.041666666666666664,-0.041666666666666664
STATE_B,STATE_D,mutation::LYST,1.0,1.0,0.54022989,0.02059583,14.17026576,0.0,0.041666666666666664,-0.041666666666666664
STATE_B,STATE_D,mutation::MTOR,0.28307255,0.77844951,0.21182266,0.0101612,4.41570132,0.0,0.125,-0.125
STATE_B,STATE_D,mutation::MUC16,0.61612138,1.0,1.8,0.27342859,11.84952914,0.14285714285714285,0.08333333333333333,0.05952380952380952
STATE_B,STATE_D,mutation::PBRM1,4.32e-06,9.504e-05,0.01211556,0.00062939,0.23322207,0.0,0.75,-0.75
STATE_B,STATE_D,mutation::PIK3CA,0.28307255,0.77844951,0.21182266,0.0101612,4.41570132,0.0,0.125,-0.125
STATE_B,STATE_D,mutation::PTEN,0.27586534,0.77844951,0.15708812,0.00783502,3.14953486,0.0,0.16666666666666666,-0.16666666666666666
STATE_B,STATE_D,mutation::SETD2,0.52204836,0.95708866,0.31034483,0.01387865,6.93971924,0.0,0.08333333333333333,-0.08333333333333333
STATE_B,STATE_D,mutation::SPTA1,1.0,1.0,1.74074074,0.16434133,18.43832182,0.07142857142857142,0.041666666666666664,0.02976190476190476
STATE_B,STATE_D,mutation::TP53,0.04314841,0.31642167,14.91304348,0.70984933,313.30432773,0.21428571428571427,0.0,0.21428571428571427
STATE_B,STATE_D,mutation::TSC1,1.0,1.0,0.54022989,0.02059583,14.17026576,0.0,0.041666666666666664,-0.041666666666666664
STATE_B,STATE_D,mutation::TSC2,1.0,1.0,1.68965517,0.03178043,89.83309577,0.0,0.0,0.0
STATE_B,STATE_D,mutation::TTN,1.0,1.0,1.74074074,0.16434133,18.43832182,0.07142857142857142,0.041666666666666664,0.02976190476190476
STATE_B,STATE_D,mutation::VHL,1.726e-05,0.00018986,0.01477833,0.00077647,0.28127243,0.0,0.7083333333333334,-0.7083333333333334
STATE_C,STATE_D,mutation::ARID1A,1.0,1.0,1.74074074,0.16434133,18.43832182,0.07142857142857142,0.041666666666666664,0.02976190476190476
STATE_C,STATE_D,mutation::ATM,0.28307255,0.62275961,0.21182266,0.0101612,4.41570132,0.0,0.125,-0.125
STATE_C,STATE_D,mutation::BAP1,0.0001053,0.0011583,21.0,3.79503707,116.20439857,0.7142857142857143,0.08333333333333333,0.6309523809523809
STATE_C,STATE_D,mutation::CDKN2A,1.0,1.0,1.68965517,0.03178043,89.83309577,0.0,0.0,0.0
STATE_C,STATE_D,mutation::DST,0.27586534,0.62275961,0.15708812,0.00783502,3.14953486,0.0,0.16666666666666666,-0.16666666666666666
STATE_C,STATE_D,mutation::ELOC,1.0,1.0,1.68965517,0.03178043,89.83309577,0.0,0.0,0.0
STATE_C,STATE_D,mutation::FLG,1.0,1.0,1.0,0.11838921,8.44671604,0.07142857142857142,0.08333333333333333,-0.011904761904761904
STATE_C,STATE_D,mutation::KDM5C,1.0,1.0,1.74074074,0.16434133,18.43832182,0.07142857142857142,0.041666666666666664,0.02976190476190476
STATE_C,STATE_D,mutation::KMT2C,1.0,1.0,0.54022989,0.02059583,14.17026576,0.0,0.041666666666666664,-0.041666666666666664
STATE_C,STATE_D,mutation::LYST,1.0,1.0,1.74074074,0.16434133,18.43832182,0.07142857142857142,0.041666666666666664,0.02976190476190476
STATE_C,STATE_D,mutation::MTOR,0.28307255,0.62275961,0.21182266,0.0101612,4.41570132,0.0,0.125,-0.125
STATE_C,STATE_D,mutation::MUC16,0.52204836,0.95708866,0.31034483,0.01387865,6.93971924,0.0,0.08333333333333333,-0.08333333333333333
STATE_C,STATE_D,mutation::PBRM1,4.32e-06,9.504e-05,0.01211556,0.00062939,0.23322207,0.0,0.75,-0.75
STATE_C,STATE_D,mutation::PIK3CA,0.28307255,0.62275961,0.21182266,0.0101612,4.41570132,0.0,0.125,-0.125
STATE_C,STATE_D,mutation::PTEN,0.27586534,0.62275961,0.15708812,0.00783502,3.14953486,0.0,0.16666666666666666,-0.16666666666666666
STATE_C,STATE_D,mutation::SETD2,0.52204836,0.95708866,0.31034483,0.01387865,6.93971924,0.0,0.08333333333333333,-0.08333333333333333
STATE_C,STATE_D,mutation::SPTA1,0.13191086,0.58040778,4.76811594,0.6208147,36.62112004,0.21428571428571427,0.041666666666666664,0.17261904761904762
STATE_C,STATE_D,mutation::TP53,1.0,1.0,1.68965517,0.03178043,89.83309577,0.0,0.0,0.0
STATE_C,STATE_D,mutation::TSC1,1.0,1.0,0.54022989,0.02059583,14.17026576,0.0,0.041666666666666664,-0.041666666666666664
STATE_C,STATE_D,mutation::TSC2,1.0,1.0,1.68965517,0.03178043,89.83309577,0.0,0.0,0.0
STATE_C,STATE_D,mutation::TTN,0.05185061,0.28517835,6.71428571,0.92151428,48.92125254,0.2857142857142857,0.041666666666666664,0.24404761904761904
STATE_C,STATE_D,mutation::VHL,0.04683516,0.28517835,0.2481203,0.06403598,0.96139201,0.35714285714285715,0.7083333333333334,-0.3511904761904762
