state_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
STATE_C,mutation::MUC16,0.85045008,0.19328411,0.19269777,0.01047418,3.54513998,-0.14545454545454545,MUC16,0,14,8,55,0.0,0.14545454545454545,-0.14545454545454545
STATE_C,mutation::PBRM1,0.00184987,0.00016817,0.03097604,0.00176047,0.54503414,-0.5272727272727272,PBRM1,0,14,29,55,0.0,0.5272727272727272,-0.5272727272727272
STATE_C,mutation::PIK3CA,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,PIK3CA,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_C,mutation::PTEN,1.0,0.57514219,0.31661442,0.01651495,6.06993625,-0.09090909090909091,PTEN,0,14,5,55,0.0,0.09090909090909091,-0.09090909090909091
STATE_C,mutation::SETD2,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,SETD2,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_C,mutation::SPTA1,0.29245716,0.05317403,6.51304348,1.13907808,37.24041041,0.17792207792207793,SPTA1,3,14,2,55,0.21428571428571427,0.03636363636363636,0.17792207792207793
STATE_C,mutation::TP53,1.0,1.0,0.51724138,0.02524823,10.59633177,-0.05454545454545454,TP53,0,14,3,55,0.0,0.05454545454545454,-0.05454545454545454
STATE_C,mutation::TSC1,1.0,1.0,1.25287356,0.04845091,32.39757954,-0.01818181818181818,TSC1,0,14,1,55,0.0,0.01818181818181818,-0.01818181818181818
STATE_C,mutation::TSC2,1.0,1.0,3.82758621,0.07279134,201.2659316,0.0,TSC2,0,14,0,55,0.0,0.0,0.0
STATE_C,mutation::TTN,0.19985269,0.02725264,6.42857143,1.36982568,30.16918957,0.23116883116883116,TTN,4,14,3,55,0.2857142857142857,0.05454545454545454,0.23116883116883116
STATE_C,mutation::VHL,1.0,0.37762839,0.55863343,0.17275813,1.80640587,-0.1519480519480519,VHL,5,14,28,55,0.35714285714285715,0.509090909090909,-0.1519480519480519
STATE_D,mutation::ARID1A,1.0,1.0,1.89361702,0.18651297,19.22539413,0.01944444444444444,ARID1A,1,24,1,45,0.041666666666666664,0.022222222222222223,0.01944444444444444
STATE_D,mutation::ATM,0.63768116,0.33333529,2.83255814,0.51575677,15.55652992,0.08055555555555555,ATM,3,24,2,45,0.125,0.044444444444444446,0.08055555555555555
STATE_D,mutation::BAP1,0.60821225,0.19352208,0.37566138,0.08577366,1.64527741,-0.1388888888888889,BAP1,2,24,10,45,0.08333333333333333,0.2222222222222222,-0.1388888888888889
STATE_D,mutation::CDKN2A,1.0,1.0,1.85714286,0.03573552,96.5140525,0.0,CDKN2A,0,24,0,45,0.0,0.0,0.0
STATE_D,mutation::DST,0.16987461,0.04632944,6.51219512,0.95421652,44.44346185,0.14444444444444443,DST,4,24,1,45,0.16666666666666666,0.022222222222222223,0.14444444444444443
STATE_D,mutation::ELOC,1.0,1.0,0.60544218,0.02374886,15.43485891,-0.022222222222222223,ELOC,0,24,1,45,0.0,0.022222222222222223,-0.022222222222222223
STATE_D,mutation::FLG,0.63768116,0.27568042,3.2962963,0.40901245,26.56537508,0.0611111111111111,FLG,2,24,1,45,0.08333333333333333,0.022222222222222223,0.0611111111111111
STATE_D,mutation::KDM5C,0.89583473,0.65151617,0.58865248,0.08665231,3.99887478,-0.04722222222222223,KDM5C,1,24,4,45,0.041666666666666664,0.08888888888888889,-0.04722222222222223
STATE_D,mutation::KMT2C,0.63768116,0.34782609,5.80851064,0.22767464,148.18864457,0.041666666666666664,KMT2C,1,24,0,45,0.041666666666666664,0.0,0.041666666666666664
STATE_D,mutation::LYST,1.0,1.0,1.1106383,0.13798523,8.9394886,-0.002777777777777782,LYST,1,24,2,45,0.041666666666666664,0.044444444444444446,-0.002777777777777782
STATE_D,mutation::MTOR,0.16987461,0.03863038,14.81395349,0.73217197,299.72906257,0.125,MTOR,3,24,0,45,0.125,0.0,0.125
STATE_D,mutation::MUC16,0.91139159,0.70425714,0.67521368,0.14363004,3.17422115,-0.05,MUC16,2,24,6,45,0.08333333333333333,0.13333333333333333,-0.05
STATE_D,mutation::PBRM1,0.00186648,8.484e-05,8.53846154,2.7988285,26.04851474,0.5055555555555555,PBRM1,18,24,11,45,0.75,0.24444444444444444,0.5055555555555555
STATE_D,mutation::PIK3CA,0.16987461,0.03863038,14.81395349,0.73217197,299.72906257,0.125,PIK3CA,3,24,0,45,0.125,0.0,0.125
STATE_D,mutation::PTEN,0.16987461,0.04632944,6.51219512,0.95421652,44.44346185,0.14444444444444443,PTEN,4,24,1,45,0.16666666666666666,0.022222222222222223,0.14444444444444443
STATE_D,mutation::SETD2,0.63768116,0.27568042,3.2962963,0.40901245,26.56537508,0.0611111111111111,SETD2,2,24,1,45,0.08333333333333333,0.022222222222222223,0.0611111111111111
STATE_D,mutation::SPTA1,0.89583473,0.65151617,0.58865248,0.08665231,3.99887478,-0.04722222222222223,SPTA1,1,24,4,45,0.041666666666666664,0.08888888888888889,-0.04722222222222223
STATE_D,mutation::TP53,0.85880608,0.54651296,0.24781341,0.01228052,5.00072192,-0.06666666666666667,TP53,0,24,3,45,0.0,0.06666666666666667,-0.06666666666666667
STATE_D,mutation::TSC1,0.63768116,0.34782609,5.80851064,0.22767464,148.18864457,0.041666666666666664,TSC1,1,24,0,45,0.041666666666666664,0.0,0.041666666666666664
STATE_D,mutation::TSC2,1.0,1.0,1.85714286,0.03573552,96.5140525,0.0,TSC2,0,24,0,45,0.0,0.0,0.0
STATE_D,mutation::TTN,0.69036085,0.4079405,0.38788871,0.06115057,2.4604455,-0.09166666666666667,TTN,1,24,6,45,0.041666666666666664,0.13333333333333333,-0.09166666666666667
STATE_D,mutation::VHL,0.06907054,0.00627914,4.17171717,1.4652264,11.87749838,0.3527777777777778,VHL,17,24,16,45,0.7083333333333334,0.35555555555555557,0.3527777777777778
