state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_beta,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_B,HALLMARK_MITOTIC_SPINDLE,14,55,6,-0.00527894,-0.13186075,-0.01053144,-0.03614191,0.01507904,0.41422185,-0.99499184,B0;B8;BP;CJ;CZ;G6,0.54502875
STATE_B,HALLMARK_MTORC1_SIGNALING,14,55,6,-0.00049949,-0.01571184,-0.00547935,-0.02436625,0.01340755,0.56406415,-9.96997648,B0;B8;BP;CJ;CZ;G6,0.70508019
STATE_B,HALLMARK_MYC_TARGETS_V1,14,55,6,0.00152239,0.06903638,0.00203062,-0.01135028,0.01541152,0.76263594,-0.33383339,B0;B8;BP;CJ;CZ;G6,0.86663175
STATE_B,HALLMARK_MYC_TARGETS_V2,14,55,6,0.00810821,0.14890763,0.0164849,-0.01792129,0.05089109,0.34190417,-1.03311289,B0;B8;BP;CJ;CZ;G6,0.52685907
STATE_B,HALLMARK_MYOGENESIS,14,55,6,-0.02402344,-0.54124844,-0.01050186,-0.03566395,0.01466023,0.40731077,0.56284931,B0;B8;BP;CJ;CZ;G6,0.54502875
STATE_B,HALLMARK_NOTCH_SIGNALING,14,55,6,-0.04281048,-0.83625034,-0.03097821,-0.06095021,-0.0010062,0.04300567,0.27638724,B0;B8;BP;CJ;CZ;G6,0.15359168
STATE_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,14,55,6,0.02682314,0.53600506,0.02188889,-0.00951998,0.05329777,0.16856858,0.1839549,B0;B8;BP;CJ;CZ;G6,0.37047774
STATE_B,HALLMARK_P53_PATHWAY,14,55,6,-0.01286733,-0.45045699,-0.00861381,-0.02711524,0.00988761,0.35563286,0.33056704,B0;B8;BP;CJ;CZ;G6,0.52685907
STATE_B,HALLMARK_PANCREAS_BETA_CELLS,14,55,6,-0.06434843,-0.67589455,-0.06717036,-0.1298431,-0.00449762,0.03609364,-0.04385384,B0;B8;BP;CJ;CZ;G6,0.13882169
STATE_B,HALLMARK_PEROXISOME,14,55,6,-0.00841671,-0.24446945,-0.02296236,-0.043885,-0.00203972,0.03200367,-1.72818845,B0;B8;BP;CJ;CZ;G6,0.13334862
STATE_B,HALLMARK_PI3K_AKT_MTOR_SIGNALING,14,55,6,-0.0027218,-0.13275241,-0.0023604,-0.01507584,0.01035505,0.71184772,0.13278159,B0;B8;BP;CJ;CZ;G6,0.82772991
STATE_B,HALLMARK_PROTEIN_SECRETION,14,55,6,0.01387398,0.30700235,-0.00089808,-0.02746671,0.02567054,0.94634531,0.93526847,B0;B8;BP;CJ;CZ;G6,0.94634531
STATE_B,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,14,55,6,-0.01477541,-0.55514923,-0.01953816,-0.03639102,-0.00268529,0.02379324,-0.32234314,B0;B8;BP;CJ;CZ;G6,0.12819336
STATE_B,HALLMARK_SPERMATOGENESIS,14,55,6,0.04226825,1.27740648,0.04244752,0.02082792,0.06406712,0.00022032,-0.00424141,B0;B8;BP;CJ;CZ;G6,0.003672
STATE_B,HALLMARK_TGF_BETA_SIGNALING,14,55,6,-0.02686894,-0.48851897,-0.01533112,-0.04844244,0.01778021,0.35826417,0.42941119,B0;B8;BP;CJ;CZ;G6,0.52685907
STATE_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,14,55,6,-0.05307905,-0.69560922,-0.04133662,-0.08841541,0.00574218,0.08417223,0.22122543,B0;B8;BP;CJ;CZ;G6,0.22626505
STATE_B,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,14,55,6,-0.00025892,-0.00857859,0.00235553,-0.01538903,0.02010008,0.79161527,-8.097526,B0;B8;BP;CJ;CZ;G6,0.87957252
STATE_B,HALLMARK_UV_RESPONSE_DN,14,55,6,-0.00822147,-0.1493021,-0.00228688,-0.03547322,0.03089945,0.89088445,0.72184009,B0;B8;BP;CJ;CZ;G6,0.90906577
STATE_B,HALLMARK_UV_RESPONSE_UP,14,55,6,-0.00904316,-0.47743097,-0.01047963,-0.02204972,0.00109046,0.07505296,-0.15884562,B0;B8;BP;CJ;CZ;G6,0.220744
STATE_B,HALLMARK_WNT_BETA_CATENIN_SIGNALING,14,55,6,-0.02782095,-0.42474843,-0.00459874,-0.04382752,0.03463005,0.81549564,0.83470231,B0;B8;BP;CJ;CZ;G6,0.8864083
STATE_B,HALLMARK_XENOBIOTIC_METABOLISM,14,55,6,-0.03354498,-0.86246954,-0.04909965,-0.07313276,-0.02506654,0.00012915,-0.46369604,B0;B8;BP;CJ;CZ;G6,0.003672
