state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_B,chr11p,14,55,0.04775608,0.0221,0.07900173,0.02913718,0.90962513,0.01731677,0.07713834,0.41558442,higher_in_core
STATE_B,chr11q,14,55,0.04015,0.0211,0.05565016,0.02661626,0.49042863,0.10546082,0.25837901,0.28311688,higher_in_core
STATE_B,chr12p,14,55,0.0768199,0.0315,0.12675139,0.05853684,0.78630306,0.02378883,0.09713772,0.39480519,higher_in_core
STATE_B,chr12q,14,55,0.07549594,0.0329,0.12085285,0.06313675,0.65798992,0.05711626,0.14729983,0.33246753,higher_in_core
STATE_B,chr13p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr13q,14,55,0.00238806,0.01469768,-0.06079655,0.01241462,-0.75712848,0.2663058,0.52195937,-0.19480519,lower_in_core
STATE_B,chr14p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr14q,14,55,-0.00159089,-0.16066109,-0.05522585,-0.18318001,0.64773287,0.05332718,0.14516843,0.33766234,higher_in_core
STATE_B,chr15p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr15q,14,55,0.035,0.02392572,0.05143194,0.01751239,0.47448393,0.46927101,0.68956671,0.12727273,higher_in_core
STATE_B,chr16p,14,55,0.0405,0.0302,0.0390369,0.0584692,-0.20572161,0.95835077,0.97831641,0.01038961,higher_in_core
STATE_B,chr16q,14,55,0.03875921,0.0302,0.03902243,0.05262261,-0.1403632,0.74836177,0.9402494,0.05714286,higher_in_core
STATE_B,chr17p,14,55,0.00886725,0.02371828,-0.05201989,0.03165091,-1.04975128,0.1337227,0.31201963,-0.26233766,lower_in_core
STATE_B,chr17q,14,55,0.0191,0.02613022,-0.01439468,0.04000713,-0.70015007,0.34338993,0.6009401,-0.16623377,lower_in_core
STATE_B,chr18p,14,55,0.01725,0.0201,-0.02062371,-0.00948701,-0.09146554,0.88727626,0.9703017,0.02597403,higher_in_core
STATE_B,chr18q,14,55,0.01799121,0.0207,0.00245952,-0.00876475,0.08492298,0.80552913,0.95761981,0.04415584,higher_in_core
STATE_B,chr19p,14,55,0.02098036,0.0196,0.02882022,0.02223319,0.10910944,0.90498332,0.9703017,-0.02207792,lower_in_core
STATE_B,chr19q,14,55,0.0315,0.02230999,0.05268819,0.02530987,0.52124291,0.4203938,0.64372801,0.14155844,higher_in_core
STATE_B,chr20p,14,55,0.06168492,0.0312,0.12891802,0.04367006,0.75437881,0.04803679,0.13845898,0.34545455,higher_in_core
STATE_B,chr20q,14,55,0.06758899,0.0352,0.11700108,0.06750378,0.53946537,0.14990021,0.33386865,0.25194805,higher_in_core
STATE_B,chr21p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr21q,14,55,0.02075,0.021,-0.03351779,0.0298094,-0.42679513,0.60670872,0.82579798,-0.09090909,lower_in_core
STATE_B,chr22p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_B,chr22q,14,55,0.03404897,0.0259,-0.00101328,0.03538783,-0.41835979,0.91089547,0.9703017,-0.02077922,lower_in_core
STATE_B,locus::VHL,14,55,-0.1489,-0.3905,-0.11503571,-0.39667818,1.49992647,0.00018571,0.00307789,0.65194805,higher_in_core
STATE_B,locus::SETD2,14,55,-0.21515,-0.3913,-0.13273571,-0.40372726,1.52414207,0.00024919,0.00307789,0.63896104,higher_in_core
STATE_B,locus::PBRM1,14,55,-0.21515,-0.3913,-0.13288571,-0.40459455,1.51009858,0.00026411,0.00307789,0.63636364,higher_in_core
STATE_B,locus::BAP1,14,55,-0.21515,-0.3913,-0.13288571,-0.40459455,1.51009858,0.00026411,0.00307789,0.63636364,higher_in_core
STATE_B,locus::JAK2,14,55,0.03905,-0.0024,0.05910714,-0.08038,0.77380576,0.01167942,0.06494917,0.44025974,higher_in_core
STATE_B,locus::CDKN2A,14,55,0.0241,-0.0163,-0.05292143,-0.10648,0.25489887,0.04243114,0.13708932,0.35454545,higher_in_core
STATE_B,locus::PTEN,14,55,-0.00195,-0.0002,-0.08255138,-0.04711772,-0.23830574,0.82870901,0.95761981,-0.03896104,lower_in_core
STATE_B,fga,14,55,0.14646365,0.13703489,0.26260137,0.15507153,0.66725593,0.62772557,0.83131224,0.08571429,higher_in_core
STATE_B,gain_burden,14,55,0.04443834,0.04972458,0.10711168,0.0629812,0.49223366,0.84035448,0.95761981,-0.03636364,lower_in_core
STATE_B,loss_burden,14,55,0.12831548,0.07122443,0.1554897,0.09209033,0.72667078,0.20737385,0.42338828,0.22077922,higher_in_core
STATE_C,chr1p,14,55,0.01657987,0.0071,-0.00242828,-0.02603976,0.18808323,0.32107476,0.7367215,0.17402597,higher_in_core
STATE_C,chr1q,14,55,0.05401652,0.01711825,0.07860501,0.02287929,0.45463379,0.04020386,0.28142702,0.35844156,higher_in_core
STATE_C,chr2p,14,55,0.04028821,0.02860152,0.05306607,0.04108619,0.11365212,0.27934672,0.72044313,0.18961039,higher_in_core
STATE_C,chr2q,14,55,0.03383303,0.0129,0.03799675,0.02097821,0.16503769,0.47847486,0.83733101,0.12467532,higher_in_core
STATE_C,chr3p,14,55,-0.27527974,-0.3458,-0.28182062,-0.31235972,0.16121599,0.17690527,0.70716537,0.23636364,higher_in_core
STATE_C,chr3q,14,55,0.0244055,0.0159,0.01252077,-0.03506514,0.29719442,0.61717961,0.85081484,0.08831169,higher_in_core
STATE_C,chr4p,14,55,0.02469106,0.0113,0.0240905,-0.00194015,0.25495015,0.35880845,0.7367215,0.16103896,higher_in_core
STATE_C,chr4q,14,55,0.01526915,0.0113,0.01384905,0.0019577,0.12148164,0.65981559,0.85081484,0.07792208,higher_in_core
STATE_C,chr5p,14,55,0.04605099,0.0492,0.09310324,0.12673592,-0.23614954,0.77108316,0.92503483,-0.05194805,lower_in_core
STATE_C,chr5q,14,55,0.15181723,0.17385583,0.18889653,0.17120424,0.12057649,0.64904541,0.85081484,0.08051948,higher_in_core
STATE_C,chr6p,14,55,0.02478159,0.0091,-0.01100854,-0.03564122,0.20183042,0.33210684,0.7367215,0.17012987,higher_in_core
STATE_C,chr6q,14,55,-0.04934248,0.0087,-0.10358459,-0.04006513,-0.43961845,0.03877653,0.28142702,-0.36103896,lower_in_core
STATE_C,chr7p,14,55,0.04138718,0.0412,0.08891672,0.09700493,-0.06557014,0.79400268,0.92503483,0.04675325,higher_in_core
STATE_C,chr7q,14,55,0.03617687,0.0412,0.08177207,0.10863077,-0.18872486,0.88727831,0.92503483,-0.02597403,lower_in_core
STATE_C,chr8p,14,55,0.00915,-0.0099,-0.01755294,-0.10710242,0.48719469,0.13962559,0.62196854,0.25844156,higher_in_core
STATE_C,chr8q,14,55,0.03868997,0.0123,0.09111199,-0.00796523,0.67683043,0.011931,0.247063,0.43896104,higher_in_core
STATE_C,chr9p,14,55,-0.05982057,0.0002,-0.09263311,-0.05931837,-0.21104776,0.52598566,0.85081484,-0.11168831,lower_in_core
