core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
STATE_B,STATE_C,gender,,,,,,,1.0,1.0,MALE,8,14,9,14,0.5714285714285714,0.6428571428571429,-0.07142857142857151,0.75708502,0.17496987,3.2758653,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,0.0542379,0.91481481,I,9,14,3,14,0.6428571428571429,0.21428571428571427,0.4285714285714286,5.67532468,1.15501723,27.88643273,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,0.48148148,0.91481481,II,0,14,2,14,0.0,0.14285714285714285,-0.14285714285714285,0.17241379,0.00754333,3.94077011,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,0.67761675,1.0,III,3,14,5,14,0.21428571428571427,0.35714285714285715,-0.14285714285714288,0.5256917,0.10698647,2.58305332,,,,,,
STATE_B,STATE_C,stage_group,,,,,,,0.64830918,1.0,IV,2,14,4,14,0.14285714285714285,0.2857142857142857,-0.14285714285714285,0.46666667,0.0810708,2.68626665,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,0.32592593,0.91481481,T1A,4,14,1,14,0.2857142857142857,0.07142857142857142,0.21428571428571427,3.85714286,0.51360349,28.96699726,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,1.0,1.0,T1B,5,14,4,14,0.35714285714285715,0.2857142857142857,0.07142857142857145,1.35087719,0.29428974,6.20092691,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,0.48148148,0.91481481,T2,0,14,2,14,0.0,0.14285714285714285,-0.14285714285714285,0.17241379,0.00754333,3.94077011,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,1.0,1.0,T2B,0,14,1,14,0.0,0.07142857142857142,-0.07142857142857142,0.31034483,0.011615,8.29220337,,,,,,
STATE_B,STATE_C,t_stage,,,,,,,0.20869565,0.91481481,T3A,2,14,6,14,0.14285714285714285,0.42857142857142855,-0.2857142857142857,0.26153846,0.04782185,1.43035799,,,,,,
