left_run,right_run,same_initial_k,left_accepted_count,right_accepted_count,accepted_intersection_count,accepted_union_count,both_empty,accepted_coverage_jaccard,adjusted_rand_index,adjusted_mutual_information,matched_mean_jaccard,matched_mean_dice
run1_K4,run1_K8,False,73,29,22,80,False,0.275,0.5539679474802085,0.33761242681046305,0.18476190476190477,0.2520561199806483
run1_K4,run2_K2,False,73,103,73,103,False,0.7087378640776699,0.3612512719010914,0.29258021146460145,0.33123249299719887,0.42337164750957856
run1_K4,run2_K3,False,73,103,73,103,False,0.7087378640776699,0.48851925159458437,0.5336033064174508,0.5108417508417509,0.6577380952380952
run1_K4,run2_K4,True,73,73,73,73,False,1.0,1.0,1.0,1.0,1.0
run1_K4,run2_K5,False,73,82,72,83,False,0.8674698795180723,0.8620805798161404,0.8303673843810795,0.6577183600713012,0.697880414159484
run1_K4,run2_K6,False,73,65,56,82,False,0.6829268292682927,0.6134683302140174,0.6715406534740218,0.4622859025032938,0.5642533092141155
run1_K4,run2_K7,False,73,53,45,81,False,0.5555555555555556,0.66832625567433,0.6180704716582128,0.4545454545454546,0.5905683010946169
run1_K4,run2_K8,False,73,29,22,80,False,0.275,0.5539679474802085,0.33761242681046305,0.18476190476190477,0.2520561199806483
run1_K4,run3_K2,False,73,103,73,103,False,0.7087378640776699,0.3612512719010914,0.29258021146460145,0.33123249299719887,0.42337164750957856
run1_K4,run3_K3,False,73,103,73,103,False,0.7087378640776699,0.48851925159458437,0.5336033064174508,0.5108417508417509,0.6577380952380952
run1_K4,run3_K4,True,73,73,73,73,False,1.0,1.0,1.0,1.0,1.0
run1_K4,run3_K5,False,73,82,72,83,False,0.8674698795180723,0.8620805798161404,0.8303673843810795,0.6577183600713012,0.697880414159484
run1_K4,run3_K6,False,73,65,56,82,False,0.6829268292682927,0.6134683302140174,0.6715406534740218,0.4622859025032938,0.5642533092141155
run1_K4,run3_K7,False,73,53,45,81,False,0.5555555555555556,0.66832625567433,0.6180704716582128,0.4545454545454546,0.5905683010946169
run1_K4,run3_K8,False,73,29,22,80,False,0.275,0.5539679474802085,0.33761242681046305,0.18476190476190477,0.2520561199806483
run1_K5,run1_K6,False,82,65,63,84,False,0.75,0.7366904292431367,0.7995909721159173,0.6661931818181819,0.7912716574043805
run1_K5,run1_K7,False,82,53,52,83,False,0.6265060240963856,0.7293942949821298,0.7421221671608543,0.47263536096256686,0.5788853472423452
run1_K5,run1_K8,False,82,29,23,88,False,0.26136363636363635,0.6413128234209967,0.5222525013297399,0.1561624649859944,0.2165551839464883
run1_K5,run2_K2,False,82,103,82,103,False,0.7961165048543689,0.28550395540435297,0.29529768267125905,0.22730654761904762,0.2939689418562658
run1_K5,run2_K3,False,82,103,82,103,False,0.7961165048543689,0.2992493297932421,0.35869939723096245,0.3364285714285714,0.45480410574750196
run1_K5,run2_K4,False,82,73,72,83,False,0.8674698795180723,0.8620805798161404,0.8303673843810793,0.6577183600713012,0.697880414159484
run1_K5,run2_K5,True,82,82,82,82,False,1.0,1.0,1.0,1.0,1.0
run1_K5,run2_K6,False,82,65,63,84,False,0.75,0.7366904292431367,0.7995909721159173,0.6661931818181819,0.7912716574043805
run1_K5,run2_K7,False,82,53,52,83,False,0.6265060240963856,0.7293942949821298,0.7421221671608543,0.47263536096256686,0.5788853472423452
run1_K5,run2_K8,False,82,29,23,88,False,0.26136363636363635,0.6413128234209967,0.5222525013297399,0.1561624649859944,0.2165551839464883
run1_K5,run3_K2,False,82,103,82,103,False,0.7961165048543689,0.28550395540435297,0.29529768267125905,0.22730654761904762,0.2939689418562658
run1_K5,run3_K3,False,82,103,82,103,False,0.7961165048543689,0.2992493297932421,0.35869939723096245,0.3364285714285714,0.45480410574750196
run1_K5,run3_K4,False,82,73,72,83,False,0.8674698795180723,0.8620805798161404,0.8303673843810793,0.6577183600713012,0.697880414159484
run1_K5,run3_K5,True,82,82,82,82,False,1.0,1.0,1.0,1.0,1.0
run1_K5,run3_K6,False,82,65,63,84,False,0.75,0.7366904292431367,0.7995909721159173,0.6661931818181819,0.7912716574043805
run1_K5,run3_K7,False,82,53,52,83,False,0.6265060240963856,0.7293942949821298,0.7421221671608543,0.47263536096256686,0.5788853472423452
run1_K5,run3_K8,False,82,29,23,88,False,0.26136363636363635,0.6413128234209967,0.5222525013297399,0.1561624649859944,0.2165551839464883
run1_K6,run1_K7,False,65,53,48,70,False,0.6857142857142857,0.7716435558422015,0.7629989930278759,0.5612771739130435,0.640619823126131
run1_K6,run1_K8,False,65,29,19,75,False,0.25333333333333335,0.5261282660332541,0.5105155541077305,0.17386363636363636,0.24168797953964194
run1_K6,run2_K2,False,65,103,65,103,False,0.6310679611650486,0.20005805093969958,0.3250469642553761,0.14443108974358976,0.22181906144170294
run1_K6,run2_K3,False,65,103,65,103,False,0.6310679611650486,0.4010301922831754,0.5002473934726137,0.3294466403162055,0.44688846455150805
run1_K6,run2_K4,False,65,73,56,82,False,0.6829268292682927,0.6134683302140174,0.6715406534740217,0.4622859025032938,0.5642533092141155
run1_K6,run2_K5,False,65,82,63,84,False,0.75,0.7366904292431367,0.7995909721159175,0.6661931818181819,0.7912716574043805
run1_K6,run2_K6,True,65,65,65,65,False,1.0,1.0,1.0,1.0,1.0
run1_K6,run2_K7,False,65,53,48,70,False,0.6857142857142857,0.7716435558422015,0.7629989930278759,0.5612771739130435,0.640619823126131
run1_K6,run2_K8,False,65,29,19,75,False,0.25333333333333335,0.5261282660332541,0.5105155541077305,0.17386363636363636,0.24168797953964194
run1_K6,run3_K2,False,65,103,65,103,False,0.6310679611650486,0.20005805093969958,0.3250469642553761,0.14443108974358976,0.22181906144170294
run1_K6,run3_K3,False,65,103,65,103,False,0.6310679611650486,0.4010301922831754,0.5002473934726137,0.3294466403162055,0.44688846455150805
run1_K6,run3_K4,False,65,73,56,82,False,0.6829268292682927,0.6134683302140174,0.6715406534740217,0.4622859025032938,0.5642533092141155
run1_K6,run3_K5,False,65,82,63,84,False,0.75,0.7366904292431367,0.7995909721159175,0.6661931818181819,0.7912716574043805
run1_K6,run3_K6,True,65,65,65,65,False,1.0,1.0,1.0,1.0,1.0
run1_K6,run3_K7,False,65,53,48,70,False,0.6857142857142857,0.7716435558422015,0.7629989930278759,0.5612771739130435,0.640619823126131
run1_K6,run3_K8,False,65,29,19,75,False,0.25333333333333335,0.5261282660332541,0.5105155541077305,0.17386363636363636,0.24168797953964194
run1_K7,run1_K8,False,53,29,22,60,False,0.36666666666666664,0.5985711527321876,0.6425104392174649,0.31601731601731603,0.3632478632478633
run1_K7,run2_K2,False,53,103,53,103,False,0.5145631067961165,0.3556719503790489,0.4070131115912827,0.228125,0.3334788302051506
run1_K7,run2_K3,False,53,103,53,103,False,0.5145631067961165,0.3041218282838171,0.32938160025855856,0.3194139194139194,0.4484126984126984
run1_K7,run2_K4,False,53,73,45,81,False,0.5555555555555556,0.66832625567433,0.6180704716582126,0.4545454545454546,0.5905683010946169
run1_K7,run2_K5,False,53,82,52,83,False,0.6265060240963856,0.7293942949821298,0.7421221671608543,0.47263536096256686,0.5788853472423452
run1_K7,run2_K6,False,53,65,48,70,False,0.6857142857142857,0.7716435558422015,0.7629989930278758,0.5612771739130434,0.640619823126131
run1_K7,run2_K7,True,53,53,53,53,False,1.0,1.0,1.0,1.0,1.0
run1_K7,run2_K8,False,53,29,22,60,False,0.36666666666666664,0.5985711527321876,0.6425104392174649,0.31601731601731603,0.3632478632478633
run1_K7,run3_K2,False,53,103,53,103,False,0.5145631067961165,0.3556719503790489,0.4070131115912827,0.228125,0.3334788302051506
run1_K7,run3_K3,False,53,103,53,103,False,0.5145631067961165,0.3041218282838171,0.32938160025855856,0.3194139194139194,0.4484126984126984
run1_K7,run3_K4,False,53,73,45,81,False,0.5555555555555556,0.66832625567433,0.6180704716582126,0.4545454545454546,0.5905683010946169
run1_K7,run3_K5,False,53,82,52,83,False,0.6265060240963856,0.7293942949821298,0.7421221671608543,0.47263536096256686,0.5788853472423452
run1_K7,run3_K6,False,53,65,48,70,False,0.6857142857142857,0.7716435558422015,0.7629989930278758,0.5612771739130434,0.640619823126131
run1_K7,run3_K7,True,53,53,53,53,False,1.0,1.0,1.0,1.0,1.0
run1_K7,run3_K8,False,53,29,22,60,False,0.36666666666666664,0.5985711527321876,0.6425104392174649,0.31601731601731603,0.3632478632478633
run1_K8,run2_K2,False,29,103,29,103,False,0.2815533980582524,0.8610608653141041,0.7968899855227266,0.3078125,0.4453215695379614
run1_K8,run2_K3,False,29,103,29,103,False,0.2815533980582524,0.4878373875374875,0.47199497626842263,0.2530864197530864,0.34330011074197114
run1_K8,run2_K4,False,29,73,22,80,False,0.275,0.5539679474802085,0.337612426810463,0.18476190476190477,0.2520561199806483
run1_K8,run2_K5,False,29,82,23,88,False,0.26136363636363635,0.6413128234209967,0.5222525013297398,0.1561624649859944,0.2165551839464883
run1_K8,run2_K6,False,29,65,19,75,False,0.25333333333333335,0.5261282660332541,0.5105155541077304,0.17386363636363636,0.24168797953964194
run1_K8,run2_K7,False,29,53,22,60,False,0.36666666666666664,0.5985711527321876,0.6425104392174648,0.31601731601731603,0.3632478632478633
run1_K8,run2_K8,True,29,29,29,29,False,1.0,1.0,1.0,1.0,1.0
run1_K8,run3_K2,False,29,103,29,103,False,0.2815533980582524,0.8610608653141041,0.7968899855227266,0.3078125,0.4453215695379614
run1_K8,run3_K3,False,29,103,29,103,False,0.2815533980582524,0.4878373875374875,0.47199497626842263,0.2530864197530864,0.34330011074197114
run1_K8,run3_K4,False,29,73,22,80,False,0.275,0.5539679474802085,0.337612426810463,0.18476190476190477,0.2520561199806483
run1_K8,run3_K5,False,29,82,23,88,False,0.26136363636363635,0.6413128234209967,0.5222525013297398,0.1561624649859944,0.2165551839464883
run1_K8,run3_K6,False,29,65,19,75,False,0.25333333333333335,0.5261282660332541,0.5105155541077304,0.17386363636363636,0.24168797953964194
run1_K8,run3_K7,False,29,53,22,60,False,0.36666666666666664,0.5985711527321876,0.6425104392174648,0.31601731601731603,0.3632478632478633
run1_K8,run3_K8,True,29,29,29,29,False,1.0,1.0,1.0,1.0,1.0
run2_K2,run2_K3,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509322,0.3632478632478633,0.4695340501792115
run2_K2,run2_K4,False,103,73,73,103,False,0.7087378640776699,0.3612512719010914,0.29258021146460134,0.33123249299719887,0.42337164750957856
run2_K2,run2_K5,False,103,82,82,103,False,0.7961165048543689,0.28550395540435297,0.2952976826712592,0.22730654761904762,0.2939689418562658
run2_K2,run2_K6,False,103,65,65,103,False,0.6310679611650486,0.20005805093969958,0.3250469642553764,0.14443108974358976,0.22181906144170294
run2_K2,run2_K7,False,103,53,53,103,False,0.5145631067961165,0.3556719503790489,0.4070131115912825,0.228125,0.3334788302051506
run2_K2,run2_K8,False,103,29,29,103,False,0.2815533980582524,0.8610608653141041,0.7968899855227267,0.3078125,0.4453215695379614
run2_K2,run3_K2,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0
run2_K2,run3_K3,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509322,0.3632478632478633,0.4695340501792115
run2_K2,run3_K4,False,103,73,73,103,False,0.7087378640776699,0.3612512719010914,0.29258021146460134,0.33123249299719887,0.42337164750957856
run2_K2,run3_K5,False,103,82,82,103,False,0.7961165048543689,0.28550395540435297,0.2952976826712592,0.22730654761904762,0.2939689418562658
run2_K2,run3_K6,False,103,65,65,103,False,0.6310679611650486,0.20005805093969958,0.3250469642553764,0.14443108974358976,0.22181906144170294
run2_K2,run3_K7,False,103,53,53,103,False,0.5145631067961165,0.3556719503790489,0.4070131115912825,0.228125,0.3334788302051506
run2_K2,run3_K8,False,103,29,29,103,False,0.2815533980582524,0.8610608653141041,0.7968899855227267,0.3078125,0.4453215695379614
run2_K3,run2_K4,False,103,73,73,103,False,0.7087378640776699,0.48851925159458437,0.533603306417451,0.5108417508417509,0.6577380952380952
run2_K3,run2_K5,False,103,82,82,103,False,0.7961165048543689,0.2992493297932421,0.3586993972309621,0.3364285714285714,0.45480410574750196
run2_K3,run2_K6,False,103,65,65,103,False,0.6310679611650486,0.4010301922831754,0.5002473934726137,0.3294466403162055,0.44688846455150805
run2_K3,run2_K7,False,103,53,53,103,False,0.5145631067961165,0.3041218282838171,0.3293816002585588,0.31941391941391944,0.4484126984126984
run2_K3,run2_K8,False,103,29,29,103,False,0.2815533980582524,0.4878373875374875,0.4719949762684226,0.2530864197530864,0.34330011074197114
run2_K3,run3_K2,False,103,103,103,103,False,1.0,0.26477345578074696,0.3120049789509324,0.3632478632478633,0.4695340501792115
run2_K3,run3_K3,True,103,103,103,103,False,1.0,1.0,1.0,1.0,1.0
run2_K3,run3_K4,False,103,73,73,103,False,0.7087378640776699,0.48851925159458437,0.533603306417451,0.5108417508417509,0.6577380952380952
run2_K3,run3_K5,False,103,82,82,103,False,0.7961165048543689,0.2992493297932421,0.3586993972309621,0.3364285714285714,0.45480410574750196
run2_K3,run3_K6,False,103,65,65,103,False,0.6310679611650486,0.4010301922831754,0.5002473934726137,0.3294466403162055,0.44688846455150805
run2_K3,run3_K7,False,103,53,53,103,False,0.5145631067961165,0.3041218282838171,0.3293816002585588,0.31941391941391944,0.4484126984126984
run2_K3,run3_K8,False,103,29,29,103,False,0.2815533980582524,0.4878373875374875,0.4719949762684226,0.2530864197530864,0.34330011074197114
run2_K4,run2_K5,False,73,82,72,83,False,0.8674698795180723,0.8620805798161404,0.8303673843810795,0.6577183600713012,0.697880414159484
