state_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
STATE_B,HALLMARK_APICAL_JUNCTION,19,73,0.31344866,0.28464166,0.31508442,0.2810652,0.85078681,up,0.00177779,0.00740746,19,73
STATE_B,HALLMARK_APICAL_SURFACE,19,73,0.10061541,0.07800136,0.09364762,0.07821746,0.31174821,up,0.23169503,0.34072799,19,73
STATE_B,HALLMARK_APOPTOSIS,19,73,0.45251839,0.42859698,0.45290359,0.42707645,0.73914651,up,0.00287905,0.01028232,19,73
STATE_B,HALLMARK_BILE_ACID_METABOLISM,19,73,0.13262841,0.18876088,0.12355219,0.18346172,-1.2317574,down,0.00044668,0.00279175,19,73
STATE_B,HALLMARK_CHOLESTEROL_HOMEOSTASIS,19,73,0.33238303,0.32031055,0.32629664,0.32057087,0.19711459,up,0.33964137,0.43543765,19,73
STATE_B,HALLMARK_COAGULATION,19,73,0.41662547,0.36279223,0.40804372,0.35743696,1.11176793,up,1.848e-05,0.000308,19,73
STATE_B,HALLMARK_COMPLEMENT,19,73,0.32037462,0.30407547,0.31784264,0.29333674,0.49747043,up,0.05372607,0.09949272,19,73
STATE_B,HALLMARK_DNA_REPAIR,19,73,0.3121066,0.2942038,0.31918398,0.29503227,0.96205918,up,0.00061697,0.00290559,19,73
STATE_B,HALLMARK_E2F_TARGETS,19,73,0.12451847,0.09419115,0.12405711,0.09856538,0.51012983,up,0.17383872,0.271623,19,73
STATE_B,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,19,73,0.4658265,0.37976963,0.4680183,0.36979339,1.15652616,up,3.814e-05,0.0004146,19,73
STATE_B,HALLMARK_ESTROGEN_RESPONSE_EARLY,19,73,0.20792325,0.23582225,0.2141354,0.23386553,-0.57651249,down,0.02524162,0.05487309,19,73
STATE_B,HALLMARK_ESTROGEN_RESPONSE_LATE,19,73,0.2457196,0.24976917,0.23771663,0.24742703,-0.34041207,down,0.3645929,0.44462549,19,73
STATE_B,HALLMARK_FATTY_ACID_METABOLISM,19,73,0.36408982,0.42238712,0.36511587,0.42318209,-1.27962665,down,4.146e-05,0.0004146,19,73
STATE_B,HALLMARK_G2M_CHECKPOINT,19,73,0.11829827,0.09098302,0.12482188,0.09742856,0.58669343,up,0.11816524,0.19694207,19,73
STATE_B,HALLMARK_GLYCOLYSIS,19,73,0.3924002,0.39251053,0.39821838,0.3869118,0.29036295,up,0.39065939,0.4604714,19,73
STATE_B,HALLMARK_HEDGEHOG_SIGNALING,19,73,0.13695005,0.13288516,0.14342282,0.13092681,0.26761877,up,0.3960054,0.4604714,19,73
STATE_B,HALLMARK_HEME_METABOLISM,19,73,0.28713241,0.32407925,0.29165073,0.32071343,-1.13917566,down,1.848e-05,0.000308,19,73
STATE_B,HALLMARK_HYPOXIA,19,73,0.47384598,0.45939709,0.47138071,0.44735064,0.5552929,up,0.01429042,0.03402481,19,73
STATE_B,HALLMARK_IL2_STAT5_SIGNALING,19,73,0.29188236,0.27628294,0.28649079,0.26834603,0.44593375,up,0.0971212,0.16745034,19,73
STATE_B,HALLMARK_IL6_JAK_STAT3_SIGNALING,19,73,0.33439975,0.28597355,0.33337384,0.28659256,0.59793873,up,0.02927128,0.06098183,19,73
STATE_B,HALLMARK_INFLAMMATORY_RESPONSE,19,73,0.22279436,0.18663121,0.22009795,0.17682615,0.53845126,up,0.05023304,0.096602,19,73
STATE_B,HALLMARK_INTERFERON_ALPHA_RESPONSE,19,73,0.41784437,0.40460045,0.42661687,0.40662276,0.26926141,up,0.31118186,0.40944982,19,73
STATE_B,HALLMARK_INTERFERON_GAMMA_RESPONSE,19,73,0.36644859,0.34794578,0.36752071,0.34477449,0.29331486,up,0.28870298,0.39013916,19,73
STATE_B,HALLMARK_KRAS_SIGNALING_DN,19,73,-0.14879423,-0.15237857,-0.15883959,-0.1488909,-0.34272622,down,0.5627838,0.62531533,19,73
STATE_B,HALLMARK_KRAS_SIGNALING_UP,19,73,0.22698286,0.19479429,0.21773081,0.18499974,0.62200803,up,0.00799152,0.02219867,19,73
STATE_B,HALLMARK_MITOTIC_SPINDLE,19,73,0.1815634,0.17833137,0.17343822,0.17490045,-0.03613368,down,0.81693832,0.84703426,19,73
STATE_B,HALLMARK_MTORC1_SIGNALING,19,73,0.41945056,0.42588755,0.42548588,0.42435108,0.03349402,up,0.84703426,0.84703426,19,73
STATE_B,HALLMARK_MYC_TARGETS_V1,19,73,0.54745911,0.55917275,0.56246022,0.55859304,0.15592855,up,0.69963908,0.76047726,19,73
STATE_B,HALLMARK_MYC_TARGETS_V2,19,73,0.25053296,0.21634876,0.25690443,0.22469096,0.60110864,up,0.03901096,0.07802192,19,73
STATE_B,HALLMARK_MYOGENESIS,19,73,0.27779035,0.25739374,0.27977504,0.24926324,0.7908714,up,0.00846,0.02226316,19,73
STATE_B,HALLMARK_NOTCH_SIGNALING,19,73,0.33018005,0.31792777,0.32807842,0.30699995,0.43946642,up,0.07918662,0.14140468,19,73
STATE_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,19,73,0.55014959,0.58129916,0.55746206,0.58675105,-0.60726043,down,0.02524162,0.05487309,19,73
STATE_B,HALLMARK_P53_PATHWAY,19,73,0.39280549,0.37018425,0.39017514,0.37084913,0.70858671,up,0.00270286,0.01028232,19,73
STATE_B,HALLMARK_PANCREAS_BETA_CELLS,19,73,0.17412054,0.28215252,0.16349724,0.286602,-1.41580918,down,4.02e-06,0.000201,19,73
STATE_B,HALLMARK_PEROXISOME,19,73,0.31851926,0.36189531,0.32457406,0.35936052,-1.04562259,down,0.00063923,0.00290559,19,73
STATE_B,HALLMARK_PI3K_AKT_MTOR_SIGNALING,19,73,0.3173116,0.319591,0.31591908,0.31987981,-0.18712664,down,0.26320739,0.37601056,19,73
STATE_B,HALLMARK_PROTEIN_SECRETION,19,73,0.42172298,0.47247321,0.41588232,0.46193876,-0.83607707,down,7.365e-05,0.00054779,19,73
STATE_B,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,19,73,0.5177821,0.50804293,0.5116134,0.50795033,0.13939127,up,0.35951307,0.44462549,19,73
STATE_B,HALLMARK_SPERMATOGENESIS,19,73,-0.18260443,-0.17298912,-0.16882064,-0.16392561,-0.12889773,down,0.28434194,0.39013916,19,73
STATE_B,HALLMARK_TGF_BETA_SIGNALING,19,73,0.47695946,0.48065398,0.46684165,0.46527014,0.02707291,up,0.84703426,0.84703426,19,73
STATE_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,19,73,0.43056029,0.38601685,0.42931944,0.37932691,0.68676241,up,0.00515626,0.01611331,19,73
STATE_B,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,19,73,0.43510427,0.42149207,0.43217241,0.42096778,0.37040124,up,0.18960577,0.28728147,19,73
STATE_B,HALLMARK_UV_RESPONSE_DN,19,73,0.24127043,0.24696161,0.24017184,0.23735185,0.04956442,up,0.80198806,0.84703426,19,73
STATE_B,HALLMARK_UV_RESPONSE_UP,19,73,0.4053709,0.39937679,0.40345767,0.40033918,0.16403648,up,0.53704191,0.6102749,19,73
STATE_B,HALLMARK_WNT_BETA_CATENIN_SIGNALING,19,73,0.194391,0.15167284,0.18543573,0.14573124,0.66860886,up,0.0077661,0.02219867,19,73
STATE_B,HALLMARK_XENOBIOTIC_METABOLISM,19,73,0.33350907,0.34642964,0.31991878,0.34003921,-0.49528682,down,0.15067999,0.24303224,19,73
STATE_C,HALLMARK_ADIPOGENESIS,6,86,0.48329907,0.47341739,0.48127402,0.46712531,0.42442946,up,0.40697538,0.67080898,6,86
STATE_C,HALLMARK_ALLOGRAFT_REJECTION,6,86,0.25572915,0.22008056,0.28002519,0.23121969,0.50317567,up,0.29376007,0.63228634,6,86
STATE_C,HALLMARK_ANDROGEN_RESPONSE,6,86,0.38395124,0.40485774,0.38668806,0.39633607,-0.17716624,down,0.49113874,0.70162677,6,86
STATE_C,HALLMARK_ANGIOGENESIS,6,86,0.36154346,0.47220872,0.33110529,0.46343582,-1.69131394,down,0.0015014,0.018698,6,86
STATE_C,HALLMARK_APICAL_JUNCTION,6,86,0.24176324,0.29785482,0.23951464,0.29147996,-1.2893288,down,0.01374961,0.09512625,6,86
STATE_C,HALLMARK_APICAL_SURFACE,6,86,0.04139211,0.08689139,0.05487313,0.08325512,-0.57463563,down,0.09598554,0.3426006,6,86
STATE_C,HALLMARK_APOPTOSIS,6,86,0.42934828,0.43794904,0.42277142,0.43308279,-0.28316365,down,0.8714042,0.91402977,6,86
STATE_C,HALLMARK_BILE_ACID_METABOLISM,6,86,0.22502576,0.17550489,0.20650516,0.16861821,0.70630375,up,0.17578782,0.43946955,6,86
STATE_C,HALLMARK_CHOLESTEROL_HOMEOSTASIS,6,86,0.3228195,0.32081668,0.32169456,0.32175747,-0.00215876,down,0.9569758,0.9569758,6,86
STATE_C,HALLMARK_COAGULATION,6,86,0.35662653,0.3767357,0.34697169,0.36934766,-0.45024719,down,0.30110609,0.63228634,6,86
STATE_C,HALLMARK_COMPLEMENT,6,86,0.33544758,0.30896433,0.31164976,0.29747318,0.28270055,up,0.33163897,0.63524736,6,86
STATE_C,HALLMARK_DNA_REPAIR,6,86,0.31144817,0.29806096,0.30976865,0.29933999,0.38834233,up,0.31614317,0.63228634,6,86
STATE_C,HALLMARK_E2F_TARGETS,6,86,0.10522228,0.09522452,0.12324276,0.1024756,0.40892555,up,0.55179114,0.76637658,6,86
STATE_C,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6,86,0.32143118,0.40728352,0.28544383,0.39737909,-1.24768806,down,0.0152202,0.09512625,6,86
STATE_C,HALLMARK_ESTROGEN_RESPONSE_EARLY,6,86,0.24114601,0.23081318,0.22263661,0.23028996,-0.21797533,down,0.88356373,0.91402977,6,86
STATE_C,HALLMARK_ESTROGEN_RESPONSE_LATE,6,86,0.24849233,0.24962701,0.24192997,0.24566522,-0.12976003,down,0.67123021,0.82612071,6,86
STATE_C,HALLMARK_FATTY_ACID_METABOLISM,6,86,0.4139854,0.41374986,0.423948,0.41030007,0.26702671,up,0.7635894,0.86771523,6,86
