state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_B,HALLMARK_NOTCH_SIGNALING,19,40,5,0.42945009,0.01736424,-0.00834904,0.04307752,0.18132816,0.95956634,B0;B8;BP;CJ;CZ,0.23858968
STATE_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,19,40,5,-0.61508097,-0.03578179,-0.06426254,-0.00730105,0.01478668,0.94182588,B0;B8;BP;CJ;CZ,0.03214496
STATE_B,HALLMARK_P53_PATHWAY,19,40,5,0.81392308,0.02211574,0.00607085,0.03816062,0.00782219,0.97282822,B0;B8;BP;CJ;CZ,0.02172831
STATE_B,HALLMARK_PANCREAS_BETA_CELLS,19,40,5,-1.80742701,-0.14428517,-0.187982,-0.10058835,2e-08,0.92017095,B0;B8;BP;CJ;CZ,1e-06
STATE_B,HALLMARK_PEROXISOME,19,40,5,-1.15683339,-0.0386264,-0.05625103,-0.02100177,5.337e-05,0.96661023,B0;B8;BP;CJ;CZ,0.0002965
STATE_B,HALLMARK_PI3K_AKT_MTOR_SIGNALING,19,40,5,-0.26270832,-0.00164236,-0.0136635,0.01037879,0.78512687,0.99374836,B0;B8;BP;CJ;CZ,0.81784049
STATE_B,HALLMARK_PROTEIN_SECRETION,19,40,5,-1.48508949,-0.05590475,-0.07920161,-0.0326079,1.277e-05,0.96235597,B0;B8;BP;CJ;CZ,9.121e-05
STATE_B,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,19,40,5,0.14691048,0.00519832,-0.01139312,0.02178977,0.53242299,0.9646157,B0;B8;BP;CJ;CZ,0.64929633
STATE_B,HALLMARK_SPERMATOGENESIS,19,40,5,-0.18710997,-0.00589172,-0.02637495,0.01459152,0.56643284,0.96851201,B0;B8;BP;CJ;CZ,0.65333578
STATE_B,HALLMARK_TGF_BETA_SIGNALING,19,40,5,-0.06094381,-0.00865463,-0.04050277,0.02319351,0.5880022,0.85799005,B0;B8;BP;CJ;CZ,0.65333578
STATE_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,19,40,5,0.65356144,0.05211614,0.01224291,0.09198937,0.01139757,0.92025824,B0;B8;BP;CJ;CZ,0.02849392
STATE_B,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,19,40,5,0.19436383,0.01431196,-0.0022459,0.03086982,0.08878783,0.9263651,B0;B8;BP;CJ;CZ,0.14090572
STATE_B,HALLMARK_UV_RESPONSE_DN,19,40,5,-0.11136019,-0.00822842,-0.0367366,0.02027976,0.56509157,0.92610984,B0;B8;BP;CJ;CZ,0.65333578
STATE_B,HALLMARK_UV_RESPONSE_UP,19,40,5,0.14422884,0.00229504,-0.00858201,0.01317209,0.67385485,0.9840875,B0;B8;BP;CJ;CZ,0.71686686
STATE_B,HALLMARK_WNT_BETA_CATENIN_SIGNALING,19,40,5,0.6948635,0.03851185,0.00392301,0.07310069,0.02977875,0.94457638,B0;B8;BP;CJ;CZ,0.05317634
STATE_B,HALLMARK_XENOBIOTIC_METABOLISM,19,40,5,-0.45991901,-0.0208951,-0.04656003,0.00476983,0.10840125,0.95456787,B0;B8;BP;CJ;CZ,0.16424432
STATE_C,HALLMARK_ADIPOGENESIS,11,48,5,-0.0442441,-0.0096895,-0.04509698,0.02571798,0.58538859,0.78099904,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_ALLOGRAFT_REJECTION,11,48,5,1.17266384,0.13686062,0.0405587,0.23316254,0.00620611,0.88329083,B0;B8;BP;CJ;CZ,0.04191325
STATE_C,HALLMARK_ANDROGEN_RESPONSE,11,48,5,-0.03885714,-0.03646663,-0.08664445,0.01371118,0.15083112,0.06152036,B0;B8;BP;CJ;CZ,0.35912171
