core_a,core_b,pathway,smd_a_vs_b,p_value,q_value,median_a,median_b
STATE_A,STATE_C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.15528881,0.67151915,0.73802991,0.58182722,0.58014499
STATE_A,STATE_C,HALLMARK_P53_PATHWAY,-0.6015983,0.073917,0.11922097,0.36080438,0.38887667
STATE_A,STATE_C,HALLMARK_PANCREAS_BETA_CELLS,0.96287809,0.01414684,0.03368295,0.33153123,0.2458167
STATE_A,STATE_C,HALLMARK_PEROXISOME,0.2383734,0.60659856,0.68931655,0.35861478,0.34870517
STATE_A,STATE_C,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-1.08622954,0.00768636,0.02022726,0.31682255,0.33392388
STATE_A,STATE_C,HALLMARK_PROTEIN_SECRETION,-0.1239323,0.7162438,0.74608729,0.47726118,0.48769875
STATE_A,STATE_C,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.17664532,0.00221841,0.01008368,0.49940732,0.52487325
STATE_A,STATE_C,HALLMARK_SPERMATOGENESIS,-0.03440106,0.80853045,0.80853045,-0.17298912,-0.18233087
STATE_A,STATE_C,HALLMARK_TGF_BETA_SIGNALING,1.02054317,0.00768636,0.02022726,0.49628955,0.44751061
STATE_A,STATE_C,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.65496145,0.01003346,0.02508365,0.36773665,0.44804417
STATE_A,STATE_C,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.3817913,0.002711,0.01042692,0.41660019,0.44130317
STATE_A,STATE_C,HALLMARK_UV_RESPONSE_DN,1.41730693,0.0020042,0.010021,0.27440562,0.2073159
STATE_A,STATE_C,HALLMARK_UV_RESPONSE_UP,-0.82016104,0.00702124,0.02022726,0.39342518,0.40455282
STATE_A,STATE_C,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.27519517,0.00245342,0.01022258,0.16051216,0.10473727
STATE_A,STATE_C,HALLMARK_XENOBIOTIC_METABOLISM,-0.32838259,0.363504,0.46603077,0.34130415,0.3495684
STATE_B,STATE_C,HALLMARK_ADIPOGENESIS,-0.67461116,0.0642317,0.13381604,0.43412328,0.45604856
STATE_B,STATE_C,HALLMARK_ALLOGRAFT_REJECTION,-0.53105804,0.09326469,0.18652938,0.27728079,0.38130565
STATE_B,STATE_C,HALLMARK_ANDROGEN_RESPONSE,-0.81140181,0.0642317,0.13381604,0.35969844,0.39383533
STATE_B,STATE_C,HALLMARK_ANGIOGENESIS,1.50806445,0.00124774,0.0124774,0.52947594,0.41347299
STATE_B,STATE_C,HALLMARK_APICAL_JUNCTION,1.42902986,0.00124774,0.0124774,0.31344866,0.27384912
STATE_B,STATE_C,HALLMARK_APICAL_SURFACE,0.2466268,0.43854269,0.57702986,0.10061541,0.08354874
STATE_B,STATE_C,HALLMARK_APOPTOSIS,0.13944925,0.60554879,0.68812362,0.45251839,0.46377648
STATE_B,STATE_C,HALLMARK_BILE_ACID_METABOLISM,-0.9359541,0.0642317,0.13381604,0.13262841,0.19261165
STATE_B,STATE_C,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.33888216,0.32225292,0.4475735,0.33238303,0.31485342
STATE_B,STATE_C,HALLMARK_COAGULATION,1.16114364,0.00515204,0.02862244,0.41662547,0.38339578
STATE_B,STATE_C,HALLMARK_COMPLEMENT,-0.4312658,0.03141126,0.09200782,0.32037462,0.34949657
STATE_B,STATE_C,HALLMARK_DNA_REPAIR,0.64716939,0.18216108,0.29380819,0.3121066,0.30258107
STATE_B,STATE_C,HALLMARK_E2F_TARGETS,-0.1818485,0.4910854,0.61385675,0.12451847,0.12719772
