modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
cnv,CORE01,CORE02,17,15,estimable,,32,2,0.061643,1.970786,0.0001,9999,0.0014
cnv,CORE01,CORE03,17,14,estimable,,31,2,0.059842,1.845893,0.0003,9999,0.001575
cnv,CORE01,CORE04,17,10,estimable,,27,2,0.07347,1.982399,0.0002,9999,0.0014
cnv,CORE01,CORE05,17,9,estimable,,26,2,0.073711,1.90985,0.0019,9999,0.0049875
cnv,CORE01,CORE06,17,7,estimable,,24,2,0.068792,1.625216,0.0092,9999,0.01486154
cnv,CORE01,CORE07,17,5,estimable,,22,2,0.081516,1.775006,0.0068,9999,0.0126
cnv,CORE02,CORE03,15,14,estimable,,29,2,0.044213,1.24898,0.0061,9999,0.0126
cnv,CORE02,CORE04,15,10,estimable,,25,2,0.047954,1.158494,0.0106,9999,0.0159
cnv,CORE02,CORE05,15,9,estimable,,24,2,0.056699,1.322359,0.0002,9999,0.0014
cnv,CORE02,CORE06,15,7,estimable,,22,2,0.047174,0.9902,0.5145,9999,0.5145
cnv,CORE02,CORE07,15,5,estimable,,20,2,0.068072,1.314801,0.0052,9999,0.01213333
cnv,CORE03,CORE04,14,10,estimable,,24,2,0.056903,1.327396,0.0007,9999,0.0028
cnv,CORE03,CORE05,14,9,estimable,,23,2,0.059651,1.332137,0.0008,9999,0.0028
cnv,CORE03,CORE06,14,7,estimable,,21,2,0.055922,1.125446,0.06,9999,0.06631579
cnv,CORE03,CORE07,14,5,estimable,,19,2,0.069421,1.268192,0.0252,9999,0.03528
cnv,CORE04,CORE05,10,9,estimable,,19,2,0.072102,1.320984,0.0019,9999,0.0049875
cnv,CORE04,CORE06,10,7,estimable,,17,2,0.063198,1.011924,0.3574,9999,0.37527
cnv,CORE04,CORE07,10,5,estimable,,15,2,0.09143,1.308197,0.0072,9999,0.0126
cnv,CORE05,CORE06,9,7,estimable,,16,2,0.077806,1.181179,0.0338,9999,0.0443625
cnv,CORE05,CORE07,9,5,estimable,,14,2,0.094488,1.252168,0.0506,9999,0.05903333
cnv,CORE06,CORE07,7,5,estimable,,12,2,0.108218,1.213501,0.0434,9999,0.05361176
fused,CORE01,CORE02,17,15,estimable,,32,2,0.03316,1.028911,0.0001,9999,0.00015
fused,CORE01,CORE03,17,14,estimable,,31,2,0.03429,1.029727,0.0001,9999,0.00015
fused,CORE01,CORE04,17,10,estimable,,27,2,0.039178,1.019392,0.0001,9999,0.00015
fused,CORE01,CORE05,17,9,estimable,,26,2,0.040824,1.02147,0.0001,9999,0.00015
fused,CORE01,CORE06,17,7,estimable,,24,2,0.044477,1.024042,0.0001,9999,0.00015
fused,CORE01,CORE07,17,5,estimable,,22,2,0.047927,1.006802,0.0037,9999,0.00408947
fused,CORE02,CORE03,15,14,estimable,,29,2,0.036489,1.022519,0.0001,9999,0.00015
fused,CORE02,CORE04,15,10,estimable,,25,2,0.042499,1.020872,0.0001,9999,0.00015
fused,CORE02,CORE05,15,9,estimable,,24,2,0.044217,1.017775,0.0001,9999,0.00015
fused,CORE02,CORE06,15,7,estimable,,22,2,0.048415,1.017572,0.0001,9999,0.00015
fused,CORE02,CORE07,15,5,estimable,,20,2,0.053195,1.011309,0.0001,9999,0.00015
fused,CORE03,CORE04,14,10,estimable,,24,2,0.044257,1.018732,0.0001,9999,0.00015
fused,CORE03,CORE05,14,9,estimable,,23,2,0.046157,1.0162,0.0001,9999,0.00015
fused,CORE03,CORE06,14,7,estimable,,21,2,0.050914,1.019269,0.0001,9999,0.00015
fused,CORE03,CORE07,14,5,estimable,,19,2,0.056052,1.009457,0.0003,9999,0.00037059
fused,CORE04,CORE05,10,9,estimable,,19,2,0.056208,1.012439,0.0001,9999,0.00015
fused,CORE04,CORE06,10,7,estimable,,17,2,0.063554,1.018004,0.0002,9999,0.0002625
fused,CORE04,CORE07,10,5,estimable,,15,2,0.071837,1.006154,0.0055,9999,0.005775
fused,CORE05,CORE06,9,7,estimable,,16,2,0.067672,1.016167,0.0002,9999,0.0002625
fused,CORE05,CORE07,9,5,estimable,,14,2,0.077287,1.005122,0.0157,9999,0.0157
fused,CORE06,CORE07,7,5,estimable,,12,2,0.09184,1.011273,0.0013,9999,0.00151667
