feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
log-sigma-2-0-mm-3D_glcm_Correlation,7,77,17;15;14;10;9;7;5,estimable,,24.83813647,0.00036584,0.10580929,0.26911624
log-sigma-2-0-mm-3D_glcm_Imc1,7,77,17;15;14;10;9;7;5,estimable,,18.79405002,0.00452597,0.14324741,0.18277214
log-sigma-2-0-mm-3D_glcm_MaximumProbability,7,77,17;15;14;10;9;7;5,estimable,,13.1816314,0.04024061,0.21798408,0.10259473
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,7,77,17;15;14;10;9;7;5,estimable,,14.20088875,0.02747088,0.18499287,0.11715555
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,9.6885904,0.13839364,0.35848319,0.05269415
log-sigma-2-0-mm-3D_glrlm_RunEntropy,7,77,17;15;14;10;9;7;5,estimable,,15.55727055,0.01633822,0.18499287,0.13653244
log-sigma-2-0-mm-3D_glrlm_RunPercentage,7,77,17;15;14;10;9;7;5,estimable,,13.58614476,0.03461675,0.20117886,0.1083735
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,8.32434941,0.21529055,0.43339536,0.03320499
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,7,77,17;15;14;10;9;7;5,estimable,,10.90479698,0.09136374,0.2914362,0.07006853
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,7.67953783,0.26253368,0.47421602,0.0239934
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,12.46431701,0.05237677,0.2272119,0.09234739
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,7,77,17;15;14;10;9;7;5,estimable,,10.7989288,0.09479314,0.29196287,0.06855613
log-sigma-2-0-mm-3D_gldm_DependenceVariance,7,77,17;15;14;10;9;7;5,estimable,,9.820577,0.13241411,0.35439131,0.05457967
log-sigma-3-0-mm-3D_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,10.52531316,0.10420264,0.30277748,0.06464733
log-sigma-3-0-mm-3D_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,14.32296783,0.02622931,0.18499287,0.11889954
log-sigma-3-0-mm-3D_firstorder_Mean,7,77,17;15;14;10;9;7;5,estimable,,6.60672418,0.35875171,0.57549753,0.00866749
log-sigma-3-0-mm-3D_firstorder_Minimum,7,77,17;15;14;10;9;7;5,estimable,,22.38571438,0.00103061,0.10580929,0.23408163
log-sigma-3-0-mm-3D_firstorder_Range,7,77,17;15;14;10;9;7;5,estimable,,17.76161691,0.00685638,0.16244346,0.1680231
log-sigma-3-0-mm-3D_firstorder_Skewness,7,77,17;15;14;10;9;7;5,estimable,,6.10857098,0.41113854,0.61771059,0.00155101
log-sigma-3-0-mm-3D_firstorder_Uniformity,7,77,17;15;14;10;9;7;5,estimable,,20.36456709,0.00238441,0.11143308,0.2052081
log-sigma-3-0-mm-3D_firstorder_Variance,7,77,17;15;14;10;9;7;5,estimable,,20.21789284,0.00253257,0.11143308,0.20311275
log-sigma-3-0-mm-3D_glcm_Correlation,7,77,17;15;14;10;9;7;5,estimable,,23.01115057,0.00079275,0.10580929,0.24301644
log-sigma-3-0-mm-3D_glcm_Idmn,7,77,17;15;14;10;9;7;5,estimable,,11.41896591,0.07625931,0.26690759,0.0774138
log-sigma-3-0-mm-3D_glcm_Imc1,7,77,17;15;14;10;9;7;5,estimable,,6.69269927,0.35020319,0.5676978,0.0098957
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,7,77,17;15;14;10;9;7;5,estimable,,15.6908535,0.01551306,0.18499287,0.13844076
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,16.82867944,0.00993393,0.18499287,0.15469542
log-sigma-3-0-mm-3D_glrlm_RunEntropy,7,77,17;15;14;10;9;7;5,estimable,,16.57140395,0.01099443,0.18499287,0.15102006
log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,11.03815382,0.08720438,0.28958518,0.07197363
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,9.42703683,0.15094765,0.36669654,0.04895767
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,9.75555854,0.13533062,0.35625497,0.05365084
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,7,77,17;15;14;10;9;7;5,estimable,,13.16457044,0.04049573,0.21798408,0.10235101
log-sigma-3-0-mm-3D_glszm_ZonePercentage,7,77,17;15;14;10;9;7;5,estimable,,8.39165764,0.21079027,0.4315212,0.03416654
log-sigma-3-0-mm-3D_ngtdm_Contrast,7,77,17;15;14;10;9;7;5,estimable,,9.9286717,0.12768813,0.34772176,0.05612388
log-sigma-3-0-mm-3D_ngtdm_Strength,7,77,17;15;14;10;9;7;5,estimable,,12.90979665,0.04449096,0.22006429,0.09871138
wavelet-LLH_firstorder_10Percentile,7,77,17;15;14;10;9;7;5,estimable,,5.55706534,0.47458659,0.67177183,0.0
wavelet-LLH_firstorder_Energy,7,77,17;15;14;10;9;7;5,estimable,,2.77076593,0.83701899,0.89776032,0.0
wavelet-LLH_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,2.02295501,0.91757536,0.95459535,0.0
wavelet-LLH_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,3.91160436,0.6886375,0.80488276,0.0
wavelet-LLH_firstorder_Mean,7,77,17;15;14;10;9;7;5,estimable,,1.34672275,0.96901896,0.97217537,0.0
wavelet-LLH_firstorder_Median,7,77,17;15;14;10;9;7;5,estimable,,1.18060017,0.97783208,0.97783208,0.0
wavelet-LLH_firstorder_Skewness,7,77,17;15;14;10;9;7;5,estimable,,6.2561252,0.39511898,0.60545595,0.00365893
wavelet-LLH_firstorder_Variance,7,77,17;15;14;10;9;7;5,estimable,,4.51578729,0.60723424,0.76027702,0.0
wavelet-LLH_glcm_Autocorrelation,7,77,17;15;14;10;9;7;5,estimable,,5.08774064,0.53261006,0.71323434,0.0
wavelet-LLH_glcm_Correlation,7,77,17;15;14;10;9;7;5,estimable,,9.90518221,0.12870221,0.34772176,0.05578832
wavelet-LLH_glcm_DifferenceEntropy,7,77,17;15;14;10;9;7;5,estimable,,6.19192945,0.40203725,0.60998755,0.00274185
wavelet-LLH_glcm_Idn,7,77,17;15;14;10;9;7;5,estimable,,11.6943264,0.06914591,0.2530465,0.08134752
wavelet-LLH_glcm_Imc1,7,77,17;15;14;10;9;7;5,estimable,,7.9001277,0.24551193,0.47261047,0.02714468
wavelet-LLH_glcm_InverseVariance,7,77,17;15;14;10;9;7;5,estimable,,8.80029979,0.18512447,0.40714446,0.04000428
wavelet-LLH_glcm_JointEnergy,7,77,17;15;14;10;9;7;5,estimable,,8.38009927,0.21155747,0.4315212,0.03400142
wavelet-LLH_glcm_MCC,7,77,17;15;14;10;9;7;5,estimable,,6.20665534,0.40044326,0.60998755,0.00295222
wavelet-LLH_glrlm_LongRunEmphasis,7,77,17;15;14;10;9;7;5,estimable,,14.24781325,0.02698719,0.18499287,0.1178259
wavelet-LLH_glrlm_RunEntropy,7,77,17;15;14;10;9;7;5,estimable,,14.07388634,0.02882161,0.18499287,0.11534123
wavelet-LLH_glrlm_RunLengthNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,12.89390647,0.044752,0.22006429,0.09848438
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,9.40775452,0.15191135,0.36669654,0.04868221
wavelet-LLH_glszm_GrayLevelNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,4.93114654,0.55267402,0.72745127,0.0
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,10.0505224,0.12254047,0.34002221,0.05786461
wavelet-LLH_glszm_LargeAreaEmphasis,7,77,17;15;14;10;9;7;5,estimable,,7.67466353,0.26292016,0.47421602,0.02392376
wavelet-LLH_glszm_SizeZoneNonUniformity,7,77,17;15;14;10;9;7;5,estimable,,2.38095947,0.88154508,0.92984892,0.0
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,7.05166971,0.31609525,0.53961649,0.01502385
wavelet-LLH_glszm_SmallAreaEmphasis,7,77,17;15;14;10;9;7;5,estimable,,7.04056261,0.31711229,0.53961649,0.01486518
wavelet-LLH_glszm_ZoneEntropy,7,77,17;15;14;10;9;7;5,estimable,,8.77275721,0.18676714,0.40714446,0.03961082
wavelet-LLH_gldm_DependenceEntropy,7,77,17;15;14;10;9;7;5,estimable,,14.86000591,0.02137395,0.18499287,0.12657151
wavelet-LLH_gldm_DependenceNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,4.00542968,0.67594159,0.80382243,0.0
wavelet-LLH_gldm_DependenceVariance,7,77,17;15;14;10;9;7;5,estimable,,10.80968481,0.09443947,0.29196287,0.06870978
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,10.68997203,0.09844398,0.29437617,0.0669996
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,12.34411452,0.05471786,0.23160231,0.09063021
wavelet-LLH_ngtdm_Strength,7,77,17;15;14;10;9;7;5,estimable,,12.9652911,0.04359045,0.22006429,0.09950416
wavelet-LHL_firstorder_10Percentile,7,77,17;15;14;10;9;7;5,estimable,,4.90920545,0.55550995,0.72807262,0.0
wavelet-LHL_firstorder_Energy,7,77,17;15;14;10;9;7;5,estimable,,8.43367277,0.20802099,0.4315212,0.03476675
wavelet-LHL_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,3.88295048,0.69251276,0.80488276,0.0
wavelet-LHL_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,7.41428749,0.28422614,0.50311294,0.02020411
wavelet-LHL_firstorder_Mean,7,77,17;15;14;10;9;7;5,estimable,,5.08873032,0.53248428,0.71323434,0.0
wavelet-LHL_firstorder_Minimum,7,77,17;15;14;10;9;7;5,estimable,,9.40145222,0.15222749,0.36669654,0.04859217
wavelet-LHL_firstorder_Skewness,7,77,17;15;14;10;9;7;5,estimable,,2.54087574,0.86386526,0.91748448,0.0
wavelet-LHL_firstorder_Variance,7,77,17;15;14;10;9;7;5,estimable,,4.84018838,0.56446769,0.72845697,0.0
wavelet-LHL_glcm_Correlation,7,77,17;15;14;10;9;7;5,estimable,,4.73117527,0.5787248,0.73655884,0.0
wavelet-LHL_glcm_Idm,7,77,17;15;14;10;9;7;5,estimable,,6.92473241,0.32786407,0.54995382,0.01321046
wavelet-LHL_glcm_Idmn,7,77,17;15;14;10;9;7;5,estimable,,9.66102189,0.13967221,0.35849201,0.05230031
wavelet-LHL_glcm_Imc1,7,77,17;15;14;10;9;7;5,estimable,,7.13301544,0.30872109,0.53120724,0.01618593
wavelet-LHL_glcm_Imc2,7,77,17;15;14;10;9;7;5,estimable,,2.75035366,0.8394642,0.89776032,0.0
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,12.18130161,0.05804427,0.23836847,0.08830431
wavelet-LHL_glrlm_RunEntropy,7,77,17;15;14;10;9;7;5,estimable,,10.6233076,0.10073992,0.29752991,0.06604725
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,11.90910826,0.06402748,0.24180314,0.08441583
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,9.12090412,0.16689182,0.38154365,0.04458434
wavelet-LHL_glszm_ZoneEntropy,7,77,17;15;14;10;9;7;5,estimable,,14.84211624,0.02152089,0.18499287,0.12631595
wavelet-LHL_glszm_ZonePercentage,7,77,17;15;14;10;9;7;5,estimable,,3.94377089,0.68428569,0.80488276,0.0
wavelet-LHL_gldm_LargeDependenceEmphasis,7,77,17;15;14;10;9;7;5,estimable,,5.56046008,0.47417961,0.67177183,0.0
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,10.86220372,0.0927297,0.2914362,0.06946005
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,7.36552411,0.2883619,0.50751694,0.01950749
wavelet-LHL_ngtdm_Contrast,7,77,17;15;14;10;9;7;5,estimable,,8.14628826,0.22758062,0.45516124,0.03066126
wavelet-LHH_firstorder_10Percentile,7,77,17;15;14;10;9;7;5,estimable,,4.95051317,0.55017571,0.7272709,0.0
wavelet-LHH_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,6.2859747,0.39192924,0.60378393,0.00408535
wavelet-LHH_firstorder_Mean,7,77,17;15;14;10;9;7;5,estimable,,2.16351417,0.90406255,0.94711315,0.0
wavelet-LHH_firstorder_Median,7,77,17;15;14;10;9;7;5,estimable,,1.84576078,0.93332321,0.95459535,0.0
wavelet-LHH_firstorder_Skewness,7,77,17;15;14;10;9;7;5,estimable,,4.22042887,0.64687398,0.78749876,0.0
wavelet-LHH_firstorder_Uniformity,7,77,17;15;14;10;9;7;5,estimable,,1.77607136,0.93909867,0.95459535,0.0
wavelet-LHH_glcm_ClusterShade,7,77,17;15;14;10;9;7;5,estimable,,5.17643869,0.52139105,0.71132013,0.0
wavelet-LHH_glcm_Correlation,7,77,17;15;14;10;9;7;5,estimable,,6.78522467,0.34116712,0.5576192,0.0112175
wavelet-LHH_glcm_Idmn,7,77,17;15;14;10;9;7;5,estimable,,7.74801874,0.25715147,0.47421602,0.0249717
wavelet-LHH_glcm_Imc1,7,77,17;15;14;10;9;7;5,estimable,,11.5608261,0.0725147,0.25970381,0.07944037
wavelet-LHH_glcm_Imc2,7,77,17;15;14;10;9;7;5,estimable,,9.00390123,0.17335879,0.39115227,0.04291287
wavelet-LHH_glcm_InverseVariance,7,77,17;15;14;10;9;7;5,estimable,,2.67453779,0.84844552,0.90422568,0.0
wavelet-LHH_glrlm_LongRunEmphasis,7,77,17;15;14;10;9;7;5,estimable,,14.72304054,0.02252375,0.18499287,0.12461486
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,4.16892668,0.65382798,0.79096998,0.0
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,14.91528173,0.02092597,0.18499287,0.12736117
wavelet-LHH_glrlm_RunEntropy,7,77,17;15;14;10;9;7;5,estimable,,4.39555123,0.62331027,0.76765927,0.0
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,8.47248942,0.20548956,0.4315212,0.03532128
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,7.27035355,0.29656715,0.51606035,0.01814791
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,4.82586377,0.56633373,0.72845697,0.0
wavelet-LHH_glszm_SmallAreaEmphasis,7,77,17;15;14;10;9;7;5,estimable,,5.89252988,0.43533613,0.63246947,0.0
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,3.00641189,0.80804164,0.89524038,0.0
wavelet-LHH_glszm_ZoneEntropy,7,77,17;15;14;10;9;7;5,estimable,,1.53663181,0.9570242,0.96635155,0.0
wavelet-LHH_gldm_DependenceEntropy,7,77,17;15;14;10;9;7;5,estimable,,4.52988561,0.60535601,0.76027702,0.0
wavelet-LHH_gldm_DependenceNonUniformityNormalized,7,77,17;15;14;10;9;7;5,estimable,,6.89727453,0.33045183,0.54995382,0.01281821
wavelet-LHH_gldm_DependenceVariance,7,77,17;15;14;10;9;7;5,estimable,,8.05250921,0.23428154,0.46090245,0.02932156
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,2.47469058,0.87128937,0.92218944,0.0
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,7,77,17;15;14;10;9;7;5,estimable,,4.86599041,0.56111236,0.72845697,0.0
wavelet-LHH_ngtdm_Strength,7,77,17;15;14;10;9;7;5,estimable,,5.66538504,0.46169722,0.6644988,0.0
wavelet-HLL_firstorder_10Percentile,7,77,17;15;14;10;9;7;5,estimable,,8.34218555,0.21409032,0.43339536,0.03345979
wavelet-HLL_firstorder_Kurtosis,7,77,17;15;14;10;9;7;5,estimable,,7.34201317,0.29037247,0.50815182,0.01917162
wavelet-HLL_firstorder_Maximum,7,77,17;15;14;10;9;7;5,estimable,,6.2846776,0.39206749,0.60378393,0.00406682
