feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr11p,CORE03,CORE04,12,9,0.03134369,0.05011217,0.03269937,0.08776523,-0.2962963,-0.77777778,0.25925926,0.270663,0.811989
chr12p,CORE01,CORE02,21,14,0.0069,0.08082897,0.02805663,0.12358747,-0.67346939,-0.97278912,-0.32653061,0.00091098,0.00546588
chr12p,CORE01,CORE03,21,12,0.0069,0.03205,0.02805663,0.04567356,-0.65873016,-0.92063492,-0.33333333,0.00201858,0.0100929
chr12p,CORE01,CORE04,21,9,0.0069,0.17600106,0.02805663,0.15542057,-0.68253968,-1.0,-0.28042328,0.00377468,0.01509872
chr12p,CORE02,CORE03,14,12,0.08082897,0.03205,0.12358747,0.04567356,0.42857143,-0.03571429,0.80952381,0.06786186,0.13572372
chr12p,CORE02,CORE04,14,9,0.08082897,0.17600106,0.12358747,0.15542057,-0.19047619,-0.68293651,0.31746032,0.46880062,0.46880062
chr12p,CORE03,CORE04,12,9,0.03205,0.17600106,0.04567356,0.15542057,-0.61111111,-0.96296296,-0.11111111,0.02090619,0.06271857
chr12q,CORE01,CORE02,21,14,0.0153,0.08881108,0.0399442,0.10558504,-0.59863946,-0.9047619,-0.24489796,0.00321623,0.01929738
chr12q,CORE01,CORE03,21,12,0.0153,0.03206922,0.0399442,0.04277721,-0.42857143,-0.76984127,-0.04761905,0.0452646,0.1357938
chr12q,CORE01,CORE04,21,9,0.0153,0.1757,0.0399442,0.15532726,-0.60846561,-0.93650794,-0.1957672,0.00989125,0.04945625
chr12q,CORE02,CORE03,14,12,0.08881108,0.03206922,0.10558504,0.04277721,0.45238095,0.0235119,0.80952381,0.0537567,0.1357938
chr12q,CORE02,CORE04,14,9,0.08881108,0.1757,0.10558504,0.15532726,-0.22222222,-0.71428571,0.31746032,0.39509158,0.39509158
chr12q,CORE03,CORE04,12,9,0.03206922,0.1757,0.04277721,0.15532726,-0.61111111,-0.96296296,-0.11111111,0.02090619,0.08362476
chr14q,CORE01,CORE02,21,14,0.00275823,-0.06573707,-0.02792147,-0.06814481,0.1292517,-0.34693878,0.56462585,0.53333223,1.0
