view,core_id,partition,best_jaccard,best_overlap_coefficient,best_recall,best_precision,jaccard_retention,delta_jaccard
minus_CT,CORE04,K5,0.26923077,0.63636364,0.63636364,0.31818182,0.34265734,-0.51648352
minus_CT,CORE04,K6,0.26923077,0.63636364,0.63636364,0.31818182,0.29370629,-0.6474359
minus_CT,CORE04,K7,0.31818182,0.63636364,0.63636364,0.38888889,0.4338843,-0.41515151
minus_CT,CORE04,K8,0.17241379,0.45454545,0.45454545,0.2173913,0.17241379,-0.82758621
minus_CT,CORE05,K2,0.07692308,1.0,1.0,0.07692308,0.98461542,-0.00120192
minus_CT,CORE05,K3,0.11111111,1.0,1.0,0.11111111,1.18518517,0.01736111
minus_CT,CORE05,K4,0.16,0.8,0.8,0.16666667,0.92800002,-0.01241379
minus_CT,CORE05,K5,0.18181818,0.4,0.4,0.25,0.76363635,-0.05627706
minus_CT,CORE05,K6,0.18181818,0.4,0.4,0.25,0.72727272,-0.06818182
minus_CT,CORE05,K7,0.18181818,0.4,0.4,0.25,0.32727272,-0.37373738
minus_CT,CORE05,K8,0.18181818,0.4,0.4,0.25,0.45454545,-0.21818182
minus_GENOMIC,CORE01,K2,0.45,1.0,1.0,0.45,0.975,-0.01153846
minus_GENOMIC,CORE01,K3,0.61538462,0.88888889,0.88888889,0.66666667,1.19658122,0.10109891
minus_GENOMIC,CORE01,K4,0.45454545,0.83333333,0.83333333,0.5,0.83333332,-0.0909091
minus_GENOMIC,CORE01,K5,0.46875,0.83333333,0.83333333,0.51724138,0.83333333,-0.09375
minus_GENOMIC,CORE01,K6,0.53333333,0.88888889,0.88888889,0.57142857,0.56296296,-0.41403509
minus_GENOMIC,CORE01,K7,0.68421053,0.92857143,0.72222222,0.92857143,0.80495356,-0.16578947
minus_GENOMIC,CORE01,K8,0.68421053,0.92857143,0.72222222,0.92857143,0.94078948,-0.0430622
minus_GENOMIC,CORE02,K2,0.22222222,1.0,1.0,0.22222222,1.01587301,0.00347222
minus_GENOMIC,CORE02,K3,0.29787234,1.0,1.0,0.29787234,0.89361703,-0.03546099
minus_GENOMIC,CORE02,K4,0.48148148,0.92857143,0.92857143,0.5,0.9973545,-0.00127714
minus_GENOMIC,CORE02,K5,0.6,0.85714286,0.85714286,0.66666667,0.9,-0.06666667
minus_GENOMIC,CORE02,K6,0.63157895,0.85714286,0.85714286,0.70588235,1.02024292,0.01253133
minus_GENOMIC,CORE02,K7,0.42105263,0.61538462,0.57142857,0.61538462,0.42105263,-0.57894737
minus_GENOMIC,CORE02,K8,0.43478261,0.71428571,0.71428571,0.52631579,0.50167224,-0.43188406
minus_GENOMIC,CORE03,K2,0.18604651,0.72727273,0.72727273,0.2,0.84754519,-0.03346569
minus_GENOMIC,CORE03,K3,0.20833333,0.90909091,0.90909091,0.21276596,0.66287879,-0.10595238
minus_GENOMIC,CORE03,K4,0.36666667,1.0,1.0,0.36666667,1.10000002,0.03333334
minus_GENOMIC,CORE03,K5,0.33333333,0.90909091,0.90909091,0.34482759,0.96969696,-0.01041667
minus_GENOMIC,CORE03,K6,0.39285714,1.0,1.0,0.39285714,0.53571428,-0.34047619
minus_GENOMIC,CORE03,K7,0.64705882,1.0,1.0,0.64705882,0.70588235,-0.26960785
minus_GENOMIC,CORE03,K8,0.78571429,1.0,1.0,0.78571429,0.92857143,-0.06043956
minus_GENOMIC,CORE04,K2,0.13846154,0.81818182,0.81818182,0.14285714,0.80559441,-0.03341346
minus_GENOMIC,CORE04,K3,0.1025641,0.36363636,0.36363636,0.125,0.61538459,-0.06410257
minus_GENOMIC,CORE04,K4,0.15625,0.45454545,0.45454545,0.19230769,0.88541666,-0.02022059
minus_GENOMIC,CORE04,K5,0.57894737,1.0,1.0,0.57894737,0.7368421,-0.20676692
minus_GENOMIC,CORE04,K6,0.73333333,1.0,1.0,0.73333333,0.79999999,-0.18333334
minus_GENOMIC,CORE04,K7,0.6,0.81818182,0.81818182,0.69230769,0.81818182,-0.13333333
minus_GENOMIC,CORE04,K8,0.66666667,0.90909091,0.90909091,0.71428571,0.66666667,-0.33333333
minus_GENOMIC,CORE05,K2,0.07936508,1.0,1.0,0.07936508,1.01587302,0.00124008
minus_GENOMIC,CORE05,K3,0.08823529,0.6,0.6,0.09375,0.94117643,-0.00551471
minus_GENOMIC,CORE05,K4,0.14814815,0.8,0.8,0.15384615,0.85925929,-0.02426564
minus_GENOMIC,CORE05,K5,0.21052632,0.8,0.8,0.22222222,0.88421054,-0.02756892
minus_GENOMIC,CORE05,K6,0.22222222,0.8,0.8,0.23529412,0.88888888,-0.02777778
minus_GENOMIC,CORE05,K7,0.41666667,1.0,1.0,0.41666667,0.75,-0.13888889
minus_GENOMIC,CORE05,K8,0.2,0.8,0.8,0.21052632,0.5,-0.2
RNA_only,CORE01,K2,0.32075472,0.94444444,0.94444444,0.32692308,0.69496856,-0.14078374
RNA_only,CORE01,K3,0.29411765,0.83333333,0.83333333,0.3125,0.57189544,-0.22016806
