core_id,field,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,q_value,set_mean,rest_mean,cliffs_delta,direction,cramers_v,epsilon_squared,available_n,missing_n
5V_CORE06,ct_reconstruction_kernel,B30f,0,5,11,78,0.0,0.141026,-0.141026,0.0,1.0,,,,,,,,
5V_CORE06,ct_reconstruction_kernel,B31f,2,5,9,78,0.4,0.115385,0.284615,5.111111,1.0,,,,,,,,
5V_CORE06,ct_reconstruction_kernel,SOFT,0,5,3,78,0.0,0.038462,-0.038462,0.0,1.0,,,,,,,,
5V_CORE06,ct_reconstruction_kernel,STANDARD,3,5,54,78,0.6,0.692308,-0.092308,0.666667,1.0,,,,,,,,
5V_CORE06,ct_slice_thickness,,,,,,,,,,1.0,3.125,3.551282,-0.148718,lower_in_set,,,,
5V_CORE06,ct_z_spacing,,,,,,,,,,1.0,3.125,3.363397,-0.071795,lower_in_set,,,,
5V_CORE06,ct_pixel_spacing,,,,,,,,,,1.0,0.871094,0.801708,0.448718,higher_in_set,,,,
ROBUST_4V_CORE01_5V_CORE01,tissue_source_site,B0,2,14,9,69,0.142857,0.130435,0.012422,1.111111,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,tissue_source_site,B8,0,14,13,69,0.0,0.188406,-0.188406,0.0,0.651508,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,tissue_source_site,BP,11,14,30,69,0.785714,0.434783,0.350932,4.766667,0.178701,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,tissue_source_site,CJ,1,14,8,69,0.071429,0.115942,-0.044513,0.586538,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,tissue_source_site,CZ,0,14,8,69,0.0,0.115942,-0.115942,0.0,0.91669,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,tissue_source_site,G6,0,14,1,69,0.0,0.014493,-0.014493,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,ART,1,14,5,69,0.071429,0.072464,-0.001035,0.984615,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,CE_UNSPECIFIED,3,14,8,69,0.214286,0.115942,0.098344,2.079545,0.96399,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,DEL,1,14,10,69,0.071429,0.144928,-0.073499,0.453846,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,MAIN_CE_HIGH,4,14,10,69,0.285714,0.144928,0.140787,2.36,0.767105,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,MAIN_CE_MEDIUM,0,14,2,69,0.0,0.028986,-0.028986,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,NC,1,14,4,69,0.071429,0.057971,0.013458,1.25,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,NEPH,0,14,4,69,0.0,0.057971,-0.057971,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_phase,UNKNOWN,4,14,26,69,0.285714,0.376812,-0.091097,0.661538,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_manufacturer,GE,14,14,46,69,1.0,0.666667,0.333333,,0.148313,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_manufacturer,SIEMENS,0,14,23,69,0.0,0.333333,-0.333333,0.0,0.148313,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,Definition,0,14,1,69,0.0,0.014493,-0.014493,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,Definition AS+,0,14,3,69,0.0,0.043478,-0.043478,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,LightSpeed Plus,0,14,2,69,0.0,0.028986,-0.028986,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,LightSpeed QX/i,1,14,8,69,0.071429,0.115942,-0.044513,0.586538,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,LightSpeed Ultra,1,14,6,69,0.071429,0.086957,-0.015528,0.807692,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,LightSpeed VCT,3,14,10,69,0.214286,0.144928,0.069358,1.609091,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,LightSpeed16,9,14,20,69,0.642857,0.289855,0.353002,4.41,0.178701,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,SOMATOM Definition,0,14,1,69,0.0,0.014493,-0.014493,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,Sensation 16,0,14,2,69,0.0,0.028986,-0.028986,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,Sensation 64,0,14,12,69,0.0,0.173913,-0.173913,0.0,0.713584,,,,,,,,
