rank,recurrent_set_id,member_count,occurrence_count,total_accept_set_count,accept_set_frequency,supporting_k_count,supporting_ks,supporting_run_count,usable_run_count,run_support_frequency,member_ids
21,RS021,12,6,27,0.2222222222222222,4,"[4, 5, 6, 8]",6,19,0.3157894736842105,"[""TCGA-B0-4712"", ""TCGA-B0-5115"", ""TCGA-B0-5812"", ""TCGA-BP-4960"", ""TCGA-BP-4989"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5195""]"
22,RS022,12,6,27,0.2222222222222222,3,"[2, 4, 6]",6,19,0.3157894736842105,"[""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5165"", ""TCGA-B8-5549"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4977"", ""TCGA-BP-4986"", ""TCGA-BP-5174"", ""TCGA-BP-5192"", ""TCGA-BP-5196"", ""TCGA-CZ-5984""]"
23,RS023,34,5,27,0.18518518518518517,2,"[2, 4]",5,19,0.2631578947368421,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451""]"
24,RS024,33,5,27,0.18518518518518517,3,"[4, 5, 6]",5,19,0.2631578947368421,"[""TCGA-B0-4712"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-G6-A8L7""]"
25,RS025,32,5,27,0.18518518518518517,3,"[2, 4, 6]",5,19,0.2631578947368421,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859""]"
26,RS026,17,5,27,0.18518518518518517,4,"[4, 5, 7, 8]",5,19,0.2631578947368421,"[""TCGA-B0-5088"", ""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5175"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
27,RS027,17,5,27,0.18518518518518517,4,"[4, 5, 6, 7]",5,19,0.2631578947368421,"[""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B8-5551"", ""TCGA-BP-4167"", ""TCGA-BP-4962"", ""TCGA-BP-4971"", ""TCGA-BP-4992"", ""TCGA-BP-5175"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC""]"
28,RS028,13,5,27,0.18518518518518517,2,"[2, 4]",5,19,0.2631578947368421,"[""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5165"", ""TCGA-B8-5549"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4977"", ""TCGA-BP-4986"", ""TCGA-BP-5174"", ""TCGA-BP-5192"", ""TCGA-BP-5196"", ""TCGA-BP-5199"", ""TCGA-CZ-5984""]"
29,RS029,10,5,27,0.18518518518518517,3,"[2, 6, 8]",5,19,0.2631578947368421,"[""TCGA-B0-5085"", ""TCGA-BP-4972"", ""TCGA-BP-4976"", ""TCGA-BP-4995"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5199"", ""TCGA-CZ-4859""]"
30,RS030,47,4,27,0.14814814814814814,2,"[2, 4]",4,19,0.21052631578947367,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5165"", ""TCGA-B8-5549"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4967"", ""TCGA-BP-4970"", ""TCGA-BP-4976"", ""TCGA-BP-4977"", ""TCGA-BP-4982"", ""TCGA-BP-4986"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5174"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5196"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451"", ""TCGA-CZ-5984""]"
31,RS031,38,4,27,0.14814814814814814,2,"[4, 5]",4,19,0.21052631578947367,"[""TCGA-B0-4712"", ""TCGA-B0-5081"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-B8-4148"", ""TCGA-B8-4622"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-CZ-5451"", ""TCGA-G6-A8L7""]"
32,RS032,34,4,27,0.14814814814814814,3,"[4, 5, 6]",4,19,0.21052631578947367,"[""TCGA-B0-4712"", ""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CJ-6033"", ""TCGA-CZ-4859"", ""TCGA-G6-A8L7""]"
33,RS033,33,4,27,0.14814814814814814,2,"[2, 6]",4,19,0.21052631578947367,"[""TCGA-B0-5085"", ""TCGA-B0-5115"", ""TCGA-B0-5703"", ""TCGA-B0-5812"", ""TCGA-BP-4164"", ""TCGA-BP-4960"", ""TCGA-BP-4965"", ""TCGA-BP-4972"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5180"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5189"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859""]"
