core_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
CORE01,HALLMARK_WNT_BETA_CATENIN_SIGNALING,18,85,0.18251437,0.15412156,0.17426394,0.15094392,0.39074327,up,0.10163763,0.20981723,18,85
CORE01,HALLMARK_XENOBIOTIC_METABOLISM,18,85,0.3469653,0.34130415,0.34212452,0.33434865,0.19284402,up,0.76447938,0.85679198,18,85
CORE02,HALLMARK_ADIPOGENESIS,14,89,0.43600896,0.47655872,0.43776392,0.47057734,-1.06090319,down,0.00052215,0.00372964,14,89
CORE02,HALLMARK_ALLOGRAFT_REJECTION,14,89,0.27426189,0.22643281,0.28342306,0.2392497,0.44371568,up,0.07117944,0.1482905,14,89
CORE02,HALLMARK_ANDROGEN_RESPONSE,14,89,0.34640937,0.41335137,0.35505748,0.40350698,-0.96164238,down,0.00042051,0.00350425,14,89
CORE02,HALLMARK_ANGIOGENESIS,14,89,0.5263757,0.45928595,0.49187038,0.45104405,0.4992724,up,0.06821602,0.1482905,14,89
CORE02,HALLMARK_APICAL_JUNCTION,14,89,0.30837211,0.29357634,0.31263064,0.28497274,0.69884964,up,0.02654636,0.07807753,14,89
CORE02,HALLMARK_APICAL_SURFACE,14,89,0.09447274,0.08545271,0.08773635,0.08293651,0.09943163,up,0.67550499,0.76761931,14,89
CORE02,HALLMARK_APOPTOSIS,14,89,0.45222771,0.43789699,0.45112508,0.4333243,0.49748867,up,0.06259329,0.14225748,14,89
CORE02,HALLMARK_BILE_ACID_METABOLISM,14,89,0.13396781,0.18559299,0.12289542,0.17673019,-1.08769789,down,0.00162398,0.00902211,14,89
CORE02,HALLMARK_CHOLESTEROL_HOMEOSTASIS,14,89,0.33310299,0.31972447,0.32620283,0.32128171,0.16946585,up,0.38909083,0.50565588,14,89
CORE02,HALLMARK_COAGULATION,14,89,0.41697777,0.36974698,0.41028598,0.36419629,1.00195841,up,0.00037692,0.00350425,14,89
CORE02,HALLMARK_COMPLEMENT,14,89,0.32205333,0.31022598,0.32302558,0.30051333,0.45045594,up,0.11342153,0.21811833,14,89
CORE02,HALLMARK_DNA_REPAIR,14,89,0.31111096,0.29712017,0.31826196,0.29754095,0.79253792,up,0.00849045,0.03359231,14,89
CORE02,HALLMARK_E2F_TARGETS,14,89,0.08876937,0.09789401,0.11084107,0.10654154,0.08353936,up,0.89663618,0.90425443,14,89
CORE02,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14,89,0.44055719,0.40041018,0.45107645,0.38551158,0.74858625,up,0.00977179,0.03489925,14,89
CORE02,HALLMARK_ESTROGEN_RESPONSE_EARLY,14,89,0.21097745,0.23264352,0.21295497,0.23222582,-0.56779787,down,0.03809996,0.10026305,14,89
CORE02,HALLMARK_ESTROGEN_RESPONSE_LATE,14,89,0.24272235,0.24976917,0.23958889,0.2468987,-0.26265507,down,0.39441159,0.50565588,14,89
CORE02,HALLMARK_FATTY_ACID_METABOLISM,14,89,0.36557768,0.417773,0.36273072,0.41635056,-1.16527678,down,0.00031354,0.00350425,14,89
CORE02,HALLMARK_G2M_CHECKPOINT,14,89,0.09716994,0.0937853,0.11361279,0.10583249,0.15978315,up,0.76179262,0.81041768,14,89
CORE02,HALLMARK_GLYCOLYSIS,14,89,0.38868,0.39461683,0.39635262,0.38956256,0.18041731,up,0.72540598,0.78848476,14,89
CORE02,HALLMARK_HEDGEHOG_SIGNALING,14,89,0.13887912,0.13288516,0.14185267,0.13226763,0.21051231,up,0.55397075,0.69246344,14,89
CORE02,HALLMARK_HEME_METABOLISM,14,89,0.28687132,0.31938369,0.29239206,0.31725306,-0.95542493,down,0.0002075,0.00350425,14,89
CORE02,HALLMARK_HYPOXIA,14,89,0.47992678,0.45971209,0.47674896,0.45053569,0.63014624,up,0.00533815,0.02426432,14,89
CORE02,HALLMARK_IL2_STAT5_SIGNALING,14,89,0.29327745,0.28216524,0.28818065,0.27388252,0.35150141,up,0.24232045,0.39083944,14,89
CORE02,HALLMARK_IL6_JAK_STAT3_SIGNALING,14,89,0.34376154,0.30366141,0.33768092,0.30025753,0.46116053,up,0.11787547,0.21828791,14,89
CORE02,HALLMARK_INFLAMMATORY_RESPONSE,14,89,0.2283079,0.20455754,0.21749107,0.19035015,0.3301786,up,0.27898664,0.41715269,14,89
CORE02,HALLMARK_INTERFERON_ALPHA_RESPONSE,14,89,0.41640835,0.41449367,0.42986035,0.41607793,0.17925621,up,0.59995942,0.7142374,14,89
CORE02,HALLMARK_INTERFERON_GAMMA_RESPONSE,14,89,0.35732708,0.35943812,0.36897177,0.35592205,0.16327935,up,0.62018401,0.7211442,14,89
CORE02,HALLMARK_KRAS_SIGNALING_DN,14,89,-0.1494497,-0.15480447,-0.15389531,-0.15395554,0.0020295,up,0.86626529,0.90235968,14,89
CORE02,HALLMARK_KRAS_SIGNALING_UP,14,89,0.22696482,0.20568019,0.21463255,0.19420029,0.38143998,up,0.13206334,0.23582739,14,89
CORE02,HALLMARK_MITOTIC_SPINDLE,14,89,0.16214413,0.17895389,0.16647266,0.17657514,-0.25997786,down,0.32395276,0.44418332,14,89
CORE02,HALLMARK_MTORC1_SIGNALING,14,89,0.41513204,0.43011485,0.41695616,0.42908402,-0.35752528,down,0.08410551,0.16821102,14,89
CORE02,HALLMARK_MYC_TARGETS_V1,14,89,0.54388803,0.56213693,0.55408918,0.56287646,-0.35397049,down,0.04797986,0.11994965,14,89
CORE02,HALLMARK_MYC_TARGETS_V2,14,89,0.24645962,0.22222422,0.25491415,0.23035911,0.45119738,up,0.21624745,0.36041242,14,89
CORE02,HALLMARK_MYOGENESIS,14,89,0.27767206,0.25739374,0.28264074,0.24953978,0.86359651,up,0.01432222,0.04774073,14,89
CORE02,HALLMARK_NOTCH_SIGNALING,14,89,0.3245294,0.32121881,0.32572431,0.31039952,0.32825569,up,0.29200688,0.41715269,14,89
CORE02,HALLMARK_OXIDATIVE_PHOSPHORYLATION,14,89,0.55338984,0.58014499,0.55193122,0.58322169,-0.66871327,down,0.03304663,0.09179619,14,89
CORE02,HALLMARK_P53_PATHWAY,14,89,0.3959077,0.375179,0.39617469,0.37301976,0.87709607,up,0.00098103,0.00613144,14,89
