matrix,core_a,core_b,mean_similarity
wsi,CORE01,CORE03,0.06420944530029338
wsi,CORE01,CORE04,0.040143268958261306
wsi,CORE01,CORE05,0.03104067849299406
wsi,CORE01,CORE06,0.09961926329244124
wsi,CORE01,CORE07,0.10262422198746272
wsi,CORE01,CORE08,0.05037467506680293
wsi,CORE01,CORE09,0.05228148935043253
wsi,CORE01,CORE10,0.04873449587117527
wsi,CORE02,CORE03,0.044202962639559945
wsi,CORE02,CORE04,0.040148685900527205
wsi,CORE02,CORE05,0.05226501424281834
wsi,CORE02,CORE06,0.03621525967912052
wsi,CORE02,CORE07,0.050552229507207294
wsi,CORE02,CORE08,0.04742938413478389
wsi,CORE02,CORE09,0.06715711250902982
wsi,CORE02,CORE10,0.05738087207719201
wsi,CORE03,CORE04,0.03498322390495956
wsi,CORE03,CORE05,0.036588011673882856
wsi,CORE03,CORE06,0.042742178092959666
wsi,CORE03,CORE07,0.08237976995775832
wsi,CORE03,CORE08,0.04092483899267828
wsi,CORE03,CORE09,0.06593760901046346
wsi,CORE03,CORE10,0.06615894338671952
wsi,CORE04,CORE05,0.041301477164728005
wsi,CORE04,CORE06,0.03368617861079744
wsi,CORE04,CORE07,0.03376881346334117
wsi,CORE04,CORE08,0.04197086123057737
wsi,CORE04,CORE09,0.04584281685758661
wsi,CORE04,CORE10,0.035331195542779456
wsi,CORE05,CORE06,0.04671396430186741
wsi,CORE05,CORE07,0.03447487929548764
wsi,CORE05,CORE08,0.035385987619933716
wsi,CORE05,CORE09,0.050073390355943846
wsi,CORE05,CORE10,0.053032222950745986
wsi,CORE06,CORE07,0.04729851008406943
wsi,CORE06,CORE08,0.05239060623015274
wsi,CORE06,CORE09,0.052112458911725994
wsi,CORE06,CORE10,0.055235367206223705
wsi,CORE07,CORE08,0.08069113596095749
wsi,CORE07,CORE09,0.12732614684205548
wsi,CORE07,CORE10,0.1135307685578164
wsi,CORE08,CORE09,0.06674243608703552
wsi,CORE08,CORE10,0.0548937632990302
wsi,CORE09,CORE10,0.1359428010028952
rna,CORE01,CORE02,0.01968200089762055
rna,CORE01,CORE03,0.04245159169909259
rna,CORE01,CORE04,0.018613184365312382
rna,CORE01,CORE05,0.032905074375248325
rna,CORE01,CORE06,0.05511029059948746
rna,CORE01,CORE07,0.05118315228653508
rna,CORE01,CORE08,0.03666305864137198
rna,CORE01,CORE09,0.058103585566231686
rna,CORE01,CORE10,0.03132609934965028
rna,CORE02,CORE03,0.033370608486399576
rna,CORE02,CORE04,0.03284287698802007
rna,CORE02,CORE05,0.038817655695298436
rna,CORE02,CORE06,0.032000576679476145
rna,CORE02,CORE07,0.030393203766755805
rna,CORE02,CORE08,0.040367963755798965
rna,CORE02,CORE09,0.02345671514066188
rna,CORE02,CORE10,0.03954221656723273
rna,CORE03,CORE04,0.03129058995325656
rna,CORE03,CORE05,0.0394705971953318
rna,CORE03,CORE06,0.045425227903142934
rna,CORE03,CORE07,0.040442030634824065
rna,CORE03,CORE08,0.06442682714088163
rna,CORE03,CORE09,0.036724724620199066
rna,CORE03,CORE10,0.0341122393402117
rna,CORE04,CORE05,0.04691895249962807
rna,CORE04,CORE06,0.0207823908789362
rna,CORE04,CORE07,0.021863011912925025
rna,CORE04,CORE08,0.022884975197804084
rna,CORE04,CORE09,0.010262922160933545
rna,CORE04,CORE10,0.0405630468340646
rna,CORE05,CORE06,0.04184618799511245
rna,CORE05,CORE07,0.03077091424366114
rna,CORE05,CORE08,0.03416805519571881
rna,CORE05,CORE09,0.028325616728544334
rna,CORE05,CORE10,0.04075357701513284
rna,CORE06,CORE07,0.04329169122389753
rna,CORE06,CORE08,0.049341227513772616
rna,CORE06,CORE09,0.05761899438196004
rna,CORE06,CORE10,0.03350590062643312
rna,CORE07,CORE08,0.030034237032572682
rna,CORE07,CORE09,0.08031379597909323
rna,CORE07,CORE10,0.04379152004039789
rna,CORE08,CORE09,0.03222734168546462
rna,CORE08,CORE10,0.0318669569305399
rna,CORE09,CORE10,0.050599261302782556
wxs,CORE01,CORE02,0.006737613905568173
wxs,CORE01,CORE03,0.0007185473308599149
wxs,CORE01,CORE04,0.015630656793522126
wxs,CORE01,CORE05,0.00839025539709482
wxs,CORE01,CORE06,0.004876854293352292
wxs,CORE01,CORE07,0.022237074069644903
wxs,CORE01,CORE08,0.005039480410948499
wxs,CORE01,CORE09,0.014872702942885202
wxs,CORE01,CORE10,0.011114423457770927
wxs,CORE02,CORE03,0.0026515342124249553
wxs,CORE02,CORE04,0.014214546849678331
wxs,CORE02,CORE05,0.007221087757114649
wxs,CORE02,CORE06,0.006429671811723583
wxs,CORE02,CORE07,0.00897076508079832
wxs,CORE02,CORE08,0.00954836483420421
wxs,CORE02,CORE09,0.01232645866168034
wxs,CORE02,CORE10,0.0076758061088938396
wxs,CORE03,CORE04,0.0031802478634325618
wxs,CORE03,CORE05,0.0007072874497434169
wxs,CORE03,CORE06,0.0004000693900510625
wxs,CORE03,CORE07,0.002632636041427247
