patient_id,left,right,knn_jaccard
TCGA-B0-5085,wxs,cnv,0.1111111111111111
TCGA-B0-5088,wxs,cnv,0.0
TCGA-B0-5106,wxs,cnv,0.05263157894736842
TCGA-B0-5115,wxs,cnv,0.0
TCGA-B0-5117,wxs,cnv,0.0
TCGA-B0-5696,wxs,cnv,0.0
TCGA-B0-5697,wxs,cnv,0.0
TCGA-B0-5698,wxs,cnv,0.1111111111111111
TCGA-B0-5702,wxs,cnv,0.05263157894736842
TCGA-B0-5703,wxs,cnv,0.05263157894736842
TCGA-B0-5706,wxs,cnv,0.17647058823529413
TCGA-B0-5709,wxs,cnv,0.0
TCGA-B0-5712,wxs,cnv,0.0
TCGA-B0-5812,wxs,cnv,0.05263157894736842
TCGA-B8-4148,wxs,cnv,0.0
TCGA-B8-4151,wxs,cnv,0.05263157894736842
TCGA-B8-4153,wxs,cnv,0.05263157894736842
TCGA-B8-4619,wxs,cnv,0.05263157894736842
TCGA-B8-4622,wxs,cnv,0.05263157894736842
TCGA-B8-5158,wxs,cnv,0.1111111111111111
TCGA-B8-5159,wxs,cnv,0.1111111111111111
TCGA-B8-5162,wxs,cnv,0.05263157894736842
TCGA-B8-5164,wxs,cnv,0.1111111111111111
TCGA-B8-5165,wxs,cnv,0.1111111111111111
TCGA-B8-5546,wxs,cnv,0.05263157894736842
TCGA-B8-5549,wxs,cnv,0.0
TCGA-B8-5550,wxs,cnv,0.0
TCGA-B8-5551,wxs,cnv,0.25
TCGA-B8-5553,wxs,cnv,0.0
TCGA-B8-A54D,wxs,cnv,0.17647058823529413
TCGA-B8-A54E,wxs,cnv,0.0
TCGA-B8-A54F,wxs,cnv,0.0
TCGA-B8-A54G,wxs,cnv,0.05263157894736842
TCGA-BP-4164,wxs,cnv,0.05263157894736842
TCGA-BP-4167,wxs,cnv,0.0
TCGA-BP-4770,wxs,cnv,0.1111111111111111
TCGA-BP-4782,wxs,cnv,0.0
TCGA-BP-4960,wxs,cnv,0.0
TCGA-BP-4962,wxs,cnv,0.25
TCGA-BP-4965,wxs,cnv,0.05263157894736842
TCGA-BP-4967,wxs,cnv,0.0
TCGA-BP-4970,wxs,cnv,0.05263157894736842
TCGA-BP-4971,wxs,cnv,0.05263157894736842
TCGA-BP-4972,wxs,cnv,0.0
TCGA-BP-4976,wxs,cnv,0.05263157894736842
TCGA-BP-4977,wxs,cnv,0.0
TCGA-BP-4982,wxs,cnv,0.0
TCGA-BP-4986,wxs,cnv,0.0
TCGA-BP-4988,wxs,cnv,0.05263157894736842
TCGA-BP-4989,wxs,cnv,0.0
TCGA-BP-4992,wxs,cnv,0.0
TCGA-BP-4994,wxs,cnv,0.05263157894736842
TCGA-BP-4995,wxs,cnv,0.05263157894736842
TCGA-BP-4999,wxs,cnv,0.0
TCGA-BP-5000,wxs,cnv,0.17647058823529413
TCGA-BP-5001,wxs,cnv,0.0
TCGA-BP-5004,wxs,cnv,0.1111111111111111
TCGA-BP-5006,wxs,cnv,0.0
TCGA-BP-5007,wxs,cnv,0.05263157894736842
TCGA-BP-5009,wxs,cnv,0.1111111111111111
TCGA-BP-5010,wxs,cnv,0.17647058823529413
TCGA-BP-5174,wxs,cnv,0.0
TCGA-BP-5175,wxs,cnv,0.0
TCGA-BP-5180,wxs,cnv,0.0
TCGA-BP-5181,wxs,cnv,0.0
TCGA-BP-5183,wxs,cnv,0.05263157894736842
TCGA-BP-5184,wxs,cnv,0.1111111111111111
TCGA-BP-5186,wxs,cnv,0.05263157894736842
TCGA-BP-5187,wxs,cnv,0.05263157894736842
TCGA-BP-5189,wxs,cnv,0.05263157894736842
TCGA-BP-5190,wxs,cnv,0.05263157894736842
TCGA-BP-5191,wxs,cnv,0.0
TCGA-BP-5192,wxs,cnv,0.0
TCGA-BP-5194,wxs,cnv,0.1111111111111111
TCGA-BP-5195,wxs,cnv,0.0
TCGA-BP-5196,wxs,cnv,0.0
TCGA-BP-5199,wxs,cnv,0.0
TCGA-BP-5200,wxs,cnv,0.1111111111111111
TCGA-CJ-4637,wxs,cnv,0.25
TCGA-CJ-4641,wxs,cnv,0.05263157894736842
TCGA-CJ-4900,wxs,cnv,0.0
TCGA-CJ-4902,wxs,cnv,0.1111111111111111
TCGA-CJ-4903,wxs,cnv,0.1111111111111111
TCGA-CJ-4904,wxs,cnv,0.17647058823529413
TCGA-CJ-4923,wxs,cnv,0.17647058823529413
TCGA-CJ-6027,wxs,cnv,0.0
TCGA-CJ-6028,wxs,cnv,0.0
TCGA-CJ-6030,wxs,cnv,0.05263157894736842
TCGA-CJ-6033,wxs,cnv,0.1111111111111111
TCGA-CZ-4859,wxs,cnv,0.0
TCGA-CZ-4863,wxs,cnv,0.05263157894736842
TCGA-CZ-4865,wxs,cnv,0.05263157894736842
TCGA-CZ-5451,wxs,cnv,0.05263157894736842
TCGA-CZ-5462,wxs,cnv,0.05263157894736842
TCGA-CZ-5468,wxs,cnv,0.0
TCGA-CZ-5984,wxs,cnv,0.05263157894736842
TCGA-CZ-5985,wxs,cnv,0.05263157894736842
TCGA-CZ-5988,wxs,cnv,0.05263157894736842
TCGA-G6-A5PC,wxs,cnv,0.1111111111111111
TCGA-G6-A8L7,wxs,cnv,0.0
