variant,initial_k,cluster_count,cluster_sizes,labels
M5_independent_wxs_cnv,8,8,"[4, 11, 15, 14, 23, 15, 11, 10]","[0, 1, 2, 0, 3, 2, 4, 5, 6, 1, 4, 1, 4, 2, 3, 6, 4, 2, 2, 5, 5, 4, 2, 2, 7, 5, 7, 5, 2, 3, 3, 2, 5, 1, 5, 3, 6, 1, 5, 1, 2, 3, 4, 7, 7, 3, 1, 4, 7, 4, 7, 4, 6, 5, 5, 0, 4, 3, 3, 4, 4, 5, 4, 2, 7, 1, 6, 0, 6, 4, 4, 4, 4, 4, 1, 4, 4, 4, 7, 2, 6, 3, 3, 6, 7, 6, 4, 2, 6, 1, 6, 2, 2, 5, 5, 4, 3, 5, 7, 3, 5, 3, 1]"
M_CNV,2,2,"[64, 39]","[0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
M_CNV,3,3,"[46, 33, 24]","[0, 0, 1, 2, 1, 0, 0, 1, 0, 1, 2, 1, 0, 0, 1, 0, 2, 1, 0, 2, 1, 0, 0, 0, 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 2, 1, 1, 1, 0, 1, 2, 2, 0, 2, 2, 2, 2, 0, 0, 1, 0, 0, 2, 0, 2, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1]"
M_CNV,4,4,"[34, 21, 21, 27]","[0, 0, 0, 1, 2, 0, 0, 2, 3, 3, 1, 3, 0, 0, 2, 3, 1, 3, 3, 1, 0, 0, 0, 3, 2, 2, 1, 2, 3, 0, 0, 3, 3, 2, 3, 2, 0, 0, 0, 2, 0, 0, 2, 3, 2, 2, 2, 1, 0, 1, 2, 2, 3, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 0, 2, 0, 3, 1, 3, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 3, 3, 2, 2, 2, 3, 1, 0, 0, 0, 3, 0, 3, 2, 3, 3, 3, 0, 3, 3, 3, 0, 3]"
M_CNV,5,5,"[29, 18, 22, 4, 30]","[0, 0, 1, 2, 1, 0, 0, 3, 4, 4, 2, 4, 0, 0, 1, 4, 2, 4, 4, 2, 3, 0, 0, 4, 4, 4, 2, 1, 4, 0, 0, 4, 4, 1, 4, 4, 0, 0, 0, 1, 0, 0, 1, 4, 1, 1, 1, 2, 0, 2, 1, 1, 4, 4, 3, 3, 2, 0, 2, 2, 2, 2, 0, 0, 1, 0, 4, 2, 4, 2, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 4, 1, 1, 1, 1, 4, 2, 0, 4, 0, 4, 0, 4, 1, 4, 2, 4, 0, 4, 4, 4, 0, 4]"
M_CNV,6,6,"[23, 20, 19, 8, 16, 17]","[0, 0, 0, 1, 2, 0, 0, 3, 4, 4, 1, 4, 0, 0, 2, 5, 1, 4, 5, 5, 3, 5, 0, 4, 2, 2, 1, 2, 4, 0, 0, 4, 5, 2, 4, 2, 0, 0, 0, 2, 0, 0, 2, 4, 2, 0, 2, 1, 5, 1, 2, 2, 4, 5, 3, 3, 1, 5, 5, 1, 1, 1, 5, 0, 2, 3, 5, 1, 4, 1, 1, 1, 3, 1, 3, 1, 1, 1, 4, 0, 5, 2, 2, 2, 2, 0, 1, 0, 5, 0, 0, 0, 4, 2, 4, 1, 5, 3, 4, 5, 5, 5, 4]"
M_CNV,7,7,"[18, 17, 21, 6, 6, 17, 18]","[0, 0, 1, 2, 2, 0, 1, 3, 4, 4, 2, 0, 0, 1, 5, 6, 2, 0, 6, 6, 3, 6, 1, 4, 5, 5, 2, 3, 0, 1, 1, 4, 6, 3, 0, 5, 6, 0, 1, 5, 0, 1, 5, 0, 5, 5, 5, 2, 6, 2, 5, 5, 0, 6, 3, 3, 2, 6, 6, 2, 2, 2, 6, 1, 5, 0, 6, 2, 4, 2, 2, 2, 1, 2, 0, 2, 2, 2, 1, 1, 6, 5, 5, 5, 5, 1, 2, 1, 6, 1, 1, 1, 4, 5, 0, 2, 6, 0, 0, 6, 6, 6, 0]"
M_CNV,8,8,"[20, 14, 23, 13, 6, 10, 7, 10]","[0, 0, 1, 2, 3, 0, 1, 4, 2, 2, 2, 0, 0, 1, 3, 5, 2, 0, 5, 2, 4, 5, 1, 6, 6, 6, 2, 4, 0, 0, 7, 6, 7, 4, 0, 7, 5, 0, 1, 3, 0, 1, 3, 0, 3, 3, 3, 2, 5, 2, 3, 3, 0, 5, 4, 4, 2, 5, 2, 2, 2, 2, 5, 1, 3, 0, 7, 2, 6, 2, 3, 2, 1, 2, 0, 2, 2, 2, 1, 1, 5, 7, 3, 7, 3, 1, 2, 1, 7, 0, 1, 1, 6, 6, 0, 2, 7, 0, 0, 7, 7, 5, 0]"
M_WXS,2,2,"[62, 41]","[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
M_WXS,3,3,"[38, 24, 41]","[0, 0, 0, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 0, 0, 1, 2, 0, 2, 2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 2, 2, 0, 0, 2, 2, 2, 0, 0, 1, 2, 2, 0, 2, 1, 2, 1, 2, 0, 0, 2, 2, 1, 1, 0, 0, 1, 1, 2, 0, 0, 2, 2, 0, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 2, 2, 0, 2, 0, 2]"
M_WXS,4,4,"[22, 28, 19, 34]","[0, 1, 1, 0, 2, 3, 1, 3, 1, 3, 0, 3, 0, 1, 2, 1, 1, 3, 1, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 2, 1, 3, 3, 2, 1, 2, 0, 3, 3, 2, 3, 0, 3, 1, 3, 0, 0, 3, 3, 0, 0, 1, 1, 0, 0, 3, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 3, 1, 2, 0, 1, 0, 3, 1, 1, 2, 2, 0, 2, 1, 1, 2, 1, 2, 2, 1, 1, 3, 3, 1, 2, 3, 3, 2, 3, 2, 1]"
M_WXS,5,5,"[18, 33, 15, 16, 21]","[0, 1, 1, 2, 3, 0, 1, 4, 1, 4, 2, 0, 2, 1, 3, 1, 1, 0, 1, 4, 4, 1, 1, 1, 0, 4, 0, 4, 0, 3, 3, 4, 3, 4, 4, 3, 1, 4, 4, 4, 1, 3, 2, 0, 0, 3, 4, 2, 0, 1, 0, 0, 0, 4, 4, 4, 2, 1, 1, 2, 2, 4, 1, 1, 0, 1, 1, 2, 2, 2, 2, 2, 1, 1, 3, 2, 1, 2, 0, 1, 1, 3, 3, 3, 0, 1, 1, 1, 1, 3, 0, 1, 1, 4, 4, 1, 3, 4, 0, 3, 4, 3, 1]"
