core_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
CORE02,chr1p,14,89,-0.00162186,0.0083,-0.06490474,-0.01324348,-0.45527679,0.16146286,0.41640422,-0.23434992,lower_in_core
CORE02,chr1q,14,89,0.00223817,0.0268,0.02112598,0.03197486,-0.09913825,0.15161408,0.41272722,-0.2399679,lower_in_core
CORE02,chr2p,14,89,0.01007839,0.0345,0.03274756,0.04564227,-0.13216909,0.23465126,0.50333881,-0.19903692,lower_in_core
CORE02,chr2q,14,89,0.00919289,0.0247,0.01008498,0.03265393,-0.22910183,0.4823712,0.6018855,-0.11797753,lower_in_core
CORE02,chr3p,14,89,-0.2524286,-0.33226181,-0.2682509,-0.31092094,0.23910659,0.28762218,0.50333881,0.17817014,higher_in_core
CORE02,chr3q,14,89,0.01002723,0.01728328,-0.0018308,-0.00750358,0.03824829,0.88142894,0.91893655,-0.02568218,lower_in_core
CORE02,chr4p,14,89,-0.00145,0.011032,-0.01224646,-0.00273746,-0.09136224,0.44999983,0.6018855,-0.12680578,lower_in_core
CORE02,chr4q,14,89,-0.0021915,0.0113,-0.01428228,0.00303089,-0.18831218,0.35308138,0.55809637,-0.15569823,lower_in_core
CORE02,chr5p,14,89,0.13794596,0.0463,0.20427826,0.10908783,0.62208029,0.12719398,0.39321254,0.25521669,higher_in_core
CORE02,chr5q,14,89,0.14376046,0.16741079,0.21897601,0.17171702,0.31975232,0.49142032,0.6018855,0.11556982,higher_in_core
CORE02,chr6p,14,89,-0.02138257,0.00885326,-0.09102532,-0.02259018,-0.57648161,0.07823137,0.34848519,-0.29454254,lower_in_core
CORE02,chr6q,14,89,-0.02497248,-0.0016,-0.07986008,-0.05076591,-0.20686971,0.27898664,0.50333881,-0.18138042,lower_in_core
CORE02,chr7p,14,89,0.05499612,0.04057436,0.13029173,0.09360904,0.27614157,0.69317641,0.7898987,0.06661316,higher_in_core
CORE02,chr7q,14,89,0.03975,0.034,0.1381928,0.09202047,0.32493282,0.96162409,0.96162409,-0.00882825,lower_in_core
CORE02,chr8p,14,89,-0.03296294,-0.0092,-0.13964427,-0.09098225,-0.26040026,0.82483403,0.89815261,-0.03772071,lower_in_core
CORE02,chr8q,14,89,0.02147844,0.0123,0.05673759,-0.0027943,0.43147118,0.43287435,0.6018855,0.13162119,higher_in_core
CORE02,chr9p,14,89,-0.1055953,-0.0024,-0.11040217,-0.06488943,-0.27621846,0.12839593,0.39321254,-0.25441413,lower_in_core
CORE02,chr9q,14,89,-0.05138755,-0.00204556,-0.09190716,-0.07330947,-0.11558731,0.47639589,0.6018855,-0.11958266,lower_in_core
CORE02,chr10p,14,89,-0.00599088,0.00735664,-0.01015192,-0.01239178,0.02162316,0.50361848,0.6018855,-0.11235955,lower_in_core
CORE02,chr10q,14,89,-0.03165271,0.0006,-0.07450696,-0.02661812,-0.42994254,0.03304663,0.31441659,-0.35634029,lower_in_core
CORE02,chr11p,14,89,0.00925151,0.02308721,0.0321865,0.03248353,-0.00537014,0.85870113,0.91470338,-0.03049759,lower_in_core
CORE02,chr11q,14,89,0.00515484,0.0216,-0.01765313,0.02829656,-0.73692142,0.13963552,0.40247885,-0.24719101,lower_in_core
CORE02,chr12p,14,89,0.10973697,0.03292014,0.14553146,0.06728339,0.73000382,0.12130407,0.39321254,0.25922953,higher_in_core
CORE02,chr12q,14,89,0.10543523,0.0341,0.13180734,0.06912974,0.63030006,0.1059463,0.39321254,0.27046549,higher_in_core
CORE02,chr13p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr13q,14,89,-0.00339413,0.01027612,-0.05207011,-0.00568258,-0.47628648,0.26429992,0.50333881,-0.18699839,lower_in_core
CORE02,chr14p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr14q,14,89,-0.11310846,-0.1027691,-0.14362661,-0.1473243,0.0185402,0.9118815,0.93087903,0.01926164,higher_in_core
CORE02,chr15p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE02,chr15q,14,89,-0.00133029,0.0163,-0.02052492,0.01584233,-0.45558572,0.05133332,0.31441659,-0.3258427,lower_in_core
CORE02,chr16p,14,89,0.04785,0.0381,0.09402057,0.07256055,0.19711733,0.61340947,0.71564438,0.08507223,higher_in_core
