core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
CORE01,CORE05,mutation::TSC2,1.0,1.0,0.94285714,0.0333787,26.63313897,0.05555555555555555,0.0,0.05555555555555555
CORE01,CORE05,mutation::TTN,0.53924337,1.0,0.45454545,0.04663772,4.43013839,0.1111111111111111,0.2,-0.0888888888888889
CORE01,CORE05,mutation::VHL,1.0,1.0,1.0952381,0.16954456,7.07511059,0.6111111111111112,0.6,0.011111111111111183
CORE02,CORE03,mutation::ARID1A,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE03,mutation::ATM,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE03,mutation::BAP1,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE03,mutation::CDKN2A,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE03,mutation::DST,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE03,mutation::ELOC,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE03,mutation::FLG,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE03,mutation::KDM5C,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE03,mutation::KMT2C,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE03,mutation::LYST,1.0,1.0,1.4,0.15758866,12.43744325,0.14285714285714285,0.09090909090909091,0.05194805194805194
CORE02,CORE03,mutation::MTOR,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE03,mutation::MUC16,1.0,1.0,0.77777778,0.07037408,8.59603826,0.07142857142857142,0.09090909090909091,-0.019480519480519487
CORE02,CORE03,mutation::PBRM1,1.0,1.0,1.15652174,0.18432287,7.25651987,0.21428571428571427,0.18181818181818182,0.03246753246753245
CORE02,CORE03,mutation::PIK3CA,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE03,mutation::PTEN,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE03,mutation::SETD2,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE03,mutation::SPTA1,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE03,mutation::TP53,0.44,1.0,0.24137931,0.008923,6.52963871,0.0,0.09090909090909091,-0.09090909090909091
CORE02,CORE03,mutation::TSC1,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE03,mutation::TSC2,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE03,mutation::TTN,0.18333333,1.0,0.13103448,0.00564493,3.04167462,0.0,0.18181818181818182,-0.18181818181818182
CORE02,CORE03,mutation::VHL,0.43466012,1.0,2.04132231,0.43469039,9.58612586,0.6428571428571429,0.45454545454545453,0.18831168831168837
CORE02,CORE04,mutation::ARID1A,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE04,mutation::ATM,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE04,mutation::BAP1,0.17745995,1.0,0.23636364,0.0402542,1.38787425,0.14285714285714285,0.45454545454545453,-0.3116883116883117
CORE02,CORE04,mutation::CDKN2A,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE04,mutation::DST,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE04,mutation::ELOC,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE04,mutation::FLG,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE04,mutation::KDM5C,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE04,mutation::KMT2C,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE04,mutation::LYST,1.0,1.0,1.4,0.15758866,12.43744325,0.14285714285714285,0.09090909090909091,0.05194805194805194
CORE02,CORE04,mutation::MTOR,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE04,mutation::MUC16,1.0,1.0,0.77777778,0.07037408,8.59603826,0.07142857142857142,0.09090909090909091,-0.019480519480519487
CORE02,CORE04,mutation::PBRM1,1.0,1.0,0.73913043,0.13148039,4.15509709,0.21428571428571427,0.2727272727272727,-0.05844155844155843
CORE02,CORE04,mutation::PIK3CA,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE04,mutation::PTEN,0.48666667,1.0,4.6,0.19904951,106.30520851,0.14285714285714285,0.0,0.14285714285714285
