core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
CORE03,mutation::DST,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,DST,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE03,mutation::ELOC,1.0,1.0,2.65217391,0.10192673,69.01061733,-0.010869565217391304,ELOC,0,11,1,92,0.0,0.010869565217391304,-0.010869565217391304
CORE03,mutation::FLG,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,FLG,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE03,mutation::KDM5C,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,KDM5C,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE03,mutation::KMT2C,1.0,1.0,2.65217391,0.10192673,69.01061733,-0.010869565217391304,KMT2C,0,11,1,92,0.0,0.010869565217391304,-0.010869565217391304
CORE03,mutation::LYST,1.0,0.50129512,2.27272727,0.33468557,15.43325932,0.03656126482213439,LYST,1,11,5,92,0.09090909090909091,0.05434782608695652,0.03656126482213439
CORE03,mutation::MTOR,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,MTOR,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE03,mutation::MUC16,1.0,1.0,1.62857143,0.2518642,10.53045594,0.014822134387351776,MUC16,1,11,7,92,0.09090909090909091,0.07608695652173914,0.014822134387351776
CORE03,mutation::PBRM1,1.0,0.19986718,0.38947368,0.09103921,1.66620236,-0.22035573122529645,PBRM1,2,11,37,92,0.18181818181818182,0.40217391304347827,-0.22035573122529645
CORE03,mutation::PIK3CA,1.0,1.0,0.85507246,0.0431851,16.93058318,-0.043478260869565216,PIK3CA,0,11,4,92,0.0,0.043478260869565216,-0.043478260869565216
CORE03,mutation::PTEN,1.0,1.0,0.6916996,0.03585506,13.3439555,-0.05434782608695652,PTEN,0,11,5,92,0.0,0.05434782608695652,-0.05434782608695652
CORE03,mutation::SETD2,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,SETD2,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE03,mutation::SPTA1,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,SPTA1,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE03,mutation::TP53,1.0,0.28991072,5.17142857,0.61903697,43.20206204,0.0691699604743083,TP53,1,11,2,92,0.09090909090909091,0.021739130434782608,0.0691699604743083
CORE03,mutation::TSC1,1.0,1.0,1.57391304,0.07105996,34.86073142,-0.021739130434782608,TSC1,0,11,2,92,0.0,0.021739130434782608,-0.021739130434782608
CORE03,mutation::TSC2,1.0,1.0,1.57391304,0.07105996,34.86073142,-0.021739130434782608,TSC2,0,11,2,92,0.0,0.021739130434782608,-0.021739130434782608
CORE03,mutation::TTN,1.0,0.28927242,2.61609907,0.54888602,12.46884446,0.09486166007905139,TTN,2,11,8,92,0.18181818181818182,0.08695652173913043,0.09486166007905139
CORE03,mutation::VHL,1.0,0.54289827,0.68185213,0.20395408,2.27954416,-0.09980237154150201,VHL,5,11,51,92,0.45454545454545453,0.5543478260869565,-0.09980237154150201
CORE04,mutation::ARID1A,1.0,1.0,1.11180124,0.05392289,22.92351045,-0.03260869565217391,ARID1A,0,11,3,92,0.0,0.03260869565217391,-0.03260869565217391
CORE04,mutation::ATM,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,ATM,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE04,mutation::BAP1,0.09720436,0.00441838,8.41176471,2.20975154,32.02069741,0.3675889328063241,BAP1,5,11,8,92,0.45454545454545453,0.08695652173913043,0.3675889328063241
CORE04,mutation::CDKN2A,1.0,1.0,8.04347826,0.15217027,425.16545464,0.0,CDKN2A,0,11,0,92,0.0,0.0,0.0
CORE04,mutation::DST,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,DST,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE04,mutation::ELOC,1.0,1.0,2.65217391,0.10192673,69.01061733,-0.010869565217391304,ELOC,0,11,1,92,0.0,0.010869565217391304,-0.010869565217391304
CORE04,mutation::FLG,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,FLG,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE04,mutation::KDM5C,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,KDM5C,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE04,mutation::KMT2C,1.0,1.0,2.65217391,0.10192673,69.01061733,-0.010869565217391304,KMT2C,0,11,1,92,0.0,0.010869565217391304,-0.010869565217391304
CORE04,mutation::LYST,1.0,0.50129512,2.27272727,0.33468557,15.43325932,0.03656126482213439,LYST,1,11,5,92,0.09090909090909091,0.05434782608695652,0.03656126482213439
CORE04,mutation::MTOR,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,MTOR,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE04,mutation::MUC16,1.0,1.0,1.62857143,0.2518642,10.53045594,0.014822134387351776,MUC16,1,11,7,92,0.09090909090909091,0.07608695652173914,0.014822134387351776
CORE04,mutation::PBRM1,1.0,0.5273953,0.6373892,0.1715419,2.36831352,-0.11857707509881427,PBRM1,3,11,36,92,0.2727272727272727,0.391304347826087,-0.11857707509881427
CORE04,mutation::PIK3CA,1.0,1.0,0.85507246,0.0431851,16.93058318,-0.043478260869565216,PIK3CA,0,11,4,92,0.0,0.043478260869565216,-0.043478260869565216
CORE04,mutation::PTEN,1.0,1.0,0.6916996,0.03585506,13.3439555,-0.05434782608695652,PTEN,0,11,5,92,0.0,0.05434782608695652,-0.05434782608695652
CORE04,mutation::SETD2,1.0,1.0,0.57859532,0.03054068,10.96152795,-0.06521739130434782,SETD2,0,11,6,92,0.0,0.06521739130434782,-0.06521739130434782
CORE04,mutation::SPTA1,0.17036558,0.01548778,10.52941176,2.04219946,54.28877754,0.2401185770750988,SPTA1,3,11,3,92,0.2727272727272727,0.03260869565217391,0.2401185770750988
CORE04,mutation::TP53,1.0,1.0,1.11180124,0.05392289,22.92351045,-0.03260869565217391,TP53,0,11,3,92,0.0,0.03260869565217391,-0.03260869565217391
CORE04,mutation::TSC1,1.0,1.0,1.57391304,0.07105996,34.86073142,-0.021739130434782608,TSC1,0,11,2,92,0.0,0.021739130434782608,-0.021739130434782608
CORE04,mutation::TSC2,1.0,1.0,1.57391304,0.07105996,34.86073142,-0.021739130434782608,TSC2,0,11,2,92,0.0,0.021739130434782608,-0.021739130434782608
CORE04,mutation::TTN,1.0,1.0,1.2556391,0.19986687,7.8883987,-0.006916996047430832,TTN,1,11,9,92,0.09090909090909091,0.09782608695652174,-0.006916996047430832
CORE04,mutation::VHL,1.0,1.0,0.99459946,0.29758877,3.32414451,0.0019762845849802257,VHL,6,11,50,92,0.5454545454545454,0.5434782608695652,0.0019762845849802257
CORE05,mutation::ARID1A,1.0,1.0,2.48051948,0.11339244,54.2626707,-0.030612244897959183,ARID1A,0,5,3,98,0.0,0.030612244897959183,-0.030612244897959183
CORE05,mutation::ATM,1.0,1.0,1.29370629,0.06425744,26.04641347,-0.061224489795918366,ATM,0,5,6,98,0.0,0.061224489795918366,-0.061224489795918366
CORE05,mutation::BAP1,1.0,0.11850993,5.43478261,0.95815239,30.82689398,0.28775510204081634,BAP1,2,5,11,98,0.4,0.11224489795918367,0.28775510204081634
CORE05,mutation::CDKN2A,1.0,1.0,17.90909091,0.32379174,990.56121678,0.0,CDKN2A,0,5,0,98,0.0,0.0,0.0
CORE05,mutation::DST,1.0,1.0,1.29370629,0.06425744,26.04641347,-0.061224489795918366,DST,0,5,6,98,0.0,0.061224489795918366,-0.061224489795918366
CORE05,mutation::ELOC,1.0,1.0,5.90909091,0.21493078,162.45860984,-0.01020408163265306,ELOC,0,5,1,98,0.0,0.01020408163265306,-0.01020408163265306
CORE05,mutation::FLG,0.57956668,0.02634394,15.0,2.29239819,98.15048756,0.3591836734693878,FLG,2,5,4,98,0.4,0.04081632653061224,0.3591836734693878
CORE05,mutation::KDM5C,1.0,1.0,1.29370629,0.06425744,26.04641347,-0.061224489795918366,KDM5C,0,5,6,98,0.0,0.061224489795918366,-0.061224489795918366
CORE05,mutation::KMT2C,1.0,1.0,5.90909091,0.21493078,162.45860984,-0.01020408163265306,KMT2C,0,5,1,98,0.0,0.01020408163265306,-0.01020408163265306
CORE05,mutation::LYST,1.0,1.0,1.29370629,0.06425744,26.04641347,-0.061224489795918366,LYST,0,5,6,98,0.0,0.061224489795918366,-0.061224489795918366
CORE05,mutation::MTOR,1.0,1.0,1.29370629,0.06425744,26.04641347,-0.061224489795918366,MTOR,0,5,6,98,0.0,0.061224489795918366,-0.061224489795918366
CORE05,mutation::MUC16,1.0,1.0,0.96791444,0.04919882,19.04229457,-0.08163265306122448,MUC16,0,5,8,98,0.0,0.08163265306122448,-0.08163265306122448
CORE05,mutation::PBRM1,1.0,0.64733168,0.52380952,0.07900876,3.47273428,-0.1877551020408163,PBRM1,1,5,38,98,0.2,0.3877551020408163,-0.1877551020408163
CORE05,mutation::PIK3CA,1.0,1.0,1.90909091,0.0908062,40.13633426,-0.04081632653061224,PIK3CA,0,5,4,98,0.0,0.04081632653061224,-0.04081632653061224
CORE05,mutation::PTEN,1.0,1.0,1.54545455,0.07540968,31.67272279,-0.05102040816326531,PTEN,0,5,5,98,0.0,0.05102040816326531,-0.05102040816326531
CORE05,mutation::SETD2,1.0,0.26382103,5.66666667,0.73814677,43.50233927,0.1489795918367347,SETD2,1,5,5,98,0.2,0.05102040816326531,0.1489795918367347
CORE05,mutation::SPTA1,1.0,1.0,1.29370629,0.06425744,26.04641347,-0.061224489795918366,SPTA1,0,5,6,98,0.0,0.061224489795918366,-0.061224489795918366
CORE05,mutation::TP53,1.0,0.13997659,12.86666667,1.37787096,120.14993864,0.1795918367346939,TP53,1,5,2,98,0.2,0.02040816326530612,0.1795918367346939
CORE05,mutation::TSC1,1.0,1.0,3.50909091,0.14952492,82.35228735,-0.02040816326530612,TSC1,0,5,2,98,0.0,0.02040816326530612,-0.02040816326530612
CORE05,mutation::TSC2,1.0,1.0,3.50909091,0.14952492,82.35228735,-0.02040816326530612,TSC2,0,5,2,98,0.0,0.02040816326530612,-0.02040816326530612
CORE05,mutation::TTN,1.0,0.40632232,3.14035088,0.44004545,22.41087507,0.10816326530612246,TTN,1,5,9,98,0.2,0.09183673469387756,0.10816326530612246
CORE05,mutation::VHL,1.0,1.0,1.19065421,0.22403141,6.32794039,0.05918367346938769,VHL,3,5,53,98,0.6,0.5408163265306123,0.05918367346938769
