core_a,core_b,clinical_variable,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,p_value,q_value,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
CORE01,CORE03,stage_group,IV,1,18,0,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0,,,,,,
CORE01,CORE03,grade,G2,9,18,7,11,0.5,0.6363636363636364,-0.13636363636363635,0.6,0.13731215,2.6217637,0.70210684,1.0,,,,,,
CORE01,CORE03,grade,G3,9,18,4,11,0.5,0.36363636363636365,0.13636363636363635,1.66666667,0.38142263,7.28267696,0.70210684,1.0,,,,,,
CORE01,CORE03,m_stage,M0,17,18,11,11,0.9444444444444444,1.0,-0.05555555555555558,0.50724638,0.0189725,13.56167874,1.0,1.0,,,,,,
CORE01,CORE03,m_stage,M1,1,18,0,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0,,,,,,
CORE01,CORE03,overall_survival,,,,,,,,,,,,0.51269076,0.64086345,18,11,1,0,1129.5,1308.0
CORE01,CORE04,stage_group,I,15,18,5,11,0.8333333333333334,0.45454545454545453,0.37878787878787884,5.23376623,1.03239711,26.53272548,0.04784091,0.09568182,,,,,,
CORE01,CORE04,stage_group,II,1,18,1,11,0.05555555555555555,0.09090909090909091,-0.03535353535353536,0.6,0.05503052,6.541824,1.0,1.0,,,,,,
CORE01,CORE04,stage_group,III,1,18,0,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0,,,,,,
CORE01,CORE04,stage_group,IV,1,18,5,11,0.05555555555555555,0.45454545454545453,-0.398989898989899,0.1012987,0.01347224,0.76167216,0.01847922,0.04619805,,,,,,
CORE01,CORE04,grade,G2,9,18,2,11,0.5,0.18181818181818182,0.3181818181818182,3.8,0.7237972,19.9503398,0.12545248,0.19352569,,,,,,
CORE01,CORE04,grade,G3,9,18,5,11,0.5,0.45454545454545453,0.04545454545454547,1.18181818,0.27762659,5.03083738,1.0,1.0,,,,,,
CORE01,CORE04,grade,G4,0,18,4,11,0.0,0.36363636363636365,-0.36363636363636365,0.04504505,0.00214936,0.94402701,0.01389415,0.04619805,,,,,,
CORE01,CORE04,m_stage,M0,17,18,4,11,0.9444444444444444,0.36363636363636365,0.5808080808080808,19.44444444,2.53772616,148.98629542,0.00142237,0.0142237,,,,,,
CORE01,CORE04,m_stage,M1,1,18,5,11,0.05555555555555555,0.45454545454545453,-0.398989898989899,0.1012987,0.01347224,0.76167216,0.01847922,0.04619805,,,,,,
CORE01,CORE04,m_stage,MX,0,18,2,11,0.0,0.18181818181818182,-0.18181818181818182,0.1027027,0.00446494,2.36236897,0.13546798,0.19352569,,,,,,
CORE01,CORE04,overall_survival,,,,,,,,,,,,0.01985051,0.0731503,18,11,1,6,1129.5,1661.0
CORE01,CORE05,stage_group,I,15,18,1,5,0.8333333333333334,0.2,0.6333333333333333,13.28571429,1.49915396,117.7398778,0.01726649,0.15539841,,,,,,
CORE01,CORE05,stage_group,II,1,18,1,5,0.05555555555555555,0.2,-0.14444444444444446,0.25714286,0.02134009,3.09850877,0.39525692,0.59288538,,,,,,
CORE01,CORE05,stage_group,III,1,18,2,5,0.05555555555555555,0.4,-0.34444444444444444,0.12,0.01171083,1.22963143,0.10728402,0.48277809,,,,,,
CORE01,CORE05,stage_group,IV,1,18,1,5,0.05555555555555555,0.2,-0.14444444444444446,0.25714286,0.02134009,3.09850877,0.39525692,0.59288538,,,,,,
CORE01,CORE05,grade,G2,9,18,3,5,0.5,0.6,-0.09999999999999998,0.71428571,0.1116927,4.56792688,1.0,1.0,,,,,,
CORE01,CORE05,grade,G3,9,18,1,5,0.5,0.2,0.3,3.0,0.38423284,23.4232971,0.3393563,0.59288538,,,,,,
CORE01,CORE05,grade,G4,0,18,1,5,0.0,0.2,-0.2,0.08108108,0.00280967,2.33982447,0.2173913,0.59288538,,,,,,
CORE01,CORE05,m_stage,M0,17,18,5,5,0.9444444444444444,1.0,-0.05555555555555558,1.06060606,0.03754721,29.95922428,1.0,1.0,,,,,,
CORE01,CORE05,m_stage,M1,1,18,0,5,0.05555555555555555,0.0,0.05555555555555555,0.94285714,0.0333787,26.63313897,1.0,1.0,,,,,,
CORE01,CORE05,overall_survival,,,,,,,,,,,,0.03657515,0.0731503,18,5,1,2,1129.5,1018.0
CORE02,CORE03,stage_group,I,6,14,9,11,0.42857142857142855,0.8181818181818182,-0.3896103896103897,0.20123839,0.03576852,1.13219372,0.09915197,0.44618387,,,,,,
CORE02,CORE03,stage_group,II,2,14,0,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,0.5475,,,,,,
CORE02,CORE03,stage_group,III,4,14,2,11,0.2857142857142857,0.18181818181818182,0.10389610389610388,1.62857143,0.27524401,9.63597677,0.66086957,0.66086957,,,,,,
CORE02,CORE03,stage_group,IV,2,14,0,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,0.5475,,,,,,
CORE02,CORE03,grade,G2,3,14,7,11,0.21428571428571427,0.6363636363636364,-0.42207792207792205,0.1826087,0.03428666,0.97256287,0.04862364,0.43761276,,,,,,
CORE02,CORE03,grade,G3,8,14,4,11,0.5714285714285714,0.36363636363636365,0.20779220779220775,2.17948718,0.46164271,10.28969867,0.42830798,0.5475,,,,,,
CORE02,CORE03,grade,G4,3,14,0,11,0.21428571428571427,0.0,0.21428571428571427,7.0,0.32368098,151.38362317,0.23,0.5475,,,,,,
CORE02,CORE03,m_stage,M0,12,14,11,11,0.8571428571428571,1.0,-0.1428571428571429,0.2173913,0.00940688,5.02387564,0.48666667,0.5475,,,,,,
CORE02,CORE03,m_stage,M1,2,14,0,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,0.5475,,,,,,
CORE02,CORE03,overall_survival,,,,,,,,,,,,0.0237245,0.0731503,14,11,7,0,1098.5,1308.0
CORE02,CORE04,stage_group,I,6,14,5,11,0.42857142857142855,0.45454545454545453,-0.025974025974025983,0.90374332,0.19623388,4.16213545,1.0,1.0,,,,,,
CORE02,CORE04,stage_group,II,2,14,1,11,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.4,0.15758866,12.43744325,1.0,1.0,,,,,,
CORE02,CORE04,stage_group,III,4,14,0,11,0.2857142857142857,0.0,0.2857142857142857,9.85714286,0.47188718,205.90359029,0.10521739,0.36666666,,,,,,
CORE02,CORE04,stage_group,IV,2,14,5,11,0.14285714285714285,0.45454545454545453,-0.3116883116883117,0.23636364,0.0402542,1.38787425,0.17745995,0.36666666,,,,,,
CORE02,CORE04,grade,G2,3,14,2,11,0.21428571428571427,0.18181818181818182,0.03246753246753245,1.15652174,0.18432287,7.25651987,1.0,1.0,,,,,,
CORE02,CORE04,grade,G3,8,14,5,11,0.5714285714285714,0.45454545454545453,0.11688311688311687,1.54545455,0.33557154,7.1174979,0.69509759,0.99299656,,,,,,
CORE02,CORE04,grade,G4,3,14,4,11,0.21428571428571427,0.36363636363636365,-0.14935064935064937,0.50724638,0.09524073,2.70156352,0.65640732,0.99299656,,,,,,
CORE02,CORE04,m_stage,M0,12,14,4,11,0.8571428571428571,0.36363636363636365,0.49350649350649345,8.33333333,1.38909502,49.99258053,0.01683672,0.1683672,,,,,,
CORE02,CORE04,m_stage,M1,2,14,5,11,0.14285714285714285,0.45454545454545453,-0.3116883116883117,0.23636364,0.0402542,1.38787425,0.17745995,0.36666666,,,,,,
CORE02,CORE04,m_stage,MX,0,14,2,11,0.0,0.18181818181818182,-0.18181818181818182,0.13103448,0.00564493,3.04167462,0.18333333,0.36666666,,,,,,
CORE02,CORE04,overall_survival,,,,,,,,,,,,0.27643158,0.39490226,14,11,7,6,1098.5,1661.0
CORE02,CORE05,stage_group,I,6,14,1,5,0.42857142857142855,0.2,0.22857142857142854,2.29411765,0.27776386,18.94766215,0.60268318,1.0,,,,,,
CORE02,CORE05,stage_group,II,2,14,1,5,0.14285714285714285,0.2,-0.05714285714285716,0.6,0.06056632,5.94389754,1.0,1.0,,,,,,
CORE02,CORE05,stage_group,III,4,14,2,5,0.2857142857142857,0.4,-0.11428571428571432,0.6,0.08425273,4.27285842,1.0,1.0,,,,,,
CORE02,CORE05,stage_group,IV,2,14,1,5,0.14285714285714285,0.2,-0.05714285714285716,0.6,0.06056632,5.94389754,1.0,1.0,,,,,,
CORE02,CORE05,grade,G2,3,14,3,5,0.21428571428571427,0.6,-0.3857142857142857,0.2173913,0.02894198,1.63288674,0.2621259,1.0,,,,,,
CORE02,CORE05,grade,G3,8,14,1,5,0.5714285714285714,0.2,0.3714285714285714,3.92307692,0.47499264,32.40162345,0.30340557,1.0,,,,,,
CORE02,CORE05,grade,G4,3,14,1,5,0.21428571428571427,0.2,0.014285714285714263,0.91304348,0.10102093,8.25223475,1.0,1.0,,,,,,
CORE02,CORE05,m_stage,M0,12,14,5,5,0.8571428571428571,1.0,-0.1428571428571429,0.45454545,0.01856991,11.12615025,1.0,1.0,,,,,,
CORE02,CORE05,m_stage,M1,2,14,0,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,1.0,1.0,,,,,,
CORE02,CORE05,overall_survival,,,,,,,,,,,,0.91803258,0.91803258,14,5,7,2,1098.5,1018.0
CORE03,CORE04,stage_group,I,9,11,5,11,0.8181818181818182,0.45454545454545453,0.3636363636363637,4.49090909,0.74430381,27.0968176,0.18266254,0.30443757,,,,,,
CORE03,CORE04,stage_group,II,0,11,1,11,0.0,0.09090909090909091,-0.09090909090909091,0.30434783,0.01113364,8.31961243,1.0,1.0,,,,,,
CORE03,CORE04,stage_group,III,2,11,0,11,0.18181818181818182,0.0,0.18181818181818182,6.05263158,0.25790095,142.04813753,0.47619048,0.5952381,,,,,,
CORE03,CORE04,stage_group,IV,0,11,5,11,0.0,0.45454545454545453,-0.45454545454545453,0.0513834,0.00243177,1.08573255,0.03508772,0.11695907,,,,,,
CORE03,CORE04,grade,G2,7,11,2,11,0.6363636363636364,0.18181818181818182,0.45454545454545453,6.33333333,1.02770945,39.02962193,0.08049536,0.18045112,,,,,,
CORE03,CORE04,grade,G3,4,11,5,11,0.36363636363636365,0.45454545454545453,-0.09090909090909088,0.70909091,0.13899624,3.61743535,1.0,1.0,,,,,,
CORE03,CORE04,grade,G4,0,11,4,11,0.0,0.36363636363636365,-0.36363636363636365,0.07246377,0.00338683,1.55041852,0.09022556,0.18045112,,,,,,
CORE03,CORE04,m_stage,M0,11,11,4,11,1.0,0.36363636363636365,0.6363636363636364,38.33333333,1.79163094,820.17139446,0.00386997,0.0386997,,,,,,
CORE03,CORE04,m_stage,M1,0,11,5,11,0.0,0.45454545454545453,-0.45454545454545453,0.0513834,0.00243177,1.08573255,0.03508772,0.11695907,,,,,,
CORE03,CORE04,m_stage,MX,0,11,2,11,0.0,0.18181818181818182,-0.18181818181818182,0.16521739,0.00703987,3.87745767,0.47619048,0.5952381,,,,,,
CORE03,CORE04,overall_survival,,,,,,,,,,,,0.11914139,0.19856898,11,11,0,6,1308.0,1661.0
CORE03,CORE05,stage_group,I,9,11,1,5,0.8181818181818182,0.2,0.6181818181818182,11.4,1.12677405,115.33811991,0.03571429,0.28571432,,,,,,
CORE03,CORE05,stage_group,II,0,11,1,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,0.625,,,,,,
CORE03,CORE05,stage_group,III,2,11,2,5,0.18181818181818182,0.4,-0.2181818181818182,0.36842105,0.04339052,3.12819658,0.5467033,0.87472528,,,,,,
CORE03,CORE05,stage_group,IV,0,11,1,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,0.625,,,,,,
CORE03,CORE05,grade,G2,7,11,3,5,0.6363636363636364,0.6,0.036363636363636376,1.19047619,0.1611077,8.79680812,1.0,1.0,,,,,,
CORE03,CORE05,grade,G3,4,11,1,5,0.36363636363636365,0.2,0.16363636363636364,1.8,0.20216221,16.02673397,1.0,1.0,,,,,,
CORE03,CORE05,grade,G4,0,11,1,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,0.625,,,,,,
CORE03,CORE05,m_stage,M0,11,11,5,5,1.0,1.0,0.0,2.09090909,0.03644468,119.95990343,1.0,1.0,,,,,,
CORE03,CORE05,overall_survival,,,,,,,,,,,,0.0303284,0.0731503,11,5,0,2,1308.0,1018.0
CORE04,CORE05,stage_group,I,5,11,1,5,0.45454545454545453,0.2,0.2545454545454545,2.53846154,0.29014669,22.20872103,0.58791209,0.83987441,,,,,,
CORE04,CORE05,stage_group,II,1,11,1,5,0.09090909090909091,0.2,-0.1090909090909091,0.42857143,0.03454236,5.31733986,1.0,1.0,,,,,,
CORE04,CORE05,stage_group,III,0,11,2,5,0.0,0.4,-0.4,0.06086957,0.00232814,1.59144182,0.08333333,0.39529913,,,,,,
CORE04,CORE05,stage_group,IV,5,11,1,5,0.45454545454545453,0.2,0.2545454545454545,2.53846154,0.29014669,22.20872103,0.58791209,0.83987441,,,,,,
CORE04,CORE05,grade,G2,2,11,3,5,0.18181818181818182,0.6,-0.41818181818181815,0.18796992,0.02213802,1.59601866,0.24450549,0.61126372,,,,,,
CORE04,CORE05,grade,G3,5,11,1,5,0.45454545454545453,0.2,0.2545454545454545,2.53846154,0.29014669,22.20872103,0.58791209,0.83987441,,,,,,
CORE04,CORE05,grade,G4,4,11,1,5,0.36363636363636365,0.2,0.16363636363636364,1.8,0.20216221,16.02673397,1.0,1.0,,,,,,
CORE04,CORE05,m_stage,M0,4,11,5,5,0.36363636363636365,1.0,-0.6363636363636364,0.05454545,0.00240349,1.23786703,0.03365385,0.3365385,,,,,,
CORE04,CORE05,m_stage,M1,5,11,0,5,0.45454545454545453,0.0,0.45454545454545453,9.30769231,0.41519466,208.65667418,0.11858974,0.39529913,,,,,,
CORE04,CORE05,m_stage,MX,2,11,0,5,0.18181818181818182,0.0,0.18181818181818182,2.89473684,0.11648411,71.93686076,1.0,1.0,,,,,,
CORE04,CORE05,overall_survival,,,,,,,,,,,,0.63373211,0.70414679,11,5,6,2,1661.0,1018.0
