subtype_id,gene,reference_population,wald_stat,log2_fold_change,p_value,padj,target_n,rest_n
WO_AGENT_SUBTYPE01,EZH1,core_rest,1.298060941599878,0.11532601846747624,0.19426639451207217,0.4369982774537696,39,64
WO_AGENT_SUBTYPE01,DLX4,core_rest,-1.3563523062496983,-0.37140652424897025,0.17498710041332732,0.41004575925030967,39,64
WO_AGENT_SUBTYPE01,PPP1R9B,core_rest,0.5365996667495705,0.04363007233208342,0.5915441743697364,0.8118652633771084,39,64
WO_AGENT_SUBTYPE01,COL1A1,core_rest,-1.5166473894180932,-0.4647534817533723,0.1293557338418212,0.3428041514497316,39,64
WO_AGENT_SUBTYPE01,SGCA,core_rest,-0.10275949213932636,-0.0253354195519902,0.9181538556003506,0.983432885646614,39,64
WO_AGENT_SUBTYPE01,MRPL27,core_rest,0.21109219121152975,0.027811165607898352,0.8328153334565812,0.9511001685183242,39,64
WO_AGENT_SUBTYPE01,VAT1,core_rest,1.3860656601081318,0.15087509517229764,0.16572685494267736,0.39846972453704194,39,64
WO_AGENT_SUBTYPE01,LRRC59,core_rest,-0.41237279065139204,-0.04623414623293859,0.6800662033652749,0.8697010133519942,39,64
WO_AGENT_SUBTYPE01,RND2,core_rest,-1.1926823304792777,-0.253625564094951,0.23299380826497962,0.4851709397158017,39,64
WO_AGENT_SUBTYPE01,ALOX12,core_rest,1.7480818346836557,0.28772011883041615,0.08044985799642015,0.2572622966412982,39,64
WO_AGENT_SUBTYPE01,HDAC5,core_rest,3.067581685926685,0.23757108637080657,0.0021579847130887312,0.023448393655957262,39,64
WO_AGENT_SUBTYPE01,ABCC3,core_rest,0.1370128675083442,0.028548695325220075,0.8910206242321974,0.9739814672373605,39,64
WO_AGENT_SUBTYPE01,LUC7L3,core_rest,-0.20158417705458861,-0.0329444867879053,0.8402418161663163,0.9538486261943263,39,64
WO_AGENT_SUBTYPE01,PPY,core_rest,-1.7440079557064267,-0.8108248221329426,0.081157702588049,0.2591185556781316,39,64
WO_AGENT_SUBTYPE01,MPP2,core_rest,-4.236996774061288,-1.2056339551705397,2.2652938950357077e-05,0.0008307350227344637,39,64
WO_AGENT_SUBTYPE01,SMURF2,core_rest,1.6822907124609199,0.14397674597231838,0.09251248120259718,0.2823278278533363,39,64
WO_AGENT_SUBTYPE01,DUSP3,core_rest,-0.716335524772212,-0.06915462913173072,0.4737841961932122,0.7202867843165626,39,64
WO_AGENT_SUBTYPE01,CACNG1,core_rest,2.649383826612506,1.0269061867448201,0.008063869091306105,0.05765962866059281,39,64
WO_AGENT_SUBTYPE01,EFTUD2,core_rest,-1.872238150650937,-0.11806836987000134,0.06117366319965772,0.21612471854135204,39,64
WO_AGENT_SUBTYPE01,HLF,core_rest,1.3025133578486123,0.2764930311974202,0.19274095464162644,0.4349971554262062,39,64
WO_AGENT_SUBTYPE01,SLC16A6,core_rest,-1.4652687554873014,-0.25331303295937474,0.14284760744283578,0.3650653136265984,39,64
WO_AGENT_SUBTYPE01,PRKAR1A,core_rest,0.16726937627261199,0.017135171160779852,0.8671580988336738,0.9645782037051627,39,64
WO_AGENT_SUBTYPE01,EFNB3,core_rest,2.7743446184058933,0.6457123426387418,0.0055313050020692435,0.04471253158156472,39,64
WO_AGENT_SUBTYPE01,FAM20A,core_rest,-2.323922672526159,-0.6079653719544644,0.020129638862819918,0.1069383628087912,39,64
WO_AGENT_SUBTYPE01,YWHAE,core_rest,0.42893068064319634,0.030065430433893862,0.6679736718874829,0.8619000825674819,39,64
WO_AGENT_SUBTYPE01,MMD,core_rest,-1.8139729143803847,-0.25235156109132395,0.06968189585760803,0.23532613171290478,39,64
WO_AGENT_SUBTYPE01,RANGRF,core_rest,-1.6652493344011785,-0.2886666685436039,0.09586302208499445,0.2889260679577029,39,64
WO_AGENT_SUBTYPE01,DPH1,core_rest,0.6900347729506816,0.0673099746477738,0.4901723201779524,0.7349949594266372,39,64
WO_AGENT_SUBTYPE01,MAP2K6,core_rest,2.999810233579868,0.45921589201783924,0.002701478574146153,0.02740591144506538,39,64
WO_AGENT_SUBTYPE01,DHRS7B,core_rest,-2.700164991959103,-0.28191012698563217,0.006930509631023984,0.05206314477164367,39,64
WO_AGENT_SUBTYPE01,WSB1,core_rest,1.300053870041007,0.2869662199129608,0.19358250655155373,0.4361661457276608,39,64
WO_AGENT_SUBTYPE01,RCVRN,core_rest,-0.43718742429821217,-0.14538929847132598,0.6619754291621701,0.8575741105558548,39,64
WO_AGENT_SUBTYPE01,MYH1,core_rest,2.300657483593337,1.2962175877288256,0.021410999071006877,0.11101640120821456,39,64
WO_AGENT_SUBTYPE01,SLC9A3R1,core_rest,0.09186383228618407,0.013477458666395404,0.9268062275679376,0.9853490845842939,39,64
WO_AGENT_SUBTYPE01,MYH3,core_rest,0.6992106582808312,0.16607863111748689,0.48442039072031484,0.7298912864163435,39,64
WO_AGENT_SUBTYPE01,NAT9,core_rest,-0.49255328883696736,-0.06017146867708264,0.6223282602085405,0.8340640351967806,39,64
WO_AGENT_SUBTYPE01,TMEM104,core_rest,-3.727329562177792,-0.3527382639999416,0.0001935193419071578,0.004112236802409404,39,64
WO_AGENT_SUBTYPE01,VTN,core_rest,-1.500858105435076,-0.42071832017159455,0.13339226605249183,0.3489114106642616,39,64
WO_AGENT_SUBTYPE01,TNFAIP1,core_rest,2.269113921693238,0.2129642488301795,0.023261398984190242,0.1173873764513534,39,64
WO_AGENT_SUBTYPE01,IFT20,core_rest,-1.9099184810735856,-0.16848345620155042,0.05614371013285761,0.20551793118808825,39,64
WO_AGENT_SUBTYPE01,TMEM97,core_rest,1.205097627803917,0.2035309373501909,0.22816561548239156,0.4800962276704964,39,64
WO_AGENT_SUBTYPE01,CDR2L,core_rest,-0.5450140519598763,-0.07152449336637311,0.5857438531616825,0.8079526383079123,39,64
WO_AGENT_SUBTYPE01,PMP22,core_rest,1.2383893229535674,0.1867598095264243,0.21557173768061666,0.4637881686081673,39,64
WO_AGENT_SUBTYPE01,FOXN1,core_rest,0.34615897198591,0.12104584854686838,0.7292232464286104,0.8980971244912108,39,64
WO_AGENT_SUBTYPE01,UNC119,core_rest,-6.127221027407828,-0.7352879084662806,8.942720492203954e-10,2.1111239236434644e-07,39,64
WO_AGENT_SUBTYPE01,ALDOC,core_rest,2.252324865386138,0.5213897805914285,0.02430174992828846,0.1209738250205483,39,64
WO_AGENT_SUBTYPE01,SUPT6H,core_rest,0.583059733458315,0.033600917535081105,0.5598530892861375,0.7889133990382617,39,64
WO_AGENT_SUBTYPE01,RAB34,core_rest,-1.1333938083421609,-0.16742682290337152,0.25704891307787714,0.5137067579554158,39,64
WO_AGENT_SUBTYPE01,PHF12,core_rest,-0.9190650875836,-0.06078301928431903,0.3580615289421323,0.6223238181515851,39,64
WO_AGENT_SUBTYPE01,PHOX2B,core_rest,1.383869704625023,1.462515599712575,0.166398354678029,0.39944231055702123,39,64
WO_AGENT_SUBTYPE01,TMEM33,core_rest,-1.6699896017849405,-0.2010346851048379,0.09492142092039639,0.28671015926087734,39,64
WO_AGENT_SUBTYPE01,GABRA4,core_rest,0.062288323204807,0.03263582320265657,0.9503332271535766,0.9897735319112086,39,64
WO_AGENT_SUBTYPE01,GNRHR,core_rest,1.095938820895727,0.21600875811884399,0.2731055487045083,0.532387472862983,39,64
WO_AGENT_SUBTYPE01,SLAIN2,core_rest,0.08728045837886908,0.007311036170761888,0.9304485866907344,0.985987394084427,39,64
WO_AGENT_SUBTYPE01,OCIAD1,core_rest,-0.7894784392929884,-0.05902525184857363,0.4298324264691533,0.6861107885655282,39,64
WO_AGENT_SUBTYPE01,UGT2B10,core_rest,-0.2027951231220991,-0.08535051742515608,0.8392951699227904,0.9535398526969199,39,64
WO_AGENT_SUBTYPE01,CWH43,core_rest,0.3448510249982742,0.17669482713254947,0.7302063708983575,0.8985988650538032,39,64
WO_AGENT_SUBTYPE01,DCUN1D4,core_rest,1.3288253386155962,0.11260096060378834,0.1839056004590952,0.42233794111807094,39,64
WO_AGENT_SUBTYPE01,USP46,core_rest,0.21728992660909094,0.023245299727865494,0.8279824069686818,0.9494357452831051,39,64
WO_AGENT_SUBTYPE01,SULT1E1,core_rest,3.011573916966434,1.322118699225259,0.0025989711802393263,0.026716379748665253,39,64
WO_AGENT_SUBTYPE01,ODAM,core_rest,-3.162367536374479,-3.143919475030889,0.001564919142839862,0.018720074710216385,39,64
WO_AGENT_SUBTYPE01,SMR3A,core_rest,-0.031834117081201214,-0.06768938107751282,0.9746043389203067,0.9939027376984051,39,64
WO_AGENT_SUBTYPE01,CHIC2,core_rest,-0.7338157071153109,-0.0705011090268621,0.4630610662375718,0.7126202737726639,39,64
WO_AGENT_SUBTYPE01,NMU,core_rest,-4.2699332571327435,-1.7983417126247443,1.9553147109703265e-05,0.0007413044018257676,39,64
WO_AGENT_SUBTYPE01,CRACD,core_rest,-1.6568085205947642,-0.5125984841193083,0.09755819380720714,0.29201512134682545,39,64
WO_AGENT_SUBTYPE01,LAMTOR3,core_rest,-0.593177363048577,-0.05098631907795934,0.5530624604445166,0.7840023172875658,39,64
WO_AGENT_SUBTYPE01,PF4V1,core_rest,-0.27620310107831375,-0.10063873033668144,0.7823920755330719,0.925777517560708,39,64
WO_AGENT_SUBTYPE01,NFKB1,core_rest,0.8751848123299258,0.08865645726029413,0.3814733555995945,0.6445378588355932,39,64
WO_AGENT_SUBTYPE01,AREG,core_rest,0.80857185730776,0.21633015029046007,0.41876145798078845,0.6760597324037814,39,64
WO_AGENT_SUBTYPE01,MANBA,core_rest,0.45445532263565713,0.042396230011808415,0.6495011415543896,0.850877268919152,39,64
WO_AGENT_SUBTYPE01,UBE2D3,core_rest,0.08627179324755815,0.005762957450794446,0.9312503605850196,0.9860107854659776,39,64
WO_AGENT_SUBTYPE01,MAPK10,core_rest,-0.0038168031558291006,-0.0005278682244207786,0.9969546390844715,0.9992092742960594,39,64
WO_AGENT_SUBTYPE01,ELF2,core_rest,0.8555010186813926,0.0534455576377496,0.39227384071565685,0.6541142042890236,39,64
WO_AGENT_SUBTYPE01,NDUFC1,core_rest,-1.2738652038785598,-0.18529729388410382,0.20271119200512877,0.4482148451422746,39,64
WO_AGENT_SUBTYPE01,UCP1,core_rest,-1.8747204560164,-0.8301858835673823,0.06083119118957932,0.2152499612451752,39,64
WO_AGENT_SUBTYPE01,TBC1D9,core_rest,-0.6997414175212391,-0.10901518092891407,0.48408880585259295,0.7295159308972801,39,64
WO_AGENT_SUBTYPE01,ZNF330,core_rest,-1.465829394266432,-0.15200471937789467,0.1426947709879118,0.3650653136265984,39,64
WO_AGENT_SUBTYPE01,INPP4B,core_rest,0.12845701891224343,0.02656974563332271,0.8977873102952736,0.9758896911042055,39,64
WO_AGENT_SUBTYPE01,GAB1,core_rest,2.2375139076129176,0.2698043595047839,0.025252771380518232,0.12422340427412863,39,64
WO_AGENT_SUBTYPE01,KLHL2,core_rest,-3.1468687496563312,-0.36223446449467084,0.0016502902269125547,0.019356299358083702,39,64
WO_AGENT_SUBTYPE01,IL2,core_rest,-1.1062678563850699,-0.413212316685343,0.268610600165363,0.5270057059029704,39,64
WO_AGENT_SUBTYPE01,CPE,core_rest,-1.8400609559711227,-0.5076691338669379,0.0657592886530834,0.22712704759613198,39,64
WO_AGENT_SUBTYPE01,RPL34,core_rest,0.3579678361418582,0.03547073690291872,0.7203673837784321,0.8936360024943696,39,64
WO_AGENT_SUBTYPE01,WFS1,core_rest,-2.007594236023271,-0.3148302080878379,0.0446864275733738,0.1781099174670342,39,64
WO_AGENT_SUBTYPE01,ANXA10,core_rest,0.22146104756044133,0.06271738050202422,0.8247334631387846,0.9475567772085434,39,64
WO_AGENT_SUBTYPE01,GRPEL1,core_rest,-1.2262052320518835,-0.1254701258373964,0.22012145289644724,0.4702484773048114,39,64
WO_AGENT_SUBTYPE01,GAR1,core_rest,0.16975406653348193,0.014131009284544445,0.8652035521219068,0.963891215862316,39,64
WO_AGENT_SUBTYPE01,FRG1,core_rest,-2.127193581147922,-0.14432146823940298,0.03340400224768719,0.1477876341481502,39,64
WO_AGENT_SUBTYPE01,CLCN3,core_rest,0.27935163127850937,0.03273382327309217,0.7799749866518101,0.9244764163197668,39,64
WO_AGENT_SUBTYPE01,AADAT,core_rest,0.03935448174546667,0.006154794899658821,0.9686077700773489,0.9922744400379206,39,64
WO_AGENT_SUBTYPE01,GALNT7,core_rest,-3.4653998686567906,-0.47644004227131964,0.0005294436394914084,0.008638548107775505,39,64
WO_AGENT_SUBTYPE01,DHX15,core_rest,1.620006748538423,0.12739560954747245,0.10523082724837891,0.3051490024084869,39,64
WO_AGENT_SUBTYPE01,SOD3,core_rest,-2.083643460081081,-0.4072605280507545,0.037192610708028824,0.1583535651620956,39,64
WO_AGENT_SUBTYPE01,SEPSECS,core_rest,0.6129596947811912,0.0684573361677605,0.5399029904760623,0.7732380899682574,39,64
WO_AGENT_SUBTYPE01,CPZ,core_rest,-3.0845145177462543,-1.6205839016311714,0.002038846591851223,0.022568882962387272,39,64
WO_AGENT_SUBTYPE01,TRIM2,core_rest,-0.7525364893601396,-0.17413506826340336,0.45172849477191035,0.7030221248954857,39,64
WO_AGENT_SUBTYPE01,SLC2A9,core_rest,-0.1442884478568144,-0.03130217086040229,0.8852727001265952,0.9709130606800557,39,64
WO_AGENT_SUBTYPE01,FBXW7,core_rest,-0.0755472656585652,-0.007242145232619228,0.9397792923985541,0.9879991961873932,39,64
WO_AGENT_SUBTYPE01,NEIL3,core_rest,-1.9255262082408378,-0.4131273615908271,0.05416356042389302,0.20115086627540488,39,64
WO_AGENT_SUBTYPE01,TBC1D19,core_rest,0.21612692085339336,0.02399818609897818,0.8288888157743898,0.9498646784002277,39,64
WO_AGENT_SUBTYPE01,CLNK,core_rest,-3.8062570864711294,-0.9758998658476525,0.00014108572894091077,0.0032282074613785576,39,64
WO_AGENT_SUBTYPE01,NSD2,core_rest,-1.270747678113045,-0.1049775540509,0.20381842789613536,0.44944043130974337,39,64
WO_AGENT_SUBTYPE01,SH3D19,core_rest,0.7233406505525969,0.0788086539103964,0.46947062406295015,0.7171576153356161,39,64
WO_AGENT_SUBTYPE01,STIM2,core_rest,1.4419731473643829,0.11684767939309935,0.1493099490409242,0.3744589553703333,39,64
WO_AGENT_SUBTYPE01,NKX3-2,core_rest,-1.824321196140747,-0.610852713651088,0.06810352779838158,0.2322134488342783,39,64
WO_AGENT_SUBTYPE01,MFSD10,core_rest,-1.6676994358295965,-0.2361486864041782,0.0953754074771732,0.28772394912727495,39,64
WO_AGENT_SUBTYPE01,GLRB,core_rest,-1.9481769855453566,-0.7568423677524432,0.05139378961093304,0.19503567105229985,39,64
