endpoint,reference_population,subtype_id,timeline_days,survival_probability
OS,core,WO_AGENT_SUBTYPE02,1011.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,1218.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,1230.0,0.790229885057471
OS,core,WO_AGENT_SUBTYPE02,1299.0,0.790229885057471
OS,core,WO_AGENT_SUBTYPE02,1308.0,0.790229885057471
OS,core,WO_AGENT_SUBTYPE02,1476.0,0.790229885057471
OS,core,WO_AGENT_SUBTYPE02,1502.0,0.790229885057471
OS,core,WO_AGENT_SUBTYPE02,1598.0,0.6773399014778324
OS,core,WO_AGENT_SUBTYPE02,1608.0,0.6773399014778324
OS,core,WO_AGENT_SUBTYPE02,1928.0,0.6773399014778324
OS,core,WO_AGENT_SUBTYPE02,2630.0,0.6773399014778324
OS,core,WO_AGENT_SUBTYPE02,2722.0,0.6773399014778324
OS,core,WO_AGENT_SUBTYPE02,3205.0,0.6773399014778324
OS,core,WO_AGENT_SUBTYPE02,3631.0,0.6773399014778324
OS,core,WO_AGENT_SUBTYPE03,0.0,1.0
OS,core,WO_AGENT_SUBTYPE03,16.0,1.0
OS,core,WO_AGENT_SUBTYPE03,242.0,0.9473684210526316
OS,core,WO_AGENT_SUBTYPE03,501.0,0.9473684210526316
OS,core,WO_AGENT_SUBTYPE03,563.0,0.8916408668730649
OS,core,WO_AGENT_SUBTYPE03,572.0,0.8359133126934983
OS,core,WO_AGENT_SUBTYPE03,878.0,0.7801857585139317
OS,core,WO_AGENT_SUBTYPE03,932.0,0.7801857585139317
OS,core,WO_AGENT_SUBTYPE03,1487.0,0.7801857585139317
OS,core,WO_AGENT_SUBTYPE03,1520.0,0.7801857585139317
OS,core,WO_AGENT_SUBTYPE03,1625.0,0.7092597804672107
OS,core,WO_AGENT_SUBTYPE03,1661.0,0.6383338024204895
OS,core,WO_AGENT_SUBTYPE03,1714.0,0.5674078243737684
OS,core,WO_AGENT_SUBTYPE03,1785.0,0.5674078243737684
OS,core,WO_AGENT_SUBTYPE03,1997.0,0.5674078243737684
OS,core,WO_AGENT_SUBTYPE03,2172.0,0.5674078243737684
OS,core,WO_AGENT_SUBTYPE03,2227.0,0.45392625949901466
OS,core,WO_AGENT_SUBTYPE03,2299.0,0.3404446946242611
OS,core,WO_AGENT_SUBTYPE03,2718.0,0.3404446946242611
OS,core,WO_AGENT_SUBTYPE03,3615.0,0.1702223473121305
OS,core,WO_AGENT_SUBTYPE03,3974.0,0.1702223473121305
OS,core,WO_AGENT_SUBTYPE04,0.0,1.0
OS,core,WO_AGENT_SUBTYPE04,36.0,1.0
OS,core,WO_AGENT_SUBTYPE04,194.0,1.0
OS,core,WO_AGENT_SUBTYPE04,205.0,1.0
OS,core,WO_AGENT_SUBTYPE04,433.0,1.0
OS,core,WO_AGENT_SUBTYPE04,454.0,1.0
OS,core,WO_AGENT_SUBTYPE04,714.0,1.0
OS,core,WO_AGENT_SUBTYPE04,722.0,1.0
OS,core,WO_AGENT_SUBTYPE04,737.0,1.0
OS,core,WO_AGENT_SUBTYPE04,785.0,1.0
OS,core,WO_AGENT_SUBTYPE04,1018.0,1.0
OS,core,WO_AGENT_SUBTYPE04,1355.0,1.0
OS,core,WO_AGENT_SUBTYPE04,2067.0,1.0
OS,core,WO_AGENT_SUBTYPE04,2257.0,1.0
