subtype_id,gene,direction,padj,log2_fold_change
SUBTYPE03,GCGR,down,0.002598373900157272,-6.0782839873676275
SUBTYPE04,FDCSP,up,4.493783703395126e-25,10.431667388444465
SUBTYPE04,S100G,up,2.89372110762214e-15,7.119827874708228
SUBTYPE04,SPIB,up,1.0689313293088474e-14,3.1713963419486104
SUBTYPE04,TCN1,up,1.7754607442912328e-12,5.162333367230497
SUBTYPE04,MROH2A,up,2.1736851229084635e-12,4.809795718238283
SUBTYPE04,COLGALT2,up,8.115110415618301e-11,3.160080477611449
SUBTYPE04,BLOC1S1,up,1.5463589293816626e-10,2.4036001876971516
SUBTYPE04,LGALS9,up,5.902906253455569e-10,1.3907234875260817
SUBTYPE04,ASCL2,up,1.1088993481247336e-08,2.028708791374432
SUBTYPE04,C2CD2L,up,1.4564091531093205e-08,0.687904386059037
SUBTYPE04,SGCE,down,1.491851313369113e-08,-1.374191193506554
SUBTYPE04,AGTR1,down,2.1046596208854605e-08,-2.784701206423854
SUBTYPE04,SULT1C4,down,2.1046596208854605e-08,-2.4501779314530987
SUBTYPE04,GRIK3,down,1.7090328069664287e-07,-2.068481960649706
SUBTYPE04,THRA,down,1.9214588440323608e-07,-0.8001007906187048
SUBTYPE04,CAVIN2,down,3.1275979937543085e-07,-1.6480810496824814
SUBTYPE04,LRRC8A,down,7.738929026548694e-07,-0.7939370255410768
SUBTYPE04,PABPC4L,down,1.5674578433221295e-06,-1.5253013695030906
SUBTYPE04,PDGFD,down,2.0297517848450043e-06,-1.358750825178995
SUBTYPE04,LIN7A,down,2.492086075987146e-06,-2.084394034424229
SUBTYPE05,THRSP,up,6.300151278195205e-20,6.051064006004304
SUBTYPE05,HHATL,up,4.3184540156982735e-15,6.683802168565859
SUBTYPE05,ST8SIA5,up,4.560604905459781e-13,3.8141432196102922
SUBTYPE05,SMOC1,up,1.384300604852514e-12,4.809960383186983
SUBTYPE05,NMRK2,up,5.4013651857214055e-12,6.464513310978502
SUBTYPE05,INSYN1,up,1.1475488083962507e-10,3.0670225906471864
SUBTYPE05,BAALC,up,3.764277688805909e-10,2.7225579922962257
SUBTYPE05,SCEL,up,1.344452651942686e-09,4.5835461037367695
SUBTYPE05,PNLIPRP3,up,1.831632221195944e-09,7.795775271221317
SUBTYPE05,SLC2A12,up,3.0121996052212553e-09,3.0399202641702305
SUBTYPE05,UGT1A10,down,1.4156407106845287e-06,-4.011025502081166
SUBTYPE05,FDCSP,down,9.15734461535065e-06,-6.030224890817127
SUBTYPE05,CCL21,down,2.824631840355147e-05,-3.2232586262571896
SUBTYPE05,SST,down,2.9389887467501715e-05,-3.196491056143195
SUBTYPE05,SLC34A1,down,0.00011673081603530345,-2.3781069969491613
SUBTYPE05,HGF,down,0.0006126812496516925,-1.5905307414152783
SUBTYPE05,TUBA3E,down,0.000642440817667816,-2.7862457089443606
SUBTYPE05,CRYBB3,down,0.000722683882587938,-1.6572698386324836
SUBTYPE05,CACNG5,down,0.0007435269273738064,-2.132593534640226
SUBTYPE05,CDON,down,0.0009007992148319044,-1.045979865347244
