subtype_id,feature,n_subtype,n_rest,median_subtype,median_rest,cliffs_delta,ci_low,ci_high,p_value,q_value
SUBTYPE02,log-sigma-1-0-mm-3D_glcm_InverseVariance,15,88,0.6105086016262116,-0.20662812502485767,0.5772727272727273,0.38170454545454546,0.7560606060606061,0.00037443915072651407,0.018929979286729324
SUBTYPE02,log-sigma-1-0-mm-3D_glcm_MaximumProbability,15,88,-0.7435116902624451,0.0506848715779705,-0.6075757575757575,-0.8091287878787878,-0.37117424242424263,0.0001807802338925317,0.017610406904569373
SUBTYPE02,log-sigma-1-0-mm-3D_glrlm_RunVariance,15,88,-0.7765016160236957,-0.018902145416392124,-0.46515151515151515,-0.6879166666666666,-0.2166287878787881,0.004162033276772188,0.031339307877657555
SUBTYPE02,log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,15,88,0.6883288897604546,0.0519221022312092,0.6227272727272727,0.381780303030303,0.8318181818181818,0.00012406200086238065,0.017610406904569373
SUBTYPE02,log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,15,88,-0.2212749416146924,-0.20650204091050262,-0.42727272727272725,-0.6636742424242424,-0.1606060606060606,0.008491490436442371,0.043411552231250324
SUBTYPE02,log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,15,88,0.37992993597341984,-0.3681114302167824,0.43636363636363634,0.1772348484848485,0.6681818181818182,0.007188729597932215,0.03893895198879949
SUBTYPE02,log-sigma-1-0-mm-3D_glszm_ZonePercentage,15,88,0.17860194427939524,-0.21113309197860042,0.46515151515151515,0.23329545454545456,0.6803030303030303,0.004162033276772188,0.031339307877657555
SUBTYPE02,log-sigma-1-0-mm-3D_gldm_DependenceEntropy,15,88,0.7743063539877338,-0.11159457891199051,0.49696969696969695,0.22727272727272727,0.7484848484848485,0.0021989915842081584,0.029427681494550356
SUBTYPE02,log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,15,88,-0.3746955333519032,0.16473692656943523,-0.5515151515151515,-0.7166666666666667,-0.34545454545454546,0.0006774846046085609,0.022162624100343316
SUBTYPE02,log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,15,88,-0.7418093782361879,-0.2888728567992692,-0.4409090909090909,-0.6848863636363636,-0.17424242424242425,0.0066071725769415324,0.03893895198879949
SUBTYPE02,log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,15,88,0.4458501249931876,-0.18731597427439628,0.5303030303030303,0.30454545454545456,0.7333712121212118,0.001084483180867458,0.022162624100343316
