pathway,SUBTYPE01,SUBTYPE02,SUBTYPE03,SUBTYPE04,SUBTYPE05
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.8056593974851065,-1.5487275514499992,-2.163564129376725,1.7421240067246522,1.9418759980098492
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.7868488247152328,-1.4638362897030328,-1.9310245445379044,1.8295229960966524,1.566128056516728
KEGG_MEDICUS_REFERENCE_GPCR_PI3K_SIGNALING_PATHWAY,-0.5637790444109124,-1.0854982068328194,0.6020761329969943,1.661666545548463,-1.4650797829157491
KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY,-0.5062558904722302,-1.5234127882775745,-0.5193354614635114,2.4384133425081576,-1.9615840771531052
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY,0.6344443392205699,-1.6424274176496003,0.8715997015344408,1.9768781403969957,-2.2096533799303266
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY,-0.8086266141724395,0.8620043798679904,2.116296670699758,-0.6572902623332989,-1.3746411185841358
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY,0.6000512924391049,0.8948348364000808,2.2690995350804752,-0.9675381693168645,-1.3957729957090734
KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION,-1.8244780598085322,-1.488681400361963,-1.8087500095297349,1.7887287165588281,1.037519094697564
KEGG_MEDICUS_REFERENCE_KINETOCHORE_MICROTUBULE_ATTACHMENT,-1.6843309910209654,-1.4397574173197205,-1.7144816838838137,1.6285578438352128,0.87723209868693
KEGG_MEDICUS_REFERENCE_MDA5_IRF7_3_SIGNALING_PATHWAY,-0.7070727178445644,-1.1626614261737955,-0.6982405174683086,1.7641475717701596,-0.4521373848894625
KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION,-1.7995030343724874,-1.5336186285293505,-1.7531318224563688,1.7700883556514848,1.1893029906733892
KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION_AT_THE_MINUS_ENDS,-1.7653310467696608,-1.3797919554906413,-1.7962095259253343,1.7140911133131944,0.9119985807986751
KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION,-1.5461563172234227,-1.1347135084943596,-1.6068746115205137,1.3155151565515846,0.8642720343734269
KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY,-1.8013241477361208,-0.9922503553412303,-1.6208302069526397,1.4522287419144106,-0.9814111493205564
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,-2.020965904935097,-1.6172274426227657,-2.1709669071934075,1.6748737578846564,2.1994703031271303
KEGG_MEDICUS_REFERENCE_N_GLYCAN_BIOSYNTHESIS,-1.6860212850232743,-1.0712201404020658,0.8641687327517866,0.9138128260595335,1.6480862312826117
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE,-1.0534464538374182,-1.6592201395820143,-1.2204517767480874,1.9359737241317612,-0.733846360168345
KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION,0.9493304852423089,-1.7209075140723664,2.271104669780543,0.6288482236752312,0.6741453431253713
KEGG_MEDICUS_REFERENCE_PROMOTION_OF_MICROTUBULE_GROWTH,-1.7546422192180713,-1.1624870754136791,-1.6687442103898205,1.170917468985314,0.9965325236897167
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,-1.6532965977813747,-0.9165030823731729,-1.4441812560831766,-1.0151292646135726,1.2657455369171877
KEGG_MEDICUS_REFERENCE_RIG_I_IRF7_3_SIGNALING_PATHWAY,-0.7732519582882883,-1.1920015840451532,-0.8570478495155478,1.7537650045175956,0.6450898486832499
KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING,-1.0450044568299894,-1.360592235320883,-1.6168179296638407,1.371736677759003,1.511879214804628
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,-1.0677140088883075,-1.6033503188150864,-0.7448640163486613,2.0681267902067617,-1.2721795940815297
KEGG_MEDICUS_REFERENCE_TLR3_IRF7_SIGNALING_PATHWAY,0.9341262165339317,-1.017514466185119,-0.5430724942384544,1.7224213720800137,-0.9257340187845287
KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY,-0.4984140987159449,-1.229855495067258,0.7771191102100605,1.6822009181287367,-1.1006362520023714
KEGG_MEDICUS_REFERENCE_TLR7_9_IRF7_SIGNALING_PATHWAY,-0.6892166099639053,-1.445747926327313,-0.47237854433226417,1.918646484948707,-0.7339753578496736
