feature,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
prob_cyst_content,SUBTYPE01,SUBTYPE02,10,15,1.645483924760979e-07,2.3737925581081522e-08,0.22666666666666666,-0.26666666666666666,0.6933333333333334,0.36005760708224843,1.0
prob_cyst_content,SUBTYPE01,SUBTYPE03,10,11,1.645483924760979e-07,7.680524390886534e-09,0.2727272727272727,-0.2727272727272727,0.7818181818181819,0.3072263700681952,1.0
prob_cyst_content,SUBTYPE01,SUBTYPE04,10,16,1.645483924760979e-07,7.248893572663665e-07,-0.125,-0.5625,0.3125,0.6165865217338415,1.0
prob_cyst_content,SUBTYPE01,SUBTYPE05,10,27,1.645483924760979e-07,1.4722578633738136e-07,-0.08148148148148149,-0.42962962962962964,0.2962962962962963,0.7195259495178964,1.0
prob_cyst_content,SUBTYPE02,SUBTYPE03,15,11,2.3737925581081522e-08,7.680524390886534e-09,0.2606060606060606,-0.23636363636363636,0.6848484848484848,0.27575784782750923,1.0
prob_cyst_content,SUBTYPE02,SUBTYPE04,15,16,2.3737925581081522e-08,7.248893572663665e-07,-0.10833333333333334,-0.55,0.31687499999999885,0.6212314023292724,1.0
prob_cyst_content,SUBTYPE02,SUBTYPE05,15,27,2.3737925581081522e-08,1.4722578633738136e-07,-0.18024691358024691,-0.5259259259259259,0.18024691358024691,0.3446593471696212,1.0
prob_cyst_content,SUBTYPE03,SUBTYPE04,11,16,7.680524390886534e-09,7.248893572663665e-07,-0.20454545454545456,-0.625,0.25,0.38782876662563726,1.0
prob_cyst_content,SUBTYPE03,SUBTYPE05,11,27,7.680524390886534e-09,1.4722578633738136e-07,-0.24579124579124578,-0.6094276094276094,0.13804713804713806,0.24656588363440923,1.0
prob_cyst_content,SUBTYPE04,SUBTYPE05,16,27,7.248893572663665e-07,1.4722578633738136e-07,0.004629629629629629,-0.3380787037037037,0.36574074074074076,0.9899764617192697,1.0
prob_fibrocollagenous_tissue,SUBTYPE01,SUBTYPE02,10,15,0.004039878326740484,0.0026514202599659128,0.09333333333333334,-0.37333333333333335,0.5733333333333334,0.7184320389103389,1.0
prob_fibrocollagenous_tissue,SUBTYPE01,SUBTYPE03,10,11,0.004039878326740484,0.0039728303927973885,0.03636363636363636,-0.4727272727272727,0.5636363636363636,0.915878445665947,1.0
prob_fibrocollagenous_tissue,SUBTYPE01,SUBTYPE04,10,16,0.004039878326740484,0.002799308131926358,0.275,-0.1875,0.7,0.2571514792688464,1.0
prob_fibrocollagenous_tissue,SUBTYPE01,SUBTYPE05,10,27,0.004039878326740484,0.00200811257126178,0.362962962962963,-0.022222222222222223,0.7112962962962953,0.09718331534966392,0.8746498381469753
prob_fibrocollagenous_tissue,SUBTYPE02,SUBTYPE03,15,11,0.0026514202599659128,0.0039728303927973885,0.06666666666666667,-0.4303030303030303,0.5636363636363636,0.7952497535349383,1.0
prob_fibrocollagenous_tissue,SUBTYPE02,SUBTYPE04,15,16,0.0026514202599659128,0.002799308131926358,0.2,-0.25,0.6,0.35293103307621654,1.0
prob_fibrocollagenous_tissue,SUBTYPE02,SUBTYPE05,15,27,0.0026514202599659128,0.00200811257126178,0.3432098765432099,-0.0174074074074074,0.6493827160493827,0.07010243528785379,0.7010243528785378
prob_fibrocollagenous_tissue,SUBTYPE03,SUBTYPE04,11,16,0.0039728303927973885,0.002799308131926358,0.13636363636363635,-0.3522727272727273,0.6022727272727273,0.5703858444523079,1.0
prob_fibrocollagenous_tissue,SUBTYPE03,SUBTYPE05,11,27,0.0039728303927973885,0.00200811257126178,0.17845117845117844,-0.2796296296296296,0.5893939393939385,0.40267058118461174,1.0
prob_fibrocollagenous_tissue,SUBTYPE04,SUBTYPE05,16,27,0.002799308131926358,0.00200811257126178,0.07407407407407407,-0.28715277777777776,0.42592592592592593,0.696941698288343,1.0
