feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,core,5,79,0.002806420147436151,0.16438263061680755,0.006977711295537971
log-sigma-2-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,core,5,79,0.0041210861224942035,0.15267818883325204,0.00966543394708692
log-sigma-2-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,core,5,79,0.0020587114808343463,0.1737708162708162,0.005542684756092471
log-sigma-2-0-mm-3D_ngtdm_Busyness,core,5,79,0.20015735616640087,0.026844842541045275,0.24658427387620255
log-sigma-2-0-mm-3D_ngtdm_Complexity,core,5,79,0.0007034963313337145,0.20601119495502435,0.002388737542961493
log-sigma-2-0-mm-3D_ngtdm_Contrast,core,5,79,0.05626157471815421,0.07028705309164131,0.0870714846828577
log-sigma-2-0-mm-3D_ngtdm_Strength,core,5,79,0.21201129986094483,0.024763523232668623,0.2574921834470794
log-sigma-3-0-mm-3D_firstorder_10Percentile,core,5,79,0.039919455638066946,0.08149127803004395,0.06486911541185879
log-sigma-3-0-mm-3D_firstorder_90Percentile,core,5,79,0.0027890598175626946,0.1645710785584204,0.0069726495439067365
log-sigma-3-0-mm-3D_firstorder_Energy,core,5,79,0.15689684652036814,0.0355146487108515,0.20052827294035816
log-sigma-3-0-mm-3D_firstorder_Entropy,core,5,79,0.0031116292829088056,0.16124471709914695,0.007611781310341433
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,core,5,79,0.00841849714157279,0.1307043277454667,0.018068000940639716
log-sigma-3-0-mm-3D_firstorder_Kurtosis,core,5,79,0.13500056044568773,0.04076821607280463,0.17999348104149573
log-sigma-3-0-mm-3D_firstorder_Maximum,core,5,79,0.02478707968203973,0.09680352533200637,0.04354486971169142
log-sigma-3-0-mm-3D_firstorder_Mean,core,5,79,0.4320678752260597,0.0,0.47371297163339077
log-sigma-3-0-mm-3D_firstorder_Minimum,core,5,79,0.01712622847586669,0.10851965601965603,0.03193620473983338
log-sigma-3-0-mm-3D_firstorder_Range,core,5,79,0.008569499156937267,0.13015345034332382,0.018305737635711063
log-sigma-3-0-mm-3D_firstorder_Skewness,core,5,79,0.14460467595556123,0.03837458250828493,0.189066458505116
log-sigma-3-0-mm-3D_glcm_ClusterProminence,core,5,79,0.0014210021282642462,0.18495056297667062,0.004171328828130529
log-sigma-3-0-mm-3D_glcm_ClusterShade,core,5,79,0.07026679023610888,0.06293328966192861,0.10456311258561642
log-sigma-3-0-mm-3D_glcm_ClusterTendency,core,5,79,0.002469538305540033,0.1682626815538213,0.006330474672445418
log-sigma-3-0-mm-3D_glcm_Contrast,core,5,79,0.008857748037338768,0.1291277522487963,0.018710096956322374
log-sigma-3-0-mm-3D_glcm_Correlation,core,5,79,0.009179830247007949,0.12801959576089345,0.019072250056569026
log-sigma-3-0-mm-3D_glcm_Idn,core,5,79,0.08255974104951393,0.05754536901688817,0.1196327457883084
log-sigma-3-0-mm-3D_glcm_Imc1,core,5,79,0.6791787748244211,0.0,0.7023325966934355
log-sigma-3-0-mm-3D_glcm_MaximumProbability,core,5,79,0.0021781567586712496,0.17206501920505107,0.005761984448810573
log-sigma-3-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,core,5,79,0.07567393855618525,0.06046180674345225,0.11142926227528895
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,core,5,79,0.18628083767821849,0.029425287989370205,0.230320057455406
log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,core,5,79,0.021629321535083575,0.10113710337207205,0.03889858220736374
log-sigma-3-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,core,5,79,0.14922254716962638,0.03727506418962121,0.19243798018619376
log-sigma-3-0-mm-3D_glrlm_RunEntropy,core,5,79,0.12971099114427256,0.04215416761698367,0.17461094961728998
log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,core,5,79,0.04540974962252867,0.07730309963300468,0.07199106647474057
log-sigma-3-0-mm-3D_glrlm_RunVariance,core,5,79,0.06638228765955324,0.06482253794358236,0.10034531855513863
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,core,5,79,0.31815571147364535,0.009620241285588804,0.35960845935038205
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,core,5,79,0.4286684671512092,0.0,0.4716009517858268
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,core,5,79,0.04466256693987298,0.07784357969880121,0.07105408376797974
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,core,5,79,0.07422777310164219,0.06110603987186271,0.10965466480924414
log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,core,5,79,0.11349696666546716,0.04675347924161215,0.1545177367085175
log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,core,5,79,0.1582066365816274,0.035222051381070416,0.2016359093687408
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,core,5,79,0.042181242579231844,0.07970279313680524,0.06830058851797327
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,core,5,79,0.018291082343078437,0.10644364876959855,0.03355823575040601
log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,core,5,79,0.0016396414283993811,0.18064119643233542,0.004692055659885022
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,core,5,79,0.0014408363719751664,0.18453352914191495,0.004202439418260902
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,core,5,79,0.9017929305360648,0.0,0.9118128519864654
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,core,5,79,0.5457445124978337,0.0,0.585178655001301
