feature,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE01,SUBTYPE04,10,16,-0.2303122390611315,-0.30663020255268125,0.45,-0.025312499999999984,0.85,0.06134310142106449,0.42940170994745147
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE01,SUBTYPE05,10,27,-0.2303122390611315,-0.22184548834957013,-0.044444444444444446,-0.47425925925925927,0.37777777777777777,0.850801372202214,1.0
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE02,SUBTYPE03,15,11,-0.3053081947306155,-0.29935291722900875,-0.09090909090909091,-0.5272727272727272,0.3696969696969697,0.7163811613729257,1.0
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE02,SUBTYPE04,15,16,-0.3053081947306155,-0.30663020255268125,0.16666666666666666,-0.25833333333333336,0.5585416666666655,0.44082241663543487,1.0
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE02,SUBTYPE05,15,27,-0.3053081947306155,-0.22184548834957013,-0.36790123456790125,-0.7285185185185186,0.027160493827160494,0.05207682936314801,0.4166146349051841
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE03,SUBTYPE04,11,16,-0.29935291722900875,-0.30663020255268125,0.3068181818181818,-0.13636363636363635,0.7045454545454546,0.1909822111581143,0.9549110557905716
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE03,SUBTYPE05,11,27,-0.29935291722900875,-0.22184548834957013,-0.468013468013468,-0.7508417508417509,-0.13131313131313133,0.026357672366194542,0.23721905129575088
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,SUBTYPE04,SUBTYPE05,16,27,-0.30663020255268125,-0.22184548834957013,-0.5277777777777778,-0.8287037037037037,-0.1712962962962963,0.004347315418329902,0.04347315418329902
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE01,SUBTYPE02,10,15,-0.16324993107737965,-0.06382962838446549,-0.06666666666666667,-0.5736666666666667,0.44,0.8028850291124622,1.0
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE01,SUBTYPE03,10,11,-0.16324993107737965,0.650978066047209,-0.34545454545454546,-0.7818181818181819,0.14545454545454545,0.19266669599887198,1.0
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE01,SUBTYPE04,10,16,-0.16324993107737965,-1.6142363154145096,0.3125,-0.14375,0.70625,0.196459303791652,1.0
