pathway,SUBTYPE01,SUBTYPE02,SUBTYPE03,SUBTYPE04,SUBTYPE05
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,-0.832751052087038,-1.6709772406063588,-1.5959491336948746,0.8813150251104237,0.5085814942780912
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,-1.8358310843856798,-1.9995679017691887,-1.921658592895876,1.8960269259700833,1.487157900694085
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,-0.6997760312510638,-1.946565933627001,1.5317500383652116,0.8816730104805908,1.1077489410402177
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,-1.6426185877092154,-1.7113691034818697,-1.7745626813011939,1.584824711551607,1.3607621514434676
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,-0.6403394905953045,-1.8032972909657226,1.807515766737388,0.6623107168509872,0.48225701008798066
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,-1.13891137216869,-1.6011857933555196,-1.017833580000305,0.9865880853418791,0.7973267375882109
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-1.9561350253278358,-1.2644155837487663,-1.9872004180102292,1.2155881447815022,2.616541886223681
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,-1.7797992567406273,-1.1114653879314247,-1.6925561753013665,0.7483827605934256,1.8886835345999409
REACTOME_AMYLOID_FIBER_FORMATION,-1.2855467538382843,-1.780889430260945,-1.47893389565114,0.7052277678851424,1.1562519926516843
REACTOME_ANCHORING_FIBRIL_FORMATION,-1.4167346621050758,-1.6057317558966762,1.2909342945114861,-1.136723632383434,1.1635414976380754
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,-1.4811465567312019,-1.6888439768661538,0.7939543294872943,1.9812903203867833,1.0249618325043575
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,-1.894690858801128,-2.125279355825018,-1.2519959164827357,2.2814795332339317,0.6906592735126795
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,-1.6136629564646396,-1.9014485748944194,-1.7347396168339204,2.0755678665545707,0.6704058830161237
REACTOME_ANTIMICROBIAL_PEPTIDES,-1.2571100123441556,-1.8561218718942465,-0.92428213164806,1.604439841162113,0.9180629378216877
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,-1.8162018608833967,-1.9361905731060156,-1.9176454615783614,1.7586810354858846,1.6158392326225237
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,-1.7511789416662038,-1.9684448101563352,-1.833291997167425,1.837055173524071,1.5829505224612503
REACTOME_ARACHIDONATE_METABOLISM,-1.5818736823299118,-1.4894661464312884,-1.2263510180434594,1.9958822728103163,-1.0841992437691998
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,-1.6955440763143428,-1.2265539490808484,-0.6895680198186566,0.8479797965827208,1.8032469776655777
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,-1.7622926715366647,-1.8422187140060142,1.0237977723318619,-0.7407856983736749,1.2851396891116595
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION,-0.8678162336314819,-1.6948003470827124,-1.4089057783706296,1.0084261259116851,0.5995871305524463
