feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
chr21q::loss,6,69,0,5,69,estimable,13.10075893,0.0163,0.2108,9999
chr21q::gain,6,69,0,4,69,estimable,4.12483516,0.4791,0.78819677,9999
chr22p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr22p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr22q::loss,6,69,0,3,69,estimable,12.32142857,0.0307,0.2193,9999
chr22q::gain,6,69,0,3,69,estimable,6.13831169,0.2387,0.45087778,9999
locus::VHL::loss,6,69,0,56,69,estimable,12.84107374,0.0222,0.2193,9999
locus::VHL::gain,6,69,0,3,69,estimable,12.32142857,0.0293,0.2193,9999
locus::SETD2::loss,6,69,0,58,69,estimable,10.24924133,0.0616,0.22230769,9999
locus::SETD2::gain,6,69,0,2,69,estimable,8.09168443,0.0838,0.22230769,9999
locus::PBRM1::loss,6,69,0,58,69,estimable,10.24924133,0.0648,0.22230769,9999
locus::PBRM1::gain,6,69,0,2,69,estimable,8.09168443,0.0811,0.22230769,9999
locus::BAP1::loss,6,69,0,58,69,estimable,10.24924133,0.0651,0.22230769,9999
locus::BAP1::gain,6,69,0,2,69,estimable,8.09168443,0.079,0.22230769,9999
locus::JAK2::loss,6,69,0,15,69,estimable,14.34599647,0.0119,0.2108,9999
locus::JAK2::gain,6,69,0,3,69,estimable,5.14820474,0.3935,0.65798361,9999
locus::CDKN2A::loss,6,69,0,18,69,estimable,13.28459384,0.0182,0.2108,9999
locus::CDKN2A::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
locus::PTEN::loss,6,69,0,11,69,estimable,9.98795343,0.0701,0.22230769,9999
locus::PTEN::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
