group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
CORE03,chr19p,14,55,0.02340891,0.0194,0.02987013,,,0.86962734,descriptive_secondary
CORE03,chr19q,14,55,0.0276,0.0194,0.15454545,,,0.37867319,descriptive_secondary
CORE03,chr20p,14,55,0.02827642,0.0377,-0.26233766,,,0.13372625,descriptive_secondary
CORE03,chr20q,14,55,0.03685,0.0424,0.05974026,,,0.73707881,descriptive_secondary
CORE03,chr21p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE03,chr21q,14,55,0.0307,0.0206,0.1025974,,,0.56061919,descriptive_secondary
CORE03,chr22p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE03,chr22q,14,55,0.03048041,0.0259,-0.04025974,,,0.82289875,descriptive_secondary
CORE03,locus::VHL,14,55,-0.3077,-0.3836,0.27012987,,,0.12251144,descriptive_secondary
CORE03,locus::SETD2,14,55,-0.32638383,-0.3863,0.18961039,,,0.2793555,descriptive_secondary
CORE03,locus::PBRM1,14,55,-0.31295,-0.3863,0.19480519,,,0.2663058,descriptive_secondary
CORE03,locus::BAP1,14,55,-0.31295,-0.3863,0.19480519,,,0.2663058,descriptive_secondary
CORE03,locus::JAK2,14,55,-0.04115,0.0036,-0.14155844,,,0.42038956,descriptive_secondary
CORE03,locus::CDKN2A,14,55,-0.07545,0.0002,-0.15584416,,,0.37464611,descriptive_secondary
CORE03,locus::PTEN,14,55,0.0308,-0.0064,0.39350649,,,0.02425263,descriptive_secondary
CORE03,fga,14,55,0.15964633,0.13667985,0.10649351,,,0.54564544,descriptive_secondary
CORE03,gain_burden,14,55,0.04798735,0.05074485,0.01038961,,,0.95834925,descriptive_secondary
CORE03,loss_burden,14,55,0.08464386,0.07266422,0.07792208,,,0.65981559,descriptive_secondary
CORE04,chr1p,10,59,0.0452603,0.0083,0.28135593,,,0.15963935,descriptive_secondary
CORE04,chr1q,10,59,0.06844487,0.0187,0.22372881,,,0.26420582,descriptive_secondary
CORE04,chr2p,10,59,0.1019,0.027,0.57966102,,,0.00365672,descriptive_secondary
CORE04,chr2q,10,59,0.07343179,0.0124,0.57288136,,,0.0040755,descriptive_secondary
CORE04,chr3p,10,59,-0.35550243,-0.31399439,-0.34237288,,,0.08669491,descriptive_secondary
CORE04,chr3q,10,59,0.06977853,0.0156,0.13559322,,,0.50075243,descriptive_secondary
CORE04,chr4p,10,59,-0.03794203,0.0188,-0.28135593,,,0.15964316,descriptive_secondary
CORE04,chr4q,10,59,-0.00717649,0.01693831,-0.10508475,,,0.60313693,descriptive_secondary
CORE04,chr5p,10,59,0.19566525,0.04568713,0.6,,,0.00262479,descriptive_secondary
CORE04,chr5q,10,59,0.2302,0.15752286,0.41694915,,,0.03678864,descriptive_secondary
CORE04,chr6p,10,59,-0.02773242,0.0132,-0.15254237,,,0.44812249,descriptive_secondary
CORE04,chr6q,10,59,-0.01719653,0.0078,-0.04067797,,,0.8445899,descriptive_secondary
CORE04,chr7p,10,59,0.12210262,0.034,0.30508475,,,0.1271113,descriptive_secondary
CORE04,chr7q,10,59,0.12435,0.0319,0.28813559,,,0.1497644,descriptive_secondary
CORE04,chr8p,10,59,-0.33430354,-2.919e-05,-0.54576271,,,0.00622166,descriptive_secondary
CORE04,chr8q,10,59,-0.0115909,0.01376865,-0.15254237,,,0.44813079,descriptive_secondary
CORE04,chr9p,10,59,-0.09646552,0.0036,-0.38983051,,,0.05096743,descriptive_secondary
CORE04,chr9q,10,59,-0.16141703,0.006802,-0.45762712,,,0.02186692,descriptive_secondary
CORE04,chr10p,10,59,0.01622158,0.01174157,0.1220339,,,0.545097,descriptive_secondary
CORE04,chr10q,10,59,-0.00795,-0.00032201,0.00338983,,,0.99319982,descriptive_secondary
CORE04,chr11p,10,59,0.08138997,0.0221,0.44067797,,,0.02728318,descriptive_secondary
CORE04,chr11q,10,59,0.07745384,0.01486217,0.49491525,,,0.01313174,descriptive_secondary
CORE04,chr12p,10,59,0.14572443,0.03206192,0.57966102,,,0.00365734,descriptive_secondary
CORE04,chr12q,10,59,0.1430842,0.0329,0.5559322,,,0.00532023,descriptive_secondary
CORE04,chr13p,10,59,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE04,chr13q,10,59,0.05938539,0.0105,0.53898305,,,0.0068976,descriptive_secondary
CORE04,chr14p,10,59,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE04,chr14q,10,59,-0.28079961,-0.1027691,-0.33559322,,,0.09315119,descriptive_secondary
CORE04,chr15p,10,59,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE04,chr15q,10,59,0.04928634,0.02392572,0.11525424,,,0.56797799,descriptive_secondary
CORE04,chr16p,10,59,0.13013474,0.0282,0.7559322,,,0.00014903,descriptive_secondary
CORE04,chr16q,10,59,0.10992895,0.0285,0.60338983,,,0.00248126,descriptive_secondary
CORE04,chr17p,10,59,0.07355,0.0169,0.55932203,,,0.00504614,descriptive_secondary
CORE04,chr17q,10,59,0.10276634,0.02025622,0.69830508,,,0.00046017,descriptive_secondary
CORE04,chr18p,10,59,0.0201,0.0199,0.02542373,,,0.90502003,descriptive_secondary
CORE04,chr18q,10,59,0.0258061,0.0201,0.03389831,,,0.87135632,descriptive_secondary
CORE04,chr19p,10,59,0.05355,0.0193,0.31525424,,,0.11485435,descriptive_secondary
CORE04,chr19q,10,59,0.05355,0.02,0.27118644,,,0.17537044,descriptive_secondary
CORE04,chr20p,10,59,0.10056177,0.0312,0.44745763,,,0.02499151,descriptive_secondary
CORE04,chr20q,10,59,0.10095,0.0352,0.37627119,,,0.05962312,descriptive_secondary
CORE04,chr21p,10,59,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE04,chr21q,10,59,0.0820285,0.0167,0.45762712,,,0.02186692,descriptive_secondary
CORE04,chr22p,10,59,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE04,chr22q,10,59,0.09625,0.0231,0.68135593,,,0.00063145,descriptive_secondary
CORE04,locus::VHL,10,59,-0.41395,-0.3427,-0.3220339,,,0.10721864,descriptive_secondary
CORE04,locus::SETD2,10,59,-0.4279,-0.3458,-0.28474576,,,0.15464387,descriptive_secondary
