feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::PBRM1,CORE05,CORE06,9,5,0,0,0.4444444444444444,0.8,-0.3555555555555556,0.27272727,0.02936531,2.53292604,0.3006993,1.0
mutation::PIK3CA,CORE01,CORE02,17,14,0,0,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
mutation::PIK3CA,CORE01,CORE03,17,14,0,0,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
mutation::PIK3CA,CORE01,CORE04,17,10,0,0,0.0,0.0,0.0,0.6,0.01105586,32.56190877,1.0,1.0
mutation::PIK3CA,CORE01,CORE05,17,9,0,0,0.0,0.3333333333333333,-0.3333333333333333,0.05306122,0.00239758,1.17430826,0.03230769,0.48461535
mutation::PIK3CA,CORE01,CORE06,17,5,0,0,0.0,0.0,0.0,0.31428571,0.00555618,17.77760863,1.0,1.0
mutation::PIK3CA,CORE02,CORE03,14,14,0,0,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
mutation::PIK3CA,CORE02,CORE04,14,10,0,0,0.0,0.0,0.0,0.72413793,0.01326768,39.52277813,1.0,1.0
mutation::PIK3CA,CORE02,CORE05,14,9,0,0,0.0,0.3333333333333333,-0.3333333333333333,0.06403941,0.00287251,1.42768668,0.04743083,0.66403162
mutation::PIK3CA,CORE02,CORE06,14,5,0,0,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::PIK3CA,CORE03,CORE04,14,10,0,0,0.0,0.0,0.0,0.72413793,0.01326768,39.52277813,1.0,1.0
mutation::PIK3CA,CORE03,CORE05,14,9,0,0,0.0,0.3333333333333333,-0.3333333333333333,0.06403941,0.00287251,1.42768668,0.04743083,0.66403162
mutation::PIK3CA,CORE03,CORE06,14,5,0,0,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::PIK3CA,CORE04,CORE05,10,9,0,0,0.0,0.3333333333333333,-0.3333333333333333,0.08843537,0.003903,2.00379463,0.08668731,1.0
mutation::PIK3CA,CORE04,CORE06,10,5,0,0,0.0,0.0,0.0,0.52380952,0.00909426,30.17029046,1.0,1.0
mutation::PIK3CA,CORE05,CORE06,9,5,0,0,0.3333333333333333,0.0,0.3333333333333333,5.92307692,0.2479531,141.48982275,0.25824176,1.0
mutation::PTEN,CORE01,CORE02,17,14,0,0,0.058823529411764705,0.0,0.058823529411764705,2.63636364,0.09944974,69.88870187,1.0,1.0
