feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,8.70847377,0.12127256,0.29410983,0.05886466
original_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,7.83746241,0.16542382,0.33777046,0.04503909
original_glrlm_LowGrayLevelRunEmphasis,6,69,17;14;14;10;9;5,estimable,,12.22438749,0.03183921,0.16907718,0.11467282
original_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,13.69392882,0.01767508,0.1315864,0.13799887
original_glrlm_RunLengthNonUniformity,6,69,17;14;14;10;9;5,estimable,,7.64746432,0.17676471,0.34241214,0.04202324
original_glszm_GrayLevelNonUniformity,6,69,17;14;14;10;9;5,estimable,,11.15718612,0.04835099,0.18850766,0.09773311
original_glszm_LargeAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,9.93153922,0.07719846,0.24632187,0.0782784
original_glszm_LargeAreaHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,7.79148599,0.16810783,0.33777046,0.0443093
original_glszm_SizeZoneNonUniformity,6,69,17;14;14;10;9;5,estimable,,10.41207347,0.06436661,0.22027684,0.08590593
original_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,7.70717934,0.17312906,0.33777046,0.0429711
original_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,14.67140085,0.01186266,0.11669178,0.1535143
original_glszm_ZonePercentage,6,69,17;14;14;10;9;5,estimable,,4.07698013,0.53838683,0.7056304,0.0
original_gldm_DependenceEntropy,6,69,17;14;14;10;9;5,estimable,,15.91256537,0.00709819,0.11669178,0.17321532
original_gldm_GrayLevelNonUniformity,6,69,17;14;14;10;9;5,estimable,,8.54919405,0.12845363,0.30669549,0.05633641
original_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,8.55175369,0.12833526,0.30669549,0.05637704
log-sigma-1-0-mm-3D_firstorder_10Percentile,6,69,17;14;14;10;9;5,estimable,,13.26953854,0.02097967,0.13461955,0.13126252
log-sigma-1-0-mm-3D_firstorder_90Percentile,6,69,17;14;14;10;9;5,estimable,,11.38765605,0.04421317,0.18402238,0.10139137
log-sigma-1-0-mm-3D_firstorder_Energy,6,69,17;14;14;10;9;5,estimable,,10.1900932,0.07002477,0.23652455,0.08238243
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,6,69,17;14;14;10;9;5,estimable,,14.00866897,0.01555444,0.12782373,0.14299475
log-sigma-1-0-mm-3D_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,3.34227047,0.64737657,0.78346581,0.0
log-sigma-1-0-mm-3D_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,10.76950989,0.05614636,0.20969009,0.09157952
log-sigma-1-0-mm-3D_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,2.35232226,0.79855246,0.87237583,0.0
log-sigma-1-0-mm-3D_firstorder_Minimum,6,69,17;14;14;10;9;5,estimable,,5.71047596,0.33541774,0.51397345,0.0112774
log-sigma-1-0-mm-3D_firstorder_Range,6,69,17;14;14;10;9;5,estimable,,8.00703168,0.15584852,0.33767101,0.04773066
log-sigma-1-0-mm-3D_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,3.56659951,0.6133351,0.76172262,0.0
log-sigma-1-0-mm-3D_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,14.83393682,0.01109597,0.11669178,0.15609424
log-sigma-1-0-mm-3D_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,8.92530833,0.1120807,0.2870147,0.06230648
log-sigma-1-0-mm-3D_glcm_MCC,6,69,17;14;14;10;9;5,estimable,,14.47047248,0.01288156,0.11669178,0.15032496
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,6,69,17;14;14;10;9;5,estimable,,9.84570431,0.07972708,0.2480398,0.07691594
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,9.68664521,0.08461679,0.24886476,0.07439119
log-sigma-1-0-mm-3D_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,16.38121266,0.00583592,0.11669178,0.18065417
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,6,69,17;14;14;10;9;5,estimable,,5.7177366,0.33466023,0.51397345,0.01139264
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,8.90042811,0.11310227,0.2870147,0.06191156
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,8.75911454,0.11906669,0.29105191,0.05966848
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,6,69,17;14;14;10;9;5,estimable,,7.70481317,0.17327186,0.33777046,0.04293354
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,14.61611149,0.01213497,0.11669178,0.15263669
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,9.78640059,0.08151873,0.24886476,0.07597461
log-sigma-1-0-mm-3D_glszm_ZonePercentage,6,69,17;14;14;10;9;5,estimable,,3.49380703,0.62432491,0.76916829,0.0
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,7.52307021,0.18455302,0.34872595,0.04004873
log-sigma-1-0-mm-3D_gldm_DependenceVariance,6,69,17;14;14;10;9;5,estimable,,6.48393549,0.26193411,0.4360849,0.02355453
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,6.86860275,0.23059735,0.39678203,0.02966036
log-sigma-2-0-mm-3D_firstorder_10Percentile,6,69,17;14;14;10;9;5,estimable,,14.74814134,0.01149448,0.11669178,0.1547324
log-sigma-2-0-mm-3D_firstorder_90Percentile,6,69,17;14;14;10;9;5,estimable,,13.04520463,0.02295881,0.13893086,0.12770166
log-sigma-2-0-mm-3D_firstorder_Energy,6,69,17;14;14;10;9;5,estimable,,11.5552403,0.04141728,0.17556397,0.10405143
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,6,69,17;14;14;10;9;5,estimable,,19.19444439,0.00176823,0.11669178,0.22530864
log-sigma-2-0-mm-3D_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,11.60136797,0.04067763,0.17556397,0.10478362
log-sigma-2-0-mm-3D_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,10.08885688,0.07275632,0.23939965,0.08077551
log-sigma-2-0-mm-3D_firstorder_Minimum,6,69,17;14;14;10;9;5,estimable,,11.72143849,0.03881064,0.17556397,0.1066895
log-sigma-2-0-mm-3D_firstorder_Range,6,69,17;14;14;10;9;5,estimable,,13.02075474,0.02318505,0.13893086,0.12731357
log-sigma-2-0-mm-3D_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,7.07984806,0.21476932,0.38236388,0.03301346
log-sigma-2-0-mm-3D_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,21.40873996,0.00067795,0.11669178,0.26045619
log-sigma-2-0-mm-3D_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,16.6136407,0.00529393,0.11669178,0.1843435
log-sigma-2-0-mm-3D_glcm_MaximumProbability,6,69,17;14;14;10;9;5,estimable,,10.92732026,0.0528402,0.20092323,0.09408445
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,6,69,17;14;14;10;9;5,estimable,,13.51833928,0.01897655,0.13283585,0.13521173
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,8.04944308,0.15353169,0.33537419,0.04840386
log-sigma-2-0-mm-3D_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,15.48402642,0.00848252,0.11669178,0.16641312
log-sigma-2-0-mm-3D_glrlm_RunPercentage,6,69,17;14;14;10;9;5,estimable,,13.65670419,0.0179436,0.1315864,0.137408
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,6,69,17;14;14;10;9;5,estimable,,7.97044221,0.15787216,0.33767101,0.04714988
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,11.19856546,0.04758209,0.18850766,0.09838993
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,7.52681432,0.18431431,0.34872595,0.04010816
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,6,69,17;14;14;10;9;5,estimable,,11.74706196,0.03842289,0.17556397,0.10709622
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,12.12436766,0.03312283,0.17003053,0.1130852
log-sigma-2-0-mm-3D_gldm_DependenceVariance,6,69,17;14;14;10;9;5,estimable,,9.21047631,0.10095777,0.27517693,0.06683296
log-sigma-3-0-mm-3D_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,9.05982753,0.1067015,0.28063673,0.06444171
log-sigma-3-0-mm-3D_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,14.81176726,0.01119765,0.11669178,0.15574234
log-sigma-3-0-mm-3D_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,3.12229425,0.68113814,0.80412503,0.0
log-sigma-3-0-mm-3D_firstorder_Minimum,6,69,17;14;14;10;9;5,estimable,,18.81806125,0.00207801,0.11669178,0.21933431
log-sigma-3-0-mm-3D_firstorder_Range,6,69,17;14;14;10;9;5,estimable,,17.28461193,0.00399049,0.11669178,0.19499384
log-sigma-3-0-mm-3D_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,5.96574398,0.30956646,0.48895625,0.01532927
log-sigma-3-0-mm-3D_firstorder_Uniformity,6,69,17;14;14;10;9;5,estimable,,16.34183204,0.00593296,0.11669178,0.18002908
log-sigma-3-0-mm-3D_firstorder_Variance,6,69,17;14;14;10;9;5,estimable,,16.74481804,0.00501007,0.11669178,0.18642568
log-sigma-3-0-mm-3D_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,17.94155761,0.00302055,0.11669178,0.20542155
log-sigma-3-0-mm-3D_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,13.97477229,0.01577046,0.12782373,0.1424567
log-sigma-3-0-mm-3D_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,5.44715324,0.36377552,0.53870851,0.00709767
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,6,69,17;14;14;10;9;5,estimable,,14.88716507,0.0108555,0.11669178,0.15693913
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,16.05718716,0.00668268,0.11669178,0.17551091
log-sigma-3-0-mm-3D_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,16.07267858,0.00663961,0.11669178,0.1757568
log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,12.03284143,0.03434054,0.17339158,0.1116324
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,9.172176,0.10239059,0.27612856,0.06622502
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,6.11643312,0.2950538,0.47086306,0.01772116
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,14.91666974,0.01072439,0.11669178,0.15740746
log-sigma-3-0-mm-3D_glszm_ZonePercentage,6,69,17;14;14;10;9;5,estimable,,8.37121191,0.13692931,0.31709945,0.0535113
log-sigma-3-0-mm-3D_ngtdm_Contrast,6,69,17;14;14;10;9;5,estimable,,10.66604938,0.05841835,0.20969009,0.08993729
log-sigma-3-0-mm-3D_ngtdm_Strength,6,69,17;14;14;10;9;5,estimable,,12.12777494,0.0330783,0.17003053,0.11313928
wavelet-LLH_firstorder_10Percentile,6,69,17;14;14;10;9;5,estimable,,5.15473041,0.3972902,0.57448536,0.00245604
wavelet-LLH_firstorder_Energy,6,69,17;14;14;10;9;5,estimable,,2.6776742,0.74953089,0.84371972,0.0
wavelet-LLH_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,1.68111117,0.89127078,0.92729529,0.0
wavelet-LLH_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,3.13260168,0.67955103,0.80412503,0.0
wavelet-LLH_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,0.63584529,0.98630329,0.989516,0.0
wavelet-LLH_firstorder_Median,6,69,17;14;14;10;9;5,estimable,,0.75808735,0.97962929,0.9860321,0.0
wavelet-LLH_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,5.18445616,0.39378637,0.57210473,0.00292788
wavelet-LLH_firstorder_Variance,6,69,17;14;14;10;9;5,estimable,,2.99824881,0.70025584,0.81696515,0.0
wavelet-LLH_glcm_Autocorrelation,6,69,17;14;14;10;9;5,estimable,,2.91528368,0.71304479,0.81946939,0.0
wavelet-LLH_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,10.07710748,0.07307969,0.23939965,0.08058901
wavelet-LLH_glcm_DifferenceEntropy,6,69,17;14;14;10;9;5,estimable,,5.01735488,0.41376585,0.59274364,0.00027547
wavelet-LLH_glcm_Idn,6,69,17;14;14;10;9;5,estimable,,11.81350089,0.03743457,0.17556397,0.10815081
wavelet-LLH_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,8.21049742,0.14500992,0.32840482,0.05096028
wavelet-LLH_glcm_InverseVariance,6,69,17;14;14;10;9;5,estimable,,9.43433791,0.09294442,0.26024438,0.07038632
wavelet-LLH_glcm_JointEnergy,6,69,17;14;14;10;9;5,estimable,,7.7630048,0.16978965,0.33777046,0.04385722
wavelet-LLH_glcm_MCC,6,69,17;14;14;10;9;5,estimable,,7.71644983,0.17257055,0.33777046,0.04311825
wavelet-LLH_glrlm_LongRunEmphasis,6,69,17;14;14;10;9;5,estimable,,14.53399493,0.01255061,0.11669178,0.15133325
wavelet-LLH_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,15.26059792,0.00930499,0.11669178,0.16286663
wavelet-LLH_glrlm_RunLengthNonUniformity,6,69,17;14;14;10;9;5,estimable,,11.68863696,0.03931244,0.17556397,0.10616884
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,9.29634022,0.0978121,0.27140655,0.06819588
wavelet-LLH_glszm_GrayLevelNonUniformity,6,69,17;14;14;10;9;5,estimable,,4.62164599,0.46377439,0.62749272,0.0
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,9.66180118,0.08540512,0.24886476,0.07399684
wavelet-LLH_glszm_LargeAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,7.70853292,0.17304741,0.33777046,0.04299259
wavelet-LLH_glszm_SizeZoneNonUniformity,6,69,17;14;14;10;9;5,estimable,,2.24827392,0.81383325,0.88539959,0.0
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,8.45864514,0.13270482,0.30964458,0.05489913
wavelet-LLH_glszm_SmallAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,6.3505423,0.27358798,0.44821861,0.02143718
wavelet-LLH_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,6.99023169,0.2213678,0.38739365,0.03159098
wavelet-LLH_gldm_DependenceEntropy,6,69,17;14;14;10;9;5,estimable,,12.82802698,0.02504476,0.1403579,0.1242544
wavelet-LLH_gldm_DependenceNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,3.65874211,0.59951556,0.75558756,0.0
wavelet-LLH_gldm_DependenceVariance,6,69,17;14;14;10;9;5,estimable,,9.65418144,0.08564826,0.24886476,0.0738759
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,9.46166919,0.09200718,0.26024438,0.07082015
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,11.31070701,0.04555596,0.18708314,0.10016995
wavelet-LLH_ngtdm_Strength,6,69,17;14;14;10;9;5,estimable,,11.26783838,0.04632067,0.18772061,0.0994895
wavelet-LHL_firstorder_10Percentile,6,69,17;14;14;10;9;5,estimable,,3.9777504,0.55262379,0.71817775,0.0
wavelet-LHL_firstorder_Energy,6,69,17;14;14;10;9;5,estimable,,7.42793303,0.1907094,0.35594717,0.03853862
wavelet-LHL_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,3.43195991,0.63370703,0.77301282,0.0
wavelet-LHL_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,5.93662137,0.31243488,0.4909691,0.01486701
wavelet-LHL_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,1.32306395,0.93254062,0.94792908,0.0
wavelet-LHL_firstorder_Minimum,6,69,17;14;14;10;9;5,estimable,,7.32564307,0.19752627,0.35998871,0.03691497
wavelet-LHL_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,2.5589677,0.76758941,0.85970014,0.0
wavelet-LHL_firstorder_Variance,6,69,17;14;14;10;9;5,estimable,,3.64857154,0.60103556,0.75558756,0.0
wavelet-LHL_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,2.44959131,0.78406684,0.86556483,0.0
wavelet-LHL_glcm_Idm,6,69,17;14;14;10;9;5,estimable,,5.42791772,0.36591472,0.53924275,0.00679234
wavelet-LHL_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,10.71836781,0.05725887,0.20969009,0.09076774
wavelet-LHL_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,6.37623235,0.27131133,0.44821861,0.02184496
wavelet-LHL_glcm_Imc2,6,69,17;14;14;10;9;5,estimable,,2.19661151,0.82132526,0.88760765,0.0
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,11.16658884,0.04817525,0.18850766,0.09788236
wavelet-LHL_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,7.62678057,0.17803948,0.342726,0.04169493
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,8.81329297,0.11674705,0.28766473,0.06052846
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,8.85369591,0.11504397,0.28766473,0.06116978
wavelet-LHL_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,16.15815346,0.00640675,0.11669178,0.17711355
wavelet-LHL_glszm_ZonePercentage,6,69,17;14;14;10;9;5,estimable,,3.42362174,0.63497482,0.77301282,0.0
wavelet-LHL_gldm_LargeDependenceEmphasis,6,69,17;14;14;10;9;5,estimable,,4.87790293,0.43096223,0.60888242,0.0
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,10.73508847,0.05689288,0.20969009,0.09103315
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,7.98084242,0.1572946,0.33767101,0.04731496
wavelet-LHL_ngtdm_Contrast,6,69,17;14;14;10;9;5,estimable,,9.23044418,0.10021808,0.27517693,0.06714991
wavelet-LHH_firstorder_10Percentile,6,69,17;14;14;10;9;5,estimable,,4.67135074,0.45728955,0.62749272,0.0
wavelet-LHH_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,6.21539097,0.2858211,0.46333105,0.01929192
wavelet-LHH_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,1.72191566,0.88612727,0.92517695,0.0
wavelet-LHH_firstorder_Median,6,69,17;14;14;10;9;5,estimable,,2.14895976,0.82817332,0.89187896,0.0
wavelet-LHH_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,8.82122658,0.11641083,0.28766473,0.06065439
wavelet-LHH_firstorder_Uniformity,6,69,17;14;14;10;9;5,estimable,,1.50486142,0.91250813,0.93684168,0.0
wavelet-LHH_glcm_ClusterShade,6,69,17;14;14;10;9;5,estimable,,5.87673469,0.31839858,0.49528668,0.01391642
wavelet-LHH_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,4.61936125,0.46407385,0.62749272,0.0
wavelet-LHH_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,7.73575494,0.17141258,0.33777046,0.04342468
wavelet-LHH_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,9.76549298,0.08215922,0.24886476,0.07564275
wavelet-LHH_glcm_Imc2,6,69,17;14;14;10;9;5,estimable,,5.44709269,0.36378224,0.53870851,0.00709671
wavelet-LHH_glcm_InverseVariance,6,69,17;14;14;10;9;5,estimable,,2.36378099,0.79685535,0.87237583,0.0
wavelet-LHH_glrlm_LongRunEmphasis,6,69,17;14;14;10;9;5,estimable,,15.7177874,0.00769774,0.11669178,0.17012361
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,2.76335902,0.7364122,0.83892235,0.0
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,15.03124171,0.01022968,0.11669178,0.15922606
wavelet-LHH_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,3.59437943,0.60915739,0.75959707,0.0
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,7.22746675,0.20426551,0.37008104,0.03535662
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,7.39325435,0.19299733,0.35594717,0.03798816
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,3.62635953,0.60435992,0.75667827,0.0
wavelet-LHH_glszm_SmallAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,5.30748276,0.37951793,0.55657451,0.00488068
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,1.77526222,0.8792849,0.92429949,0.0
wavelet-LHH_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,1.36059131,0.92857513,0.94702364,0.0
wavelet-LHH_gldm_DependenceEntropy,6,69,17;14;14;10;9;5,estimable,,3.89294895,0.56492948,0.73108521,0.0
wavelet-LHH_gldm_DependenceNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,5.67496842,0.33914106,0.51634373,0.01071378
wavelet-LHH_gldm_DependenceVariance,6,69,17;14;14;10;9;5,estimable,,6.78763726,0.23691911,0.40494777,0.02837519
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,1.94250013,0.85704268,0.91132262,0.0
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,3.44929902,0.63107283,0.77301282,0.0
wavelet-LHH_ngtdm_Strength,6,69,17;14;14;10;9;5,estimable,,5.44690433,0.36380315,0.53870851,0.00709372
wavelet-HLL_firstorder_10Percentile,6,69,17;14;14;10;9;5,estimable,,7.6036875,0.17947223,0.34333818,0.04132837
wavelet-HLL_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,6.76344068,0.23883632,0.40494777,0.02799112
wavelet-HLL_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,6.35406696,0.27327471,0.44821861,0.02149313
wavelet-HLL_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,6.11725264,0.29497638,0.47086306,0.01773417
wavelet-HLL_firstorder_Median,6,69,17;14;14;10;9;5,estimable,,3.66310536,0.59886389,0.75558756,0.0
wavelet-HLL_firstorder_Minimum,6,69,17;14;14;10;9;5,estimable,,3.12047926,0.68141764,0.80412503,0.0
wavelet-HLL_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,2.93003648,0.71077135,0.81946939,0.0
wavelet-HLL_firstorder_Variance,6,69,17;14;14;10;9;5,estimable,,6.02307404,0.30398019,0.48260772,0.01623927
wavelet-HLL_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,2.75207683,0.73814272,0.83892235,0.0
wavelet-HLL_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,4.11241757,0.53334684,0.70283852,0.0
