Name,Term,ES,NES
TCGA-BP-4962,HALLMARK_MYC_TARGETS_V1,26091.01508063613,1.0832253283770468
TCGA-BP-4970,HALLMARK_MYC_TARGETS_V1,26090.273884155315,1.0831945559905052
TCGA-CJ-4918,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26088.53884694222,1.0831225221409562
TCGA-BP-5187,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26084.477613282972,1.0829539111785018
TCGA-B0-5709,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26082.724952942855,1.0828811456664438
TCGA-BP-5181,HALLMARK_MYC_TARGETS_V1,26082.301054226882,1.082863546587819
TCGA-B8-A54E,HALLMARK_MYC_TARGETS_V1,26081.806020269072,1.0828429941746662
TCGA-BP-4994,HALLMARK_MYC_TARGETS_V1,26080.969080485236,1.0828082467963303
TCGA-BP-5195,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26078.21774508905,1.0826940191137813
TCGA-B8-4622,HALLMARK_MYC_TARGETS_V1,26076.2679684724,1.0826130698901002
TCGA-CJ-4908,HALLMARK_TGF_BETA_SIGNALING,26069.635121057447,1.0823376927805115
TCGA-BP-4977,HALLMARK_MYC_TARGETS_V1,26056.45107349615,1.0817903283255532
TCGA-BP-5007,HALLMARK_MYC_TARGETS_V1,26052.43584986191,1.0816236275695166
TCGA-CJ-4918,HALLMARK_TGF_BETA_SIGNALING,26049.208373713693,1.0814896318664105
TCGA-B8-4153,HALLMARK_MYC_TARGETS_V1,26048.381062526398,1.081455284240235
TCGA-BP-5200,HALLMARK_TGF_BETA_SIGNALING,26047.946886048383,1.0814372584579295
TCGA-B0-5702,HALLMARK_OXIDATIVE_PHOSPHORYLATION,26046.774165000104,1.081388570388926
TCGA-BP-4972,HALLMARK_TGF_BETA_SIGNALING,26038.52057836103,1.0810459047597902
TCGA-B8-5165,HALLMARK_TGF_BETA_SIGNALING,26030.759826471272,1.0807237002388754
TCGA-BP-5010,HALLMARK_MYC_TARGETS_V1,26024.390768186393,1.0804592749096666
TCGA-B8-5164,HALLMARK_INTERFERON_ALPHA_RESPONSE,26019.881287385033,1.080272053990635
TCGA-BP-5175,HALLMARK_MYC_TARGETS_V1,26018.142339819646,1.0801998577942922
TCGA-CJ-4643,HALLMARK_MYC_TARGETS_V1,26016.465137839707,1.0801302251004372
TCGA-BP-5200,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25993.877692498052,1.0791924581020358
TCGA-BP-4999,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25988.209951284138,1.0789571494787944
TCGA-BP-4770,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25967.503962934923,1.078097495266046
TCGA-CJ-4912,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25961.632416930777,1.0778537252429647
TCGA-CJ-4912,HALLMARK_MYC_TARGETS_V1,25957.093185494057,1.0776652691614965
TCGA-CJ-6027,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25946.045227029143,1.077206589098683
TCGA-CJ-4923,HALLMARK_INTERFERON_ALPHA_RESPONSE,25944.197867825154,1.0771298919569972
TCGA-CZ-4865,HALLMARK_INTERFERON_ALPHA_RESPONSE,25942.868588875255,1.0770747040456583
TCGA-G6-A5PC,HALLMARK_MYC_TARGETS_V1,25941.506451040015,1.077018151926114
TCGA-BP-4965,HALLMARK_TGF_BETA_SIGNALING,25937.315911519225,1.076844172549135
TCGA-BP-5000,HALLMARK_MYC_TARGETS_V1,25933.881054338588,1.0767015669707038
TCGA-BP-4982,HALLMARK_MYC_TARGETS_V1,25921.4610123913,1.0761859218731396
TCGA-BP-5010,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,25915.18046563903,1.0759251712930227
TCGA-CJ-4637,HALLMARK_INTERFERON_GAMMA_RESPONSE,25911.12985044149,1.0757570011791378
TCGA-BP-4971,HALLMARK_MYC_TARGETS_V1,25908.26905479048,1.0756382290156588
TCGA-BP-4982,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25907.706207076848,1.0756148611667062
TCGA-BP-4988,HALLMARK_MYC_TARGETS_V1,25903.741753541017,1.0754502682419038
TCGA-B8-5162,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25900.360327264956,1.0753098809638715
TCGA-CZ-5985,HALLMARK_PROTEIN_SECRETION,25896.92401288085,1.0751672148864642
TCGA-B0-5706,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25895.250068832396,1.075097717452732
TCGA-BP-5196,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25877.593000494966,1.0743646457961147
TCGA-CZ-4863,HALLMARK_INTERFERON_ALPHA_RESPONSE,25864.521065751593,1.0738219359490218
TCGA-CJ-4900,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25863.788666384127,1.0737915287938047
TCGA-CJ-6028,HALLMARK_INTERFERON_ALPHA_RESPONSE,25853.807329083844,1.0733771318321945
TCGA-BP-4986,HALLMARK_TGF_BETA_SIGNALING,25842.65860619213,1.0729142683146948
TCGA-B0-4712,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25827.66955767691,1.072291965313076
TCGA-B0-5709,HALLMARK_INTERFERON_ALPHA_RESPONSE,25824.144619585033,1.0721456198293806
TCGA-B8-5546,HALLMARK_PROTEIN_SECRETION,25823.718519236438,1.0721279293451813
TCGA-BP-4770,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25823.243095539383,1.0721081910947234
TCGA-CJ-6028,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25821.313394884786,1.0720280753683409
TCGA-BP-4970,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25820.22015014201,1.0719826869312934
TCGA-B0-5709,HALLMARK_TGF_BETA_SIGNALING,25815.321854755624,1.0717793235277613
TCGA-CJ-6033,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25807.745372705896,1.0714647693706734
TCGA-CZ-5988,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25802.169465816987,1.0712332734494885
TCGA-BP-4971,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25795.92378304335,1.0709739703233931
TCGA-CJ-4916,HALLMARK_INTERFERON_ALPHA_RESPONSE,25795.418969417602,1.070953011886022
TCGA-BP-5181,HALLMARK_TGF_BETA_SIGNALING,25789.881732461894,1.0707231214313535
TCGA-CJ-4637,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25787.865057849354,1.0706393947916406
TCGA-B8-A54E,HALLMARK_PROTEIN_SECRETION,25784.85411001672,1.0705143887332467
TCGA-BP-5200,HALLMARK_TNFA_SIGNALING_VIA_NFKB,25782.298145190744,1.07040827228552
TCGA-BP-4986,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25777.40826580723,1.0702052582906807
TCGA-BP-4982,HALLMARK_TGF_BETA_SIGNALING,25776.527550413713,1.070168693472547
TCGA-CZ-5468,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25771.243313427403,1.0699493068627495
TCGA-BP-5191,HALLMARK_MYC_TARGETS_V1,25770.742539680097,1.0699285161497323
TCGA-BP-5184,HALLMARK_TGF_BETA_SIGNALING,25769.025707940393,1.0698572381400702
TCGA-CJ-4908,HALLMARK_OXIDATIVE_PHOSPHORYLATION,25768.51772322435,1.0698361480479774
TCGA-CJ-6028,HALLMARK_TGF_BETA_SIGNALING,25764.931133359638,1.0696872429566289
TCGA-BP-4770,HALLMARK_TGF_BETA_SIGNALING,25762.149702647846,1.0695717658014923
TCGA-CZ-5988,HALLMARK_PROTEIN_SECRETION,25741.09016572229,1.0686974332494181
TCGA-B0-4712,HALLMARK_MTORC1_SIGNALING,25739.731001053922,1.0686410045673735
TCGA-B8-5164,HALLMARK_PROTEIN_SECRETION,25737.05962663876,1.0685300966391407
TCGA-B8-5162,HALLMARK_INTERFERON_ALPHA_RESPONSE,25731.110710205718,1.0682831144141582
TCGA-BP-5195,HALLMARK_TGF_BETA_SIGNALING,25730.637054895196,1.0682634495821195
TCGA-BP-5186,HALLMARK_TGF_BETA_SIGNALING,25729.337085715848,1.0682094785297542
TCGA-CJ-4641,HALLMARK_INTERFERON_ALPHA_RESPONSE,25726.594474548514,1.0680956130525712
TCGA-CJ-4637,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25722.690071793622,1.0679335132667556
TCGA-B8-5165,HALLMARK_PROTEIN_SECRETION,25712.918572451537,1.0675278281850962
TCGA-CZ-5462,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25709.26204200206,1.0673760193580109
TCGA-B0-5115,HALLMARK_TGF_BETA_SIGNALING,25707.21296796593,1.067290947585648
TCGA-BP-4970,HALLMARK_TGF_BETA_SIGNALING,25699.38046758244,1.0669657642697172
TCGA-CJ-6028,HALLMARK_PROTEIN_SECRETION,25688.64135704232,1.0665199067013036
TCGA-BP-5187,HALLMARK_TGF_BETA_SIGNALING,25675.658443110835,1.0659808927471413
TCGA-BP-4992,HALLMARK_MYC_TARGETS_V1,25671.859201175448,1.065823158941832
TCGA-BP-5010,HALLMARK_TGF_BETA_SIGNALING,25671.08265516709,1.0657909189426484
TCGA-BP-5194,HALLMARK_TGF_BETA_SIGNALING,25669.921289221493,1.065742702305469
TCGA-CZ-5468,HALLMARK_MTORC1_SIGNALING,25663.801856323655,1.065488640717993
TCGA-CJ-6027,HALLMARK_MTORC1_SIGNALING,25658.51533736089,1.0652691593669719
TCGA-B8-4153,HALLMARK_TGF_BETA_SIGNALING,25650.066586148874,1.0649183910554392
TCGA-CJ-4636,HALLMARK_TGF_BETA_SIGNALING,25643.095615549948,1.0646289760252923
TCGA-BP-5196,HALLMARK_TGF_BETA_SIGNALING,25632.16995394493,1.0641753733830317
TCGA-B8-5162,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25630.3009083785,1.064097775884767
TCGA-BP-5006,HALLMARK_TGF_BETA_SIGNALING,25605.24845043435,1.0630576685183293
TCGA-BP-4986,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25604.811575180116,1.06303953069045
TCGA-B0-5117,HALLMARK_PROTEIN_SECRETION,25602.52821058333,1.0629447318350773
TCGA-B8-A54D,HALLMARK_INTERFERON_ALPHA_RESPONSE,25600.01359490557,1.062840332087315
TCGA-BP-5189,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25593.952015831837,1.062588672427377
TCGA-CZ-4863,HALLMARK_PROTEIN_SECRETION,25593.66101115759,1.062576590734394
TCGA-BP-4972,HALLMARK_PROTEIN_SECRETION,25584.835650528603,1.0622101866625004
TCGA-BP-4970,HALLMARK_PROTEIN_SECRETION,25581.568509946366,1.06207454420401
TCGA-B0-5706,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25573.647055297337,1.0617456677579653
TCGA-CJ-4918,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,25571.432233158215,1.061653714592037
