view,initial_k,cluster_count,cluster_sizes,labels
RNA_only,8,8,"[17, 14, 27, 6, 11, 9, 9, 10]","[0, 0, 1, 0, 0, 1, 2, 3, 2, 4, 2, 0, 2, 4, 5, 2, 2, 2, 2, 2, 3, 6, 4, 2, 1, 7, 2, 3, 7, 4, 5, 7, 5, 3, 6, 5, 2, 1, 1, 7, 0, 5, 7, 6, 7, 1, 2, 2, 6, 2, 1, 1, 5, 0, 3, 3, 2, 0, 0, 7, 2, 6, 1, 1, 0, 0, 4, 2, 4, 2, 2, 6, 6, 0, 0, 2, 2, 6, 1, 1, 2, 5, 5, 5, 1, 2, 2, 1, 0, 4, 4, 6, 2, 7, 7, 2, 4, 0, 4, 4, 7, 0, 0]"
WSI_only,2,2,"[48, 55]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
WSI_only,3,3,"[45, 55, 3]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 2, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
WSI_only,4,4,"[45, 45, 10, 3]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 3, 2, 2, 0, 0, 1, 2, 0, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 3, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 0, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0]"
WSI_only,5,5,"[44, 45, 10, 3, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 3, 2, 2, 0, 0, 1, 2, 0, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 3, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 4, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 0, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0]"
WSI_only,6,6,"[44, 40, 10, 3, 4, 2]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 3, 2, 2, 0, 0, 1, 2, 0, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 3, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 0, 2, 0, 1, 1, 1, 4, 1, 4, 2, 1, 4, 4, 2, 0, 5, 0, 1, 1, 5, 0, 2, 0, 0]"
WSI_only,7,7,"[44, 32, 10, 3, 9, 4, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 3, 2, 2, 0, 0, 1, 2, 0, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 3, 4, 0, 1, 4, 0, 1, 0, 4, 0, 1, 1, 4, 4, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 1, 0, 0, 4, 0, 0, 1, 0, 3, 0, 2, 0, 4, 1, 1, 5, 1, 5, 2, 4, 5, 5, 2, 0, 6, 0, 1, 1, 1, 0, 2, 0, 0]"
WSI_only,8,8,"[41, 30, 10, 3, 10, 4, 4, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 2, 3, 2, 2, 0, 0, 1, 2, 0, 0, 1, 1, 0, 2, 1, 1, 1, 1, 0, 3, 4, 0, 1, 4, 0, 1, 5, 4, 0, 1, 1, 4, 4, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 1, 0, 0, 4, 0, 0, 1, 0, 3, 0, 2, 0, 4, 4, 1, 6, 1, 6, 2, 4, 6, 6, 2, 5, 5, 0, 1, 1, 7, 0, 2, 0, 5]"
CT_only,2,2,"[102, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
CT_only,3,3,"[36, 66, 1]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]"
CT_only,4,4,"[24, 24, 47, 8]","[0, 1, 0, 2, 2, 2, 1, 2, 1, 2, 2, 3, 1, 2, 0, 1, 1, 3, 1, 0, 2, 0, 1, 2, 2, 2, 2, 2, 0, 1, 2, 2, 1, 2, 3, 0, 0, 2, 1, 2, 1, 1, 2, 3, 0, 1, 0, 0, 0, 0, 2, 2, 3, 1, 2, 0, 2, 0, 0, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 0, 2, 3, 2, 2, 0, 3]"
CT_only,5,5,"[21, 25, 45, 10, 2]","[0, 1, 0, 0, 2, 2, 1, 2, 1, 2, 2, 3, 4, 2, 0, 1, 1, 3, 1, 0, 2, 0, 1, 2, 2, 2, 2, 2, 3, 1, 2, 2, 1, 2, 3, 0, 1, 2, 1, 2, 1, 1, 2, 3, 0, 1, 0, 0, 0, 1, 2, 4, 3, 1, 2, 0, 2, 0, 0, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0, 2, 2, 0, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 3, 2, 3, 2, 2, 0, 3]"
CT_only,6,6,"[22, 24, 31, 13, 3, 10]","[0, 1, 0, 0, 2, 2, 1, 3, 1, 2, 2, 2, 4, 1, 0, 1, 1, 2, 2, 0, 5, 0, 1, 3, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2, 1, 4, 1, 1, 3, 2, 0, 1, 0, 0, 0, 1, 2, 4, 2, 1, 3, 0, 5, 0, 0, 5, 5, 3, 0, 1, 3, 3, 5, 0, 0, 2, 3, 3, 0, 5, 2, 0, 3, 3, 0, 1, 1, 2, 5, 1, 5, 1, 1, 1, 2, 1, 5, 1, 2, 2, 2, 2, 2, 3, 2, 5, 2, 0, 2]"
CT_only,7,7,"[20, 21, 36, 3, 2, 14, 7]","[0, 1, 0, 0, 2, 2, 1, 2, 1, 2, 2, 2, 3, 1, 0, 4, 1, 2, 5, 0, 5, 0, 1, 2, 2, 2, 2, 2, 5, 1, 2, 5, 1, 2, 2, 2, 0, 2, 4, 3, 1, 1, 2, 2, 0, 1, 0, 0, 0, 1, 2, 3, 2, 1, 2, 0, 6, 0, 0, 6, 6, 2, 0, 1, 2, 2, 5, 0, 0, 5, 2, 2, 5, 6, 5, 0, 2, 2, 0, 1, 1, 2, 6, 1, 6, 1, 1, 5, 2, 1, 6, 1, 5, 2, 2, 5, 5, 2, 2, 5, 5, 0, 2]"
CT_only,8,8,"[14, 25, 6, 13, 27, 2, 10, 6]","[0, 1, 2, 2, 3, 4, 1, 3, 1, 3, 4, 4, 5, 1, 2, 1, 1, 4, 4, 0, 6, 0, 1, 4, 4, 4, 4, 3, 4, 1, 4, 6, 1, 4, 4, 4, 0, 3, 1, 3, 1, 1, 3, 4, 2, 1, 0, 0, 0, 1, 4, 5, 4, 1, 3, 0, 6, 0, 0, 7, 7, 3, 0, 1, 3, 3, 1, 2, 0, 6, 4, 4, 6, 7, 6, 2, 3, 4, 0, 1, 1, 4, 7, 1, 7, 1, 1, 1, 4, 1, 7, 1, 6, 4, 4, 6, 4, 3, 4, 6, 6, 0, 4]"
GENOMIC_only,2,2,"[46, 57]","[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]"
GENOMIC_only,3,3,"[37, 23, 43]","[0, 1, 2, 0, 2, 2, 0, 1, 0, 1, 2, 2, 2, 2, 2, 2, 0, 2, 2, 1, 1, 2, 2, 0, 0, 1, 0, 1, 0, 2, 2, 2, 2, 1, 1, 2, 0, 2, 1, 2, 0, 2, 2, 0, 0, 2, 1, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 2, 1, 1, 0, 1, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 2, 0, 2, 0, 2, 2, 0, 0, 0, 2, 2, 0, 1, 0, 2, 0, 1, 1, 2, 2, 1, 0, 2, 1, 2, 2]"
GENOMIC_only,4,4,"[34, 26, 32, 11]","[0, 1, 2, 0, 2, 2, 0, 1, 0, 1, 2, 2, 0, 2, 2, 1, 0, 2, 2, 1, 1, 0, 2, 0, 3, 1, 3, 1, 0, 2, 2, 2, 2, 1, 1, 2, 0, 1, 1, 1, 0, 2, 2, 3, 3, 2, 1, 2, 3, 0, 3, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 1, 0, 2, 3, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 3, 0, 2, 3, 2, 0, 2, 2, 0, 3, 0, 0, 2, 0, 1, 0, 2, 0, 1, 1, 0, 2, 1, 3, 2, 1, 2, 0]"
GENOMIC_only,5,5,"[35, 28, 14, 15, 11]","[0, 0, 1, 2, 1, 0, 2, 3, 0, 0, 1, 1, 0, 1, 1, 0, 2, 1, 1, 3, 3, 0, 1, 0, 4, 3, 4, 3, 0, 1, 1, 1, 1, 0, 3, 1, 0, 0, 3, 0, 0, 1, 0, 4, 4, 1, 3, 0, 4, 2, 4, 0, 2, 3, 3, 2, 0, 1, 0, 0, 2, 3, 0, 1, 4, 0, 2, 0, 2, 2, 2, 2, 1, 1, 0, 4, 2, 1, 4, 0, 0, 1, 1, 2, 4, 0, 0, 1, 0, 0, 0, 1, 0, 3, 3, 0, 1, 3, 4, 1, 3, 1, 0]"
GENOMIC_only,6,6,"[23, 26, 14, 14, 15, 11]","[0, 0, 1, 2, 1, 3, 2, 4, 0, 0, 1, 3, 3, 1, 1, 0, 2, 1, 1, 4, 4, 3, 1, 0, 5, 4, 5, 4, 0, 1, 1, 1, 1, 3, 4, 1, 0, 0, 4, 0, 0, 1, 3, 5, 5, 1, 4, 3, 5, 2, 5, 3, 2, 4, 4, 2, 3, 1, 0, 0, 2, 4, 3, 1, 5, 0, 2, 0, 2, 2, 2, 2, 1, 1, 0, 5, 2, 3, 5, 3, 0, 1, 1, 2, 5, 0, 3, 1, 0, 0, 0, 1, 0, 4, 4, 3, 1, 4, 5, 1, 4, 1, 0]"
GENOMIC_only,7,7,"[13, 23, 18, 14, 12, 12, 11]","[0, 1, 2, 3, 2, 4, 3, 1, 0, 1, 1, 1, 4, 2, 2, 1, 3, 2, 1, 5, 5, 4, 2, 0, 6, 5, 6, 5, 0, 2, 2, 2, 1, 1, 5, 2, 0, 1, 1, 1, 0, 2, 4, 6, 6, 2, 5, 4, 6, 3, 6, 4, 3, 5, 5, 3, 4, 1, 1, 1, 3, 5, 4, 2, 6, 0, 3, 0, 3, 3, 3, 3, 1, 1, 1, 6, 3, 4, 6, 4, 0, 2, 2, 3, 6, 0, 4, 2, 0, 1, 0, 1, 0, 5, 1, 4, 1, 5, 6, 2, 5, 2, 1]"
GENOMIC_only,8,8,"[11, 11, 14, 11, 18, 14, 12, 12]","[0, 1, 2, 3, 2, 4, 3, 1, 0, 1, 4, 1, 5, 5, 2, 1, 3, 2, 4, 6, 6, 5, 5, 0, 7, 6, 7, 6, 7, 2, 2, 1, 4, 1, 6, 2, 0, 4, 1, 4, 0, 2, 5, 7, 7, 2, 6, 5, 7, 4, 7, 5, 3, 6, 6, 4, 5, 4, 1, 1, 3, 6, 5, 5, 7, 0, 3, 0, 3, 3, 3, 3, 4, 4, 4, 7, 4, 5, 7, 5, 0, 2, 2, 3, 7, 0, 5, 2, 0, 4, 0, 4, 4, 6, 1, 5, 4, 6, 7, 2, 6, 2, 4]"
