feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr2q::gain,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr3p::loss,CORE01,CORE02,18,14,0.9444444444444444,0.7142857142857143,0.23015873015873012,5.0,0.67665236,36.94659412,0.14196329,1.0
chr3p::loss,CORE01,CORE03,18,11,0.9444444444444444,0.5454545454545454,0.398989898989899,9.87179487,1.31290082,74.22672952,0.01847922,1.0
chr3p::loss,CORE01,CORE04,18,11,0.9444444444444444,0.7272727272727273,0.21717171717171713,4.80392157,0.59961579,38.48741589,0.13894152,1.0
chr3p::loss,CORE01,CORE05,18,5,0.9444444444444444,0.6,0.34444444444444444,8.33333333,0.81325182,85.39107164,0.10728402,1.0
chr3p::loss,CORE02,CORE03,14,11,0.7142857142857143,0.5454545454545454,0.1688311688311689,1.97435897,0.40504693,9.6238066,0.43408265,1.0
chr3p::loss,CORE02,CORE04,14,11,0.7142857142857143,0.7272727272727273,-0.012987012987012991,0.96078431,0.18194166,5.07364003,1.0,1.0
chr3p::loss,CORE02,CORE05,14,5,0.7142857142857143,0.6,0.11428571428571432,1.66666667,0.23403537,11.86905116,1.0,1.0
chr3p::loss,CORE03,CORE04,11,11,0.5454545454545454,0.7272727272727273,-0.18181818181818188,0.48663102,0.09024794,2.62399064,0.65944272,1.0
chr3p::loss,CORE03,CORE05,11,5,0.5454545454545454,0.6,-0.054545454545454564,0.84415584,0.11645406,6.11914329,1.0,1.0
chr3p::loss,CORE04,CORE05,11,5,0.7272727272727273,0.6,0.12727272727272732,1.73469388,0.22433804,13.41352025,1.0,1.0
chr3p::gain,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr3p::gain,CORE01,CORE03,18,11,0.0,0.18181818181818182,-0.18181818181818182,0.1027027,0.00446494,2.36236897,0.13546798,1.0
chr3p::gain,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr3p::gain,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr3p::gain,CORE02,CORE03,14,11,0.0,0.18181818181818182,-0.18181818181818182,0.13103448,0.00564493,3.04167462,0.18333333,1.0
chr3p::gain,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr3p::gain,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
chr3p::gain,CORE03,CORE04,11,11,0.18181818181818182,0.0,0.18181818181818182,6.05263158,0.25790095,142.04813753,0.47619048,1.0
chr3p::gain,CORE03,CORE05,11,5,0.18181818181818182,0.0,0.18181818181818182,2.89473684,0.11648411,71.93686076,1.0,1.0
chr3p::gain,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr3q::loss,CORE01,CORE02,18,14,0.16666666666666666,0.14285714285714285,0.023809523809523808,1.12903226,0.18927923,6.73456807,1.0,1.0
chr3q::loss,CORE01,CORE03,18,11,0.16666666666666666,0.0,0.16666666666666666,5.19354839,0.24354943,110.74936361,0.26847291,1.0
chr3q::loss,CORE01,CORE04,18,11,0.16666666666666666,0.09090909090909091,0.07575757575757575,1.58064516,0.20005956,12.48847679,1.0,1.0
chr3q::loss,CORE01,CORE05,18,5,0.16666666666666666,0.0,0.16666666666666666,2.48387097,0.10980881,56.18506611,1.0,1.0
chr3q::loss,CORE02,CORE03,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
chr3q::loss,CORE02,CORE04,14,11,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.4,0.15758866,12.43744325,1.0,1.0
chr3q::loss,CORE02,CORE05,14,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,1.0,1.0
chr3q::loss,CORE03,CORE04,11,11,0.0,0.09090909090909091,-0.09090909090909091,0.30434783,0.01113364,8.31961243,1.0,1.0
chr3q::loss,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr3q::loss,CORE04,CORE05,11,5,0.09090909090909091,0.0,0.09090909090909091,1.57142857,0.05442988,45.36823621,1.0,1.0
chr3q::gain,CORE01,CORE02,18,14,0.0,0.14285714285714285,-0.14285714285714285,0.13513514,0.00596678,3.06052857,0.18346774,1.0
chr3q::gain,CORE01,CORE03,18,11,0.0,0.18181818181818182,-0.18181818181818182,0.1027027,0.00446494,2.36236897,0.13546798,1.0
chr3q::gain,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr3q::gain,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr3q::gain,CORE02,CORE03,14,11,0.14285714285714285,0.18181818181818182,-0.038961038961038974,0.76,0.1086155,5.31784127,1.0,1.0
chr3q::gain,CORE02,CORE04,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
chr3q::gain,CORE02,CORE05,14,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,1.0,1.0
chr3q::gain,CORE03,CORE04,11,11,0.18181818181818182,0.0,0.18181818181818182,6.05263158,0.25790095,142.04813753,0.47619048,1.0
chr3q::gain,CORE03,CORE05,11,5,0.18181818181818182,0.0,0.18181818181818182,2.89473684,0.11648411,71.93686076,1.0,1.0
chr3q::gain,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr4p::loss,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr4p::loss,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr4p::loss,CORE01,CORE04,18,11,0.0,0.09090909090909091,-0.09090909090909091,0.18918919,0.00705479,5.07350922,0.37931034,1.0
chr4p::loss,CORE01,CORE05,18,5,0.0,0.2,-0.2,0.08108108,0.00280967,2.33982447,0.2173913,1.0
chr4p::loss,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr4p::loss,CORE02,CORE04,14,11,0.0,0.09090909090909091,-0.09090909090909091,0.24137931,0.008923,6.52963871,0.44,1.0
chr4p::loss,CORE02,CORE05,14,5,0.0,0.2,-0.2,0.10344828,0.00355439,3.01079927,0.26315789,1.0
chr4p::loss,CORE03,CORE04,11,11,0.0,0.09090909090909091,-0.09090909090909091,0.30434783,0.01113364,8.31961243,1.0,1.0
chr4p::loss,CORE03,CORE05,11,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,1.0
chr4p::loss,CORE04,CORE05,11,5,0.09090909090909091,0.2,-0.1090909090909091,0.42857143,0.03454236,5.31733986,1.0,1.0
chr4p::gain,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr4p::gain,CORE01,CORE03,18,11,0.0,0.18181818181818182,-0.18181818181818182,0.1027027,0.00446494,2.36236897,0.13546798,1.0
chr4p::gain,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr4p::gain,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr4p::gain,CORE02,CORE03,14,11,0.0,0.18181818181818182,-0.18181818181818182,0.13103448,0.00564493,3.04167462,0.18333333,1.0
chr4p::gain,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr4p::gain,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
chr4p::gain,CORE03,CORE04,11,11,0.18181818181818182,0.0,0.18181818181818182,6.05263158,0.25790095,142.04813753,0.47619048,1.0
chr4p::gain,CORE03,CORE05,11,5,0.18181818181818182,0.0,0.18181818181818182,2.89473684,0.11648411,71.93686076,1.0,1.0
chr4p::gain,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr4q::loss,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr4q::loss,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr4q::loss,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr4q::loss,CORE01,CORE05,18,5,0.0,0.2,-0.2,0.08108108,0.00280967,2.33982447,0.2173913,1.0
chr4q::loss,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr4q::loss,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr4q::loss,CORE02,CORE05,14,5,0.0,0.2,-0.2,0.10344828,0.00355439,3.01079927,0.26315789,1.0
chr4q::loss,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
chr4q::loss,CORE03,CORE05,11,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,1.0
chr4q::loss,CORE04,CORE05,11,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,1.0
chr4q::gain,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr4q::gain,CORE01,CORE03,18,11,0.0,0.18181818181818182,-0.18181818181818182,0.1027027,0.00446494,2.36236897,0.13546798,1.0
chr4q::gain,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr4q::gain,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr4q::gain,CORE02,CORE03,14,11,0.0,0.18181818181818182,-0.18181818181818182,0.13103448,0.00564493,3.04167462,0.18333333,1.0
chr4q::gain,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr4q::gain,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
