feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
log-sigma-1-0-mm-3D_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,7.62415487,0.10635757,0.28649188,0.06711398
log-sigma-1-0-mm-3D_firstorder_Mean,5,59,18;14;11;11;5,estimable,,9.55959547,0.04853699,0.20839607,0.10295547
log-sigma-1-0-mm-3D_firstorder_Minimum,5,59,18;14;11;11;5,estimable,,4.43709932,0.35007116,0.48321789,0.00809443
log-sigma-1-0-mm-3D_firstorder_Range,5,59,18;14;11;11;5,estimable,,6.6209382,0.15732802,0.32626264,0.04853589
log-sigma-1-0-mm-3D_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,7.1896417,0.12619953,0.30873634,0.05906744
log-sigma-1-0-mm-3D_glcm_Correlation,5,59,18;14;11;11;5,estimable,,5.90296182,0.20651329,0.35703649,0.03524003
log-sigma-1-0-mm-3D_glcm_Imc1,5,59,18;14;11;11;5,estimable,,2.53358574,0.63863201,0.71526785,0.0
log-sigma-1-0-mm-3D_glcm_MCC,5,59,18;14;11;11;5,estimable,,5.0911928,0.27806788,0.42609406,0.02020727
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,5,59,18;14;11;11;5,estimable,,11.43948932,0.02204445,0.18208081,0.13776832
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,5.67693203,0.22460922,0.37386118,0.0310543
log-sigma-1-0-mm-3D_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,5.71033287,0.22185034,0.37338746,0.03167283
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,5,59,18;14;11;11;5,estimable,,9.55616993,0.04860579,0.20839607,0.10289204
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,5,59,18;14;11;11;5,estimable,,11.28799667,0.02351106,0.18208081,0.1349629
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,10.23075109,0.03671502,0.20447968,0.11538428
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,5,59,18;14;11;11;5,estimable,,8.33788686,0.07995629,0.26362408,0.08033124
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,3.32460489,0.5050433,0.58921718,0.0
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,5,59,18;14;11;11;5,estimable,,4.56668183,0.3347138,0.4728984,0.01049411
log-sigma-1-0-mm-3D_glszm_ZonePercentage,5,59,18;14;11;11;5,estimable,,5.65806785,0.22618062,0.37386118,0.03070496
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,5.02226918,0.28502016,0.42969244,0.01893091
log-sigma-1-0-mm-3D_gldm_DependenceVariance,5,59,18;14;11;11;5,estimable,,4.47714922,0.3452656,0.48321789,0.0088361
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,4.40000929,0.35456897,0.48321789,0.00740758
log-sigma-2-0-mm-3D_firstorder_10Percentile,5,59,18;14;11;11;5,estimable,,5.90963436,0.20599924,0.35703649,0.0353636
log-sigma-2-0-mm-3D_firstorder_90Percentile,5,59,18;14;11;11;5,estimable,,8.49216866,0.07512496,0.2565376,0.08318831
log-sigma-2-0-mm-3D_firstorder_Energy,5,59,18;14;11;11;5,estimable,,8.92689853,0.06295287,0.23645712,0.09123886
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,5,59,18;14;11;11;5,estimable,,7.03438257,0.13408238,0.31050656,0.05619227
log-sigma-2-0-mm-3D_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,3.40864529,0.49190426,0.58136439,0.0
log-sigma-2-0-mm-3D_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,3.45106317,0.4853582,0.58136439,0.0
log-sigma-2-0-mm-3D_firstorder_Minimum,5,59,18;14;11;11;5,estimable,,8.72610659,0.06832225,0.2432139,0.08752049
log-sigma-2-0-mm-3D_firstorder_Range,5,59,18;14;11;11;5,estimable,,7.58439797,0.10804477,0.28687749,0.06637774
log-sigma-2-0-mm-3D_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,3.91133661,0.4181381,0.52444198,0.0
log-sigma-2-0-mm-3D_glcm_Correlation,5,59,18;14;11;11;5,estimable,,7.1472967,0.12830601,0.30873634,0.05828327
log-sigma-2-0-mm-3D_glcm_Imc1,5,59,18;14;11;11;5,estimable,,9.93326045,0.04156703,0.20447968,0.10987519
log-sigma-2-0-mm-3D_glcm_MaximumProbability,5,59,18;14;11;11;5,estimable,,6.19822193,0.18482592,0.34500838,0.04070781
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,5,59,18;14;11;11;5,estimable,,13.05811627,0.01099529,0.18208081,0.16774289
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,7.41441338,0.11554306,0.29410961,0.06322988
log-sigma-2-0-mm-3D_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,13.415558,0.00941408,0.18208081,0.17436219
log-sigma-2-0-mm-3D_glrlm_RunPercentage,5,59,18;14;11;11;5,estimable,,10.647621,0.03082317,0.20136071,0.12310409
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,5,59,18;14;11;11;5,estimable,,7.75834079,0.10084252,0.28147664,0.0695989
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,5,59,18;14;11;11;5,estimable,,11.27340426,0.02365722,0.18208081,0.13469267
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,9.32538411,0.05346155,0.20839607,0.09861822
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,5,59,18;14;11;11;5,estimable,,11.47191039,0.0217423,0.18208081,0.13836871
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,7.72086922,0.10235514,0.28147664,0.06890499
log-sigma-2-0-mm-3D_gldm_DependenceVariance,5,59,18;14;11;11;5,estimable,,7.05679996,0.13291688,0.31013939,0.05660741
log-sigma-3-0-mm-3D_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,3.12368675,0.53734426,0.6175449,0.0
log-sigma-3-0-mm-3D_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,6.64027637,0.15616365,0.32626264,0.04889401
log-sigma-3-0-mm-3D_firstorder_Mean,5,59,18;14;11;11;5,estimable,,9.31290679,0.05373685,0.20839607,0.09838716
log-sigma-3-0-mm-3D_firstorder_Minimum,5,59,18;14;11;11;5,estimable,,11.07281092,0.02575779,0.18889046,0.13097798
log-sigma-3-0-mm-3D_firstorder_Range,5,59,18;14;11;11;5,estimable,,10.55377064,0.03206432,0.20154715,0.12136612
log-sigma-3-0-mm-3D_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,2.81365177,0.58947848,0.66505264,0.0
log-sigma-3-0-mm-3D_firstorder_Uniformity,5,59,18;14;11;11;5,estimable,,6.12776482,0.18980774,0.35006457,0.03940305
log-sigma-3-0-mm-3D_firstorder_Variance,5,59,18;14;11;11;5,estimable,,4.10167779,0.39242011,0.50299078,0.00188292
log-sigma-3-0-mm-3D_glcm_Correlation,5,59,18;14;11;11;5,estimable,,7.94620735,0.09356868,0.27756344,0.07307791
log-sigma-3-0-mm-3D_glcm_Idmn,5,59,18;14;11;11;5,estimable,,9.91749945,0.04184056,0.20447968,0.10958332
log-sigma-3-0-mm-3D_glcm_Imc1,5,59,18;14;11;11;5,estimable,,14.53443882,0.00577093,0.18208081,0.1950822
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,5,59,18;14;11;11;5,estimable,,11.64617654,0.0201858,0.18208081,0.14159586
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,12.46333749,0.01421868,0.18208081,0.15672847
log-sigma-3-0-mm-3D_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,14.2126133,0.0066465,0.18208081,0.18912247
log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,13.14721109,0.01057845,0.18208081,0.1693928
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,11.21626727,0.02423803,0.18208081,0.13363458
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,8.22885954,0.0835455,0.26527849,0.07831221
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,10.79808056,0.02892953,0.20136071,0.12589038
log-sigma-3-0-mm-3D_glszm_ZonePercentage,5,59,18;14;11;11;5,estimable,,3.97102796,0.40994099,0.5174665,0.0
log-sigma-3-0-mm-3D_ngtdm_Contrast,5,59,18;14;11;11;5,estimable,,6.40984714,0.17056012,0.33115005,0.0446268
log-sigma-3-0-mm-3D_ngtdm_Strength,5,59,18;14;11;11;5,estimable,,5.22622056,0.26486333,0.40993922,0.02270779
wavelet-LLH_firstorder_10Percentile,5,59,18;14;11;11;5,estimable,,3.82584636,0.43008773,0.53199607,0.0
wavelet-LLH_firstorder_Energy,5,59,18;14;11;11;5,estimable,,8.16512045,0.08571349,0.26797416,0.07713186
wavelet-LLH_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,6.77402793,0.14832267,0.32626264,0.05137089
wavelet-LLH_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,4.77875853,0.31076059,0.44960443,0.01442145
wavelet-LLH_firstorder_Mean,5,59,18;14;11;11;5,estimable,,6.49271602,0.16524991,0.32626264,0.04616141
wavelet-LLH_firstorder_Median,5,59,18;14;11;11;5,estimable,,5.68885954,0.22362058,0.37386118,0.03127518
wavelet-LLH_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,7.75440654,0.10100035,0.28147664,0.06952605
wavelet-LLH_firstorder_Variance,5,59,18;14;11;11;5,estimable,,1.34146501,0.85430214,0.88392815,0.0
wavelet-LLH_glcm_Autocorrelation,5,59,18;14;11;11;5,estimable,,2.42882285,0.65742487,0.73313006,0.0
wavelet-LLH_glcm_Correlation,5,59,18;14;11;11;5,estimable,,3.74122826,0.44215794,0.54256831,0.0
wavelet-LLH_glcm_DifferenceEntropy,5,59,18;14;11;11;5,estimable,,1.23860445,0.87170267,0.89794121,0.0
wavelet-LLH_glcm_Idn,5,59,18;14;11;11;5,estimable,,19.56504268,0.00060845,0.18208081,0.28824153
wavelet-LLH_glcm_Imc1,5,59,18;14;11;11;5,estimable,,1.79031966,0.77425295,0.82802052,0.0
wavelet-LLH_glcm_InverseVariance,5,59,18;14;11;11;5,estimable,,4.14840854,0.38629337,0.50167519,0.00274831
wavelet-LLH_glcm_JointEnergy,5,59,18;14;11;11;5,estimable,,2.10352239,0.71672529,0.78004024,0.0
wavelet-LLH_glcm_MCC,5,59,18;14;11;11;5,estimable,,2.32016044,0.67710098,0.74616058,0.0
wavelet-LLH_glrlm_LongRunEmphasis,5,59,18;14;11;11;5,estimable,,5.01924279,0.28532876,0.42969244,0.01887487
wavelet-LLH_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,4.58299411,0.33281964,0.47238917,0.01079619
wavelet-LLH_glrlm_RunLengthNonUniformity,5,59,18;14;11;11;5,estimable,,8.68363245,0.06951237,0.24329329,0.08673393
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,1.33968303,0.85460766,0.88392815,0.0
wavelet-LLH_glszm_GrayLevelNonUniformity,5,59,18;14;11;11;5,estimable,,9.4281038,0.0512457,0.20839607,0.10052044
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,7.888974,0.09573094,0.2781616,0.07201804
wavelet-LLH_glszm_LargeAreaEmphasis,5,59,18;14;11;11;5,estimable,,11.23894832,0.02400584,0.18208081,0.1340546
wavelet-LLH_glszm_SizeZoneNonUniformity,5,59,18;14;11;11;5,estimable,,9.99950155,0.04043608,0.20447968,0.11110188
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,1.59518869,0.80965662,0.85402137,0.0
wavelet-LLH_glszm_SmallAreaEmphasis,5,59,18;14;11;11;5,estimable,,5.63694035,0.22795197,0.37386118,0.03031371
wavelet-LLH_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,11.89089148,0.01818134,0.18208081,0.14612762
wavelet-LLH_gldm_DependenceEntropy,5,59,18;14;11;11;5,estimable,,7.07446621,0.13200497,0.31013939,0.05693456
wavelet-LLH_gldm_DependenceNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,9.56863355,0.04835592,0.20839607,0.10312284
wavelet-LLH_gldm_DependenceVariance,5,59,18;14;11;11;5,estimable,,4.15330839,0.38565523,0.50167519,0.00283904
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,6.90804216,0.14082831,0.31660671,0.05385263
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,17.61259276,0.00146886,0.18208081,0.25208505
wavelet-LLH_ngtdm_Strength,5,59,18;14;11;11;5,estimable,,2.9493438,0.56633807,0.64604491,0.0
wavelet-LHL_firstorder_10Percentile,5,59,18;14;11;11;5,estimable,,4.60266393,0.33054716,0.47238917,0.01116044
wavelet-LHL_firstorder_Energy,5,59,18;14;11;11;5,estimable,,6.49810453,0.16490985,0.32626264,0.0462612
wavelet-LHL_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,7.62188911,0.10645306,0.28649188,0.06707202
wavelet-LHL_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,6.09177685,0.19239836,0.35080363,0.03873661
wavelet-LHL_firstorder_Mean,5,59,18;14;11;11;5,estimable,,5.81858733,0.2131121,0.36101672,0.03367754
wavelet-LHL_firstorder_Minimum,5,59,18;14;11;11;5,estimable,,9.59478759,0.04783559,0.20839607,0.10360718
wavelet-LHL_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,1.645276,0.80063261,0.84740496,0.0
wavelet-LHL_firstorder_Variance,5,59,18;14;11;11;5,estimable,,4.08083547,0.39517648,0.50299078,0.00149695
wavelet-LHL_glcm_Correlation,5,59,18;14;11;11;5,estimable,,6.80784063,0.14639817,0.32626264,0.05199705
wavelet-LHL_glcm_Idm,5,59,18;14;11;11;5,estimable,,4.77723286,0.31092774,0.44960443,0.0143932
wavelet-LHL_glcm_Idmn,5,59,18;14;11;11;5,estimable,,12.02011202,0.01720233,0.18208081,0.14852059
wavelet-LHL_glcm_Imc1,5,59,18;14;11;11;5,estimable,,3.90603126,0.41887249,0.52444198,0.0
wavelet-LHL_glcm_Imc2,5,59,18;14;11;11;5,estimable,,3.28135153,0.51189236,0.59495414,0.0
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,11.73862646,0.01940452,0.18208081,0.1433079
wavelet-LHL_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,2.31341453,0.6783278,0.74616058,0.0
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,7.91857118,0.09460699,0.27756344,0.07256613
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,8.47021547,0.0757952,0.2565376,0.08278177
wavelet-LHL_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,6.21644043,0.18355695,0.34500838,0.04104519
wavelet-LHL_glszm_ZonePercentage,5,59,18;14;11;11;5,estimable,,5.94864823,0.20301622,0.35703649,0.03608608
wavelet-LHL_gldm_LargeDependenceEmphasis,5,59,18;14;11;11;5,estimable,,6.67338959,0.15418805,0.32626264,0.04950721
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,13.34695331,0.00969925,0.18208081,0.17309173
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,9.72443319,0.04533442,0.20839607,0.10600802
wavelet-LHL_ngtdm_Contrast,5,59,18;14;11;11;5,estimable,,9.29524543,0.05412885,0.20839607,0.0980601
wavelet-LHH_firstorder_10Percentile,5,59,18;14;11;11;5,estimable,,1.97094627,0.74110283,0.80373124,0.0
wavelet-LHH_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,4.99031966,0.2882922,0.43103882,0.01833925
wavelet-LHH_firstorder_Mean,5,59,18;14;11;11;5,estimable,,3.7116888,0.44642814,0.54563439,0.0
wavelet-LHH_firstorder_Median,5,59,18;14;11;11;5,estimable,,7.73057011,0.10196152,0.28147664,0.06908463
wavelet-LHH_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,4.41626678,0.35259185,0.48321789,0.00770864
wavelet-LHH_firstorder_Uniformity,5,59,18;14;11;11;5,estimable,,0.74967545,0.94506458,0.95749964,0.0
wavelet-LHH_glcm_ClusterShade,5,59,18;14;11;11;5,estimable,,3.43740749,0.48745927,0.58136439,0.0
wavelet-LHH_glcm_Correlation,5,59,18;14;11;11;5,estimable,,7.09603786,0.13089927,0.31013939,0.05733403
wavelet-LHH_glcm_Idmn,5,59,18;14;11;11;5,estimable,,13.22261403,0.01023776,0.18208081,0.17078915
wavelet-LHH_glcm_Imc1,5,59,18;14;11;11;5,estimable,,8.32514198,0.08036823,0.26362408,0.08009522
wavelet-LHH_glcm_Imc2,5,59,18;14;11;11;5,estimable,,5.37630836,0.25081791,0.39820575,0.02548719
wavelet-LHH_glcm_InverseVariance,5,59,18;14;11;11;5,estimable,,5.83596938,0.21173765,0.36101672,0.03399943
wavelet-LHH_glrlm_LongRunEmphasis,5,59,18;14;11;11;5,estimable,,6.68323134,0.15360527,0.32626264,0.04968947
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,8.62224961,0.07126705,0.24663204,0.08559722
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,10.60500599,0.03138089,0.20136071,0.12231493
wavelet-LHH_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,7.91812361,0.0946239,0.27756344,0.07255784
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,1.4751882,0.83102729,0.87060002,0.0
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,12.10156725,0.01661175,0.18208081,0.15002902
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,1.84110402,0.76495417,0.82562465,0.0
wavelet-LHH_glszm_SmallAreaEmphasis,5,59,18;14;11;11;5,estimable,,5.06200944,0.28099391,0.42844616,0.01966684
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,3.59725292,0.46324569,0.55952813,0.0
wavelet-LHH_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,4.78806711,0.30974234,0.44960443,0.01459384
wavelet-LHH_gldm_DependenceEntropy,5,59,18;14;11;11;5,estimable,,2.99586666,0.55851734,0.63949197,0.0
wavelet-LHH_gldm_DependenceNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,6.95126764,0.13848603,0.31432562,0.0546531
wavelet-LHH_gldm_DependenceVariance,5,59,18;14;11;11;5,estimable,,10.15098442,0.03795974,0.20447968,0.11390712
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,11.75500232,0.01926923,0.18208081,0.14361115
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,6.65384303,0.15535147,0.32626264,0.04914524
wavelet-LHH_ngtdm_Strength,5,59,18;14;11;11;5,estimable,,2.14488273,0.70913168,0.77451262,0.0
wavelet-HLL_firstorder_10Percentile,5,59,18;14;11;11;5,estimable,,5.13548316,0.27367643,0.4214617,0.02102747
wavelet-HLL_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,2.89561523,0.57544315,0.65400919,0.0
wavelet-HLL_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,2.40501431,0.66172129,0.73313006,0.0
wavelet-HLL_firstorder_Mean,5,59,18;14;11;11;5,estimable,,11.45936801,0.02185871,0.18208081,0.13813644
wavelet-HLL_firstorder_Median,5,59,18;14;11;11;5,estimable,,15.60075281,0.00360447,0.18208081,0.21482876
wavelet-HLL_firstorder_Minimum,5,59,18;14;11;11;5,estimable,,4.08060508,0.39520704,0.50299078,0.00149269
wavelet-HLL_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,1.74384817,0.78273799,0.83419827,0.0
wavelet-HLL_firstorder_Variance,5,59,18;14;11;11;5,estimable,,6.55485851,0.16136651,0.32626264,0.04731219
wavelet-HLL_glcm_Correlation,5,59,18;14;11;11;5,estimable,,3.88371316,0.42197226,0.52618403,0.0
wavelet-HLL_glcm_Idmn,5,59,18;14;11;11;5,estimable,,6.06639568,0.19424437,0.35192509,0.03826659
wavelet-HLL_glcm_Imc1,5,59,18;14;11;11;5,estimable,,4.32776139,0.3634617,0.49099212,0.00606966
wavelet-HLL_glcm_Imc2,5,59,18;14;11;11;5,estimable,,2.63599873,0.62045953,0.69745086,0.0
wavelet-HLL_glcm_MCC,5,59,18;14;11;11;5,estimable,,1.00248734,0.90941859,0.92868133,0.0
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,7.60967104,0.10696937,0.28649188,0.06684576
wavelet-HLL_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,4.80250251,0.30816871,0.44960443,0.01486116
wavelet-HLL_glrlm_RunVariance,5,59,18;14;11;11;5,estimable,,6.39082153,0.17180082,0.33115005,0.04427447
