feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr18p,CORE02,CORE03,14,11,-0.00235,0.0374,-0.04191932,0.02668856,-0.41558442,-0.84415584,0.02597403,0.08456429,1.0
chr18p,CORE02,CORE04,14,11,-0.00235,-0.00835413,-0.04191932,-0.01527087,-0.1038961,-0.55844156,0.38961039,0.68137564,1.0
chr18p,CORE02,CORE05,14,5,-0.00235,-0.0801,-0.04191932,-0.10560619,0.31428571,-0.28571429,0.82857143,0.34262126,1.0
chr18p,CORE03,CORE04,11,11,0.0374,-0.00835413,0.02668856,-0.01527087,0.20661157,-0.32231405,0.68595041,0.43057816,1.0
chr18p,CORE03,CORE05,11,5,0.0374,-0.0801,0.02668856,-0.10560619,0.63636364,0.05454545,1.0,0.05394005,1.0
chr18p,CORE04,CORE05,11,5,-0.00835413,-0.0801,-0.01527087,-0.10560619,0.45454545,-0.16363636,0.92727273,0.18040293,1.0
chr18q,CORE01,CORE02,18,14,0.0204,-0.00235,-0.00543901,-0.04071342,0.29365079,-0.14305556,0.72222222,0.16558807,1.0
chr18q,CORE01,CORE03,18,11,0.0204,0.0374,-0.00543901,0.02481762,-0.34343434,-0.76767677,0.11111111,0.13209323,1.0
chr18q,CORE01,CORE04,18,11,0.0204,0.0082302,-0.00543901,-0.01324393,0.08080808,-0.44444444,0.60631313,0.73604157,1.0
chr18q,CORE01,CORE05,18,5,0.0204,-0.0801,-0.00543901,-0.01792133,0.44444444,-0.31111111,1.0,0.15043538,1.0
chr18q,CORE02,CORE03,14,11,-0.00235,0.0374,-0.04071342,0.02481762,-0.4025974,-0.81818182,0.03896104,0.09491138,1.0
chr18q,CORE02,CORE04,14,11,-0.00235,0.0082302,-0.04071342,-0.01324393,-0.1038961,-0.55844156,0.33766234,0.68137564,1.0
chr18q,CORE02,CORE05,14,5,-0.00235,-0.0801,-0.04071342,-0.01792133,0.17142857,-0.54285714,0.8,0.62160303,1.0
chr18q,CORE03,CORE04,11,11,0.0374,0.0082302,0.02481762,-0.01324393,0.17355372,-0.33884298,0.66942149,0.51128665,1.0
chr18q,CORE03,CORE05,11,5,0.0374,-0.0801,0.02481762,-0.01792133,0.45454545,-0.30909091,1.0,0.17368455,1.0
chr18q,CORE04,CORE05,11,5,0.0082302,-0.0801,-0.01324393,-0.01792133,0.2,-0.49181818,0.81818182,0.58333333,1.0
chr19p,CORE01,CORE02,18,14,0.00871648,0.00235,0.01528301,-0.00455184,0.21428571,-0.24603175,0.64285714,0.31410215,1.0
chr19p,CORE01,CORE03,18,11,0.00871648,0.01945623,0.01528301,0.0602316,-0.36363636,-0.74747475,0.07070707,0.11057671,1.0
chr19p,CORE01,CORE04,18,11,0.00871648,0.028,0.01528301,0.04512336,-0.46464646,-0.84848485,-0.01010101,0.04084767,1.0
chr19p,CORE01,CORE05,18,5,0.00871648,0.01539647,0.01528301,-0.01292696,0.04444444,-0.62222222,0.73333333,0.91384588,1.0
chr19p,CORE02,CORE03,14,11,0.00235,0.01945623,-0.00455184,0.0602316,-0.42857143,-0.79220779,0.0,0.07520551,1.0
chr19p,CORE02,CORE04,14,11,0.00235,0.028,-0.00455184,0.04512336,-0.57142857,-0.92207792,-0.14285714,0.01724685,1.0
chr19p,CORE02,CORE05,14,5,0.00235,0.01539647,-0.00455184,-0.01292696,-0.05714286,-0.715,0.6,0.89318885,1.0
chr19p,CORE03,CORE04,11,11,0.01945623,0.028,0.0602316,0.04512336,-0.10743802,-0.61983471,0.38842975,0.69358837,1.0
chr19p,CORE03,CORE05,11,5,0.01945623,0.01539647,0.0602316,-0.01292696,0.30909091,-0.38181818,0.85454545,0.37728938,1.0
chr19p,CORE04,CORE05,11,5,0.028,0.01539647,0.04512336,-0.01292696,0.49090909,-0.16363636,1.0,0.14514652,1.0
chr19q,CORE01,CORE02,18,14,0.0061,0.01780499,0.01207942,0.05343576,-0.12698413,-0.55575397,0.31746032,0.55599792,1.0
chr19q,CORE01,CORE03,18,11,0.0061,0.0194,0.01207942,0.06077666,-0.45454545,-0.81818182,-0.02020202,0.04548663,1.0
chr19q,CORE01,CORE04,18,11,0.0061,0.0651,0.01207942,0.06311489,-0.68686869,-0.95959596,-0.3030303,0.00241415,1.0
chr19q,CORE01,CORE05,18,5,0.0061,0.0272,0.01207942,0.05446352,-0.64444444,-0.93333333,-0.24444444,0.0302535,1.0
chr19q,CORE02,CORE03,14,11,0.01780499,0.0194,0.05343576,0.06077666,-0.18181818,-0.62337662,0.28571429,0.45987298,1.0
chr19q,CORE02,CORE04,14,11,0.01780499,0.0651,0.05343576,0.06311489,-0.42857143,-0.83116883,0.01298701,0.07520551,1.0
chr19q,CORE02,CORE05,14,5,0.01780499,0.0272,0.05343576,0.05446352,-0.37142857,-0.82857143,0.17142857,0.25662195,1.0
chr19q,CORE03,CORE04,11,11,0.0194,0.0651,0.06077666,0.06311489,-0.23966942,-0.75206612,0.27272727,0.35793337,1.0
chr19q,CORE03,CORE05,11,5,0.0194,0.0272,0.06077666,0.05446352,-0.12727273,-0.67363636,0.49090909,0.74267399,1.0
chr19q,CORE04,CORE05,11,5,0.0651,0.0272,0.06311489,0.05446352,0.12727273,-0.52727273,0.81818182,0.74267399,1.0
chr20p,CORE01,CORE02,18,14,0.0023,0.09635,-0.00381467,0.1404874,-0.58730159,-0.9047619,-0.18253968,0.00523364,0.0523364
chr20p,CORE01,CORE03,18,11,0.0023,0.0228,-0.00381467,0.075617,-0.45454545,-0.81818182,-0.05050505,0.04546004,0.40914036
chr20p,CORE01,CORE04,18,11,0.0023,0.057,-0.00381467,0.04735735,-0.38383838,-0.82828283,0.1010101,0.0918522,0.7348176
chr20p,CORE01,CORE05,18,5,0.0023,0.02092834,-0.00381467,0.01140415,-0.22222222,-0.86666667,0.46666667,0.47878184,1.0
chr20p,CORE02,CORE03,14,11,0.09635,0.0228,0.1404874,0.075617,0.27272727,-0.18181818,0.7012987,0.26174755,1.0
chr20p,CORE02,CORE04,14,11,0.09635,0.057,0.1404874,0.04735735,0.32467532,-0.12987013,0.71428571,0.17983936,1.0
chr20p,CORE02,CORE05,14,5,0.09635,0.02092834,0.1404874,0.01140415,0.37142857,-0.14285714,0.8,0.25662195,1.0
chr20p,CORE03,CORE04,11,11,0.0228,0.057,0.075617,0.04735735,-0.09090909,-0.60330579,0.40495868,0.7426659,1.0
chr20p,CORE03,CORE05,11,5,0.0228,0.02092834,0.075617,0.01140415,0.12727273,-0.6,0.74636364,0.74267399,1.0
chr20p,CORE04,CORE05,11,5,0.057,0.02092834,0.04735735,0.01140415,0.09090909,-0.6,0.74545455,0.82692308,1.0
chr20q,CORE01,CORE02,18,14,0.0059,0.15758429,0.01399909,0.2149627,-0.6984127,-0.96825397,-0.35714286,0.00088687,0.0088687
chr20q,CORE01,CORE03,18,11,0.0059,0.0228,0.01399909,0.05881922,-0.39393939,-0.76792929,0.06060606,0.08351252,0.75161268
chr20q,CORE01,CORE04,18,11,0.0059,0.057,0.01399909,0.06008132,-0.63636364,-0.93939394,-0.25252525,0.00496167,0.75161268
chr20q,CORE01,CORE05,18,5,0.0059,0.099,0.01399909,0.08757692,-0.55555556,-1.0,0.06666667,0.06776393,0.75161268
chr20q,CORE02,CORE03,14,11,0.15758429,0.0228,0.2149627,0.05881922,0.44155844,-0.01298701,0.81818182,0.06666085,0.75161268
chr20q,CORE02,CORE04,14,11,0.15758429,0.057,0.2149627,0.06008132,0.38961039,-0.07792208,0.76655844,0.10631627,0.75161268
chr20q,CORE02,CORE05,14,5,0.15758429,0.099,0.2149627,0.08757692,0.34285714,-0.2,0.77142857,0.29755762,1.0
chr20q,CORE03,CORE04,11,11,0.0228,0.057,0.05881922,0.06008132,-0.30578512,-0.76859504,0.19008264,0.23721753,1.0
chr20q,CORE03,CORE05,11,5,0.0228,0.099,0.05881922,0.08757692,-0.09090909,-0.81818182,0.63727273,0.82692308,1.0
chr20q,CORE04,CORE05,11,5,0.057,0.099,0.06008132,0.08757692,-0.16363636,-0.92727273,0.63636364,0.66117216,1.0
chr21q,CORE01,CORE02,18,14,0.00887159,0.0156244,-0.0033925,0.04147789,-0.15873016,-0.55575397,0.26210317,0.45884883,1.0
chr21q,CORE01,CORE03,18,11,0.00887159,0.0115,-0.0033925,-0.05623791,0.05050505,-0.39393939,0.51540404,0.8397135,1.0
chr21q,CORE01,CORE04,18,11,0.00887159,0.0334,-0.0033925,0.03534391,-0.34848485,-0.76767677,0.14141414,0.12641956,1.0
chr21q,CORE01,CORE05,18,5,0.00887159,-0.01162541,-0.0033925,-0.05683453,0.4,-0.28888889,0.93333333,0.19893608,1.0
chr21q,CORE02,CORE03,14,11,0.0156244,0.0115,0.04147789,-0.05623791,0.20779221,-0.28571429,0.63636364,0.39613408,1.0
chr21q,CORE02,CORE04,14,11,0.0156244,0.0334,0.04147789,0.03534391,-0.1038961,-0.55844156,0.36363636,0.68137564,1.0
chr21q,CORE02,CORE05,14,5,0.0156244,-0.01162541,0.04147789,-0.05683453,0.34285714,-0.28571429,0.88571429,0.29755762,1.0
chr21q,CORE03,CORE04,11,11,0.0115,0.0334,-0.05623791,0.03534391,-0.37190083,-0.80165289,0.10743802,0.14856177,1.0
chr21q,CORE03,CORE05,11,5,0.0115,-0.01162541,-0.05623791,-0.05683453,0.23636364,-0.41818182,0.81818182,0.50961538,1.0
