gene_name,mad
ST14,0.9728514843926641
MT1F,0.9725468139609057
QRFPR,0.9720072665629358
SCG2,0.9715610547245946
STEAP4,0.9707638756428181
KRT80,0.9703699330459048
PTPRB,0.9698044607785619
ST8SIA6,0.969696156506744
EGR3,0.969384668840934
ANKS4B,0.9690385260471541
GPR34,0.96873977911737
TMEM38B,0.9682184333673249
FCN3,0.9675835121823679
KRT7,0.9672194088213315
CCDC3,0.9670864976500915
FRMD3,0.9658604183063271
KDR,0.9646026794361111
FMO1,0.9633803213951069
CDHR5,0.9631126915730865
ESRRG,0.9627381536697455
SLC1A1,0.9622566504620993
KLF15,0.9621297166924405
H2AC8,0.9607391291552463
CD8A,0.960617048012522
PPP1R16B,0.9604994313851511
PODXL,0.9604073138783971
CBLN4,0.9603004833721971
INMT,0.960040740097575
LEF1,0.9596274537526273
GJB1,0.9595729651989942
FAM183A,0.9589577671880078
MMP24,0.9584467183465231
TMEM88,0.9576068331975076
MZB1,0.9575849882282361
POU5F1,0.9571718543232768
ADAM12,0.9567662633066153
DSG2,0.9566633017643618
SUCNR1,0.9562677364154943
C21orf62,0.9561699929072461
PNMA2,0.9559094380257909
CDH13,0.9558423025903839
CCN2,0.9554861011779723
KMO,0.9545749469674749
SEMA3G,0.9539768513295108
PBLD,0.953860027996372
KL,0.9536195946976198
SCNN1A,0.953410967195294
LOX,0.9530626528892574
GOLGA8B,0.952653900833603
FREM2,0.952124980824018
RNF180,0.9518612022520054
H3C10,0.9516551673290037
EDN1,0.951400995427325
RASD1,0.9500862443499036
OCLN,0.9498482817803645
GPC3,0.9487040953892198
NPNT,0.9480913090787313
RIPOR3,0.9472975160092139
PRSS8,0.9472427865974327
CCL3L3,0.9470417660149124
SULT1C4,0.9457724196871924
TOX3,0.945763633488073
ACTC1,0.9450183521899094
KLF9,0.944786117335247
EPO,0.9428581068083606
ARG2,0.9426670821559551
NAP1L2,0.9424707019917904
CCN3,0.9422739779701912
SLIT3,0.9420781142739849
ETNK2,0.9411357362907427
CPA3,0.9408836979688746
PODXL2,0.9406257683003414
SCG5,0.9405900679260539
CD70,0.9396560643569236
GALNT9,0.9393533567829533
PRRX1,0.938258473111298
NID2,0.9381118217531199
DNAH11,0.9379692165025832
RAB3IP,0.937494494292566
FIBIN,0.936042920719081
PKP1,0.9353381853074147
TAL2,0.9352822020869596
PDCD1,0.9350621593654749
FHL5,0.9336380761884673
TMPRSS3,0.9327486381224739
PAIP2B,0.9327373592234465
RNASET2,0.9326040713299433
ADAMTS4,0.9323657695382974
VCAM1,0.9314986628555788
GPIHBP1,0.9310958576246255
HLF,0.9307254900657171
MEST,0.9306683476797208
CLEC3B,0.9304431259229462
SLC6A8,0.9294925727268417
CASQ2,0.9291820976566352
CXCL5,0.9290340260804015
NGFR,0.9286212154457854
MUC1,0.9284926880751261
CCL4L2,0.9284230852217066
CCND1,0.9281419826017014
GBP5,0.9280968499821038
FOXQ1,0.9279774589221192
NTN4,0.927038568385619
VSIG4,0.9269662666449072
TMEM150C,0.9261770259149955
SLC1A3,0.9259695122525797
IRX5,0.92595772036003
KRTCAP3,0.9257180307244006
SLC22A3,0.9253705660707836
PLPP2,0.9251665338755966
C1S,0.9245925239157486
ZBTB16,0.9242137606159706
NLRP6,0.9238218665270284
DSEL,0.9230554150395256
SLAMF7,0.9229968726156947
LTBP4,0.9209138185302352
SYNPO2,0.919590914070676
ITGB6,0.9193921548047106
HOXD4,0.9188245525852103
GFPT2,0.9187493535727986
NRCAM,0.9178097345706906
MXRA5,0.9171384381092968
FRAS1,0.916996214997492
H2AC13,0.9169494889818437
RBP7,0.9165428977193057
GPC4,0.9160032753896408
APOD,0.9152342222441527
CLDN7,0.9149042828126941
CPE,0.9141990065925443
TRNP1,0.9141959243054771
CGNL1,0.913973709067271
MRC1,0.9138954380312394
DAO,0.913788248913756
PDE2A,0.9136306592693435
CYP8B1,0.9130752116610104
OLFML2B,0.9126734599923418
CX3CR1,0.9124792139435947
ATP11A,0.9123895879609449
FOLR1,0.9119465585997126
FILIP1L,0.9112589854608544
TREH,0.9107837919893658
SERPINA1,0.9107564669530852
CYBB,0.9104156493826041
ATP2B2,0.9103633872003873
DSP,0.9101650653520101
ADORA1,0.9089785698496637
MAPK8IP3,0.9086876450095174
SMIM24,0.9083873358725185
AGMO,0.908070942530772
VWF,0.9076775608349106
TRPM3,0.9075064647223112
RGS5,0.9073759357865541
HRCT1,0.9070458967661064
EGR2,0.9070276961623196
H2BC8,0.9070245374524246
PF4V1,0.9066353642870406
APOC1,0.9058941062433554
OLFML2A,0.9044988918578687
DUSP2,0.9041160148941398
MBNL3,0.9035472367540542
PLN,0.9024088944101178
CXCL10,0.9014986427013056
FOXJ3,0.9013069086022627
MYH11,0.9009450949572217
MYOM3,0.9005806627276121
NT5E,0.9005769464385596
COL12A1,0.9001018638622238
EMP1,0.9000571420231545
FOXP2,0.8997743429336091
FRZB,0.89975190937239
MOGAT3,0.8991312313548929
MGP,0.8988602948335638
SLITRK4,0.8986061800192395
ATP1A2,0.8984825361064248
METTL27,0.8979201404447026
SLC7A9,0.897600550646569
GPR143,0.8973090326839153
ANKRD33B,0.8971689115751182
LGALS12,0.8970735323904441
PBX1,0.8961470722511187
ST8SIA4,0.8957963518542282
PTPN20,0.8951551507203684
FAM189A1,0.8950036590678729
TMCC3,0.8949182047913737
FAM131C,0.8944847677314445
FCER1A,0.8943765496725491
LHFPL6,0.8938500524432706
STUM,0.8927618921559555
SLCO4C1,0.8924203373659978
MMP2,0.8923484947598128
HOXB8,0.8921375598765953
IL17RD,0.8920884185529068
ASPN,0.8920128510364838
RERGL,0.8919650180295542
MALL,0.8918014050100198
CHI3L2,0.8916141588094659
MARVELD2,0.8916004387839203
PRND,0.8913395213412605
FBLN1,0.8896055823963627
RAP1GAP,0.8894944236797784
RHOBTB3,0.8892826693241354
CYP2C8,0.8891572916730548
SMTNL2,0.8887735714729854
PCSK6,0.8885809659825781
SLC22A2,0.8881772729862485
S1PR1,0.8878917636967696
ARHGAP5,0.8878279840764476
CLIP4,0.8878154772826596
GZMK,0.8878088986248094
PPFIA4,0.8877774579075304
HSPG2,0.8876095163316124
EPHA3,0.8870207142114661
CABP1,0.886143881638854
PLA2G7,0.8860400324824553
PKHD1,0.8857648804540967
GRM8,0.8850395398324888
KIF26A,0.8850253174010976
NR4A3,0.8849989057671628
ZNF366,0.8848268599425324
ANTXR1,0.8843808014427665
MAL2,0.8839650939932655
ATP1B2,0.883913018922053
F5,0.8836802411693285
CRTAC1,0.8830233796968203
CADM3,0.8825911617581177
EPS8L3,0.8825246924738014
AHNAK2,0.8824091632939766
C1QL3,0.8823963165205977
TRIM54,0.8822858824761728
ADH6,0.8818104807853988
SULT1C2,0.8812478072501371
EPAS1,0.8811602537373018
SELENOP,0.880989446126482
PAH,0.880057784843167
RASGEF1A,0.8800471674393249
FOXS1,0.8795184469771389
MEDAG,0.8789298556686789
NGEF,0.8788887373186061
