feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
log-sigma-3-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,11.77213059,0.00820594,0.06166137,0.13495586
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,8.65283853,0.03428106,0.12136283,0.08696675
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,4,69,17;14;14;24,estimable,,3.19071194,0.36314542,0.51543221,0.00293403
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,4,69,17;14;14;24,estimable,,14.69395062,0.00209778,0.03731232,0.17990693
log-sigma-3-0-mm-3D_glszm_ZonePercentage,4,69,17;14;14;24,estimable,,6.78103937,0.07921412,0.17781922,0.05816984
log-sigma-3-0-mm-3D_ngtdm_Contrast,4,69,17;14;14;24,estimable,,10.59807836,0.01411012,0.07358099,0.11689351
log-sigma-3-0-mm-3D_ngtdm_Strength,4,69,17;14;14;24,estimable,,11.3218122,0.01010711,0.06531559,0.12802788
wavelet-LLH_firstorder_10Percentile,4,69,17;14;14;24,estimable,,5.02851923,0.1697207,0.29105345,0.03120799
wavelet-LLH_firstorder_Energy,4,69,17;14;14;24,estimable,,1.6008212,0.65920363,0.76042966,0.0
wavelet-LLH_firstorder_Kurtosis,4,69,17;14;14;24,estimable,,1.48820572,0.68499511,0.76620661,0.0
wavelet-LLH_firstorder_Maximum,4,69,17;14;14;24,estimable,,2.41913722,0.49008218,0.63987183,0.0
wavelet-LLH_firstorder_Mean,4,69,17;14;14;24,estimable,,0.41830906,0.93643484,0.94564567,0.0
wavelet-LLH_firstorder_Median,4,69,17;14;14;24,estimable,,0.25950902,0.96745471,0.96745471,0.0
wavelet-LLH_firstorder_Skewness,4,69,17;14;14;24,estimable,,3.66227534,0.30031735,0.45120851,0.01018885
wavelet-LLH_firstorder_Variance,4,69,17;14;14;24,estimable,,2.9745359,0.39556793,0.54634494,0.0
wavelet-LLH_glcm_Autocorrelation,4,69,17;14;14;24,estimable,,2.36571846,0.50004802,0.64712097,0.0
wavelet-LLH_glcm_Correlation,4,69,17;14;14;24,estimable,,8.36304261,0.03907535,0.13050344,0.08250835
wavelet-LLH_glcm_DifferenceEntropy,4,69,17;14;14;24,estimable,,4.78372479,0.18833639,0.31525874,0.02744192
wavelet-LLH_glcm_Idn,4,69,17;14;14;24,estimable,,6.80634248,0.07833325,0.17781922,0.05855912
wavelet-LLH_glcm_Imc1,4,69,17;14;14;24,estimable,,6.08080798,0.10774425,0.20682072,0.04739705
wavelet-LLH_glcm_InverseVariance,4,69,17;14;14;24,estimable,,7.10698801,0.06856476,0.16473855,0.06318443
wavelet-LLH_glcm_JointEnergy,4,69,17;14;14;24,estimable,,6.99245959,0.0721385,0.16960808,0.06142246
wavelet-LLH_glcm_MCC,4,69,17;14;14;24,estimable,,6.67294396,0.08308594,0.18021457,0.05650683
