feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr3q::gain,STATE_A,STATE_B,17,14,0.0,0.14285714285714285,-0.14285714285714285,0.14285714,0.00629576,3.24157221,0.19569892,1.0
chr3q::gain,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr3q::gain,STATE_A,STATE_D,17,24,0.0,0.041666666666666664,-0.041666666666666664,0.44761905,0.01718428,11.65965919,1.0,1.0
chr3q::gain,STATE_B,STATE_C,14,14,0.14285714285714285,0.0,0.14285714285714285,5.8,0.25375751,132.56750642,0.48148148,1.0
chr3q::gain,STATE_B,STATE_D,14,24,0.14285714285714285,0.041666666666666664,0.10119047619047619,3.13333333,0.36960914,26.56259461,0.54196302,1.0
chr3q::gain,STATE_C,STATE_D,14,24,0.0,0.041666666666666664,-0.041666666666666664,0.54022989,0.02059583,14.17026576,1.0,1.0
chr4p::loss,STATE_A,STATE_B,17,14,0.0,0.07142857142857142,-0.07142857142857142,0.25714286,0.00969068,6.82330589,0.4516129,1.0
chr4p::loss,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr4p::loss,STATE_A,STATE_D,17,24,0.0,0.125,-0.125,0.1755102,0.00848255,3.63143615,0.25365854,1.0
chr4p::loss,STATE_B,STATE_C,14,14,0.07142857142857142,0.0,0.07142857142857142,3.22222222,0.12059521,86.09559299,1.0,1.0
chr4p::loss,STATE_B,STATE_D,14,24,0.07142857142857142,0.125,-0.053571428571428575,0.68253968,0.08961944,5.19820733,1.0,1.0
chr4p::loss,STATE_C,STATE_D,14,24,0.0,0.125,-0.125,0.21182266,0.0101612,4.41570132,0.28307255,1.0
chr4p::gain,STATE_A,STATE_B,17,14,0.0,0.14285714285714285,-0.14285714285714285,0.14285714,0.00629576,3.24157221,0.19569892,1.0
chr4p::gain,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr4p::gain,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr4p::gain,STATE_B,STATE_C,14,14,0.14285714285714285,0.0,0.14285714285714285,5.8,0.25375751,132.56750642,0.48148148,1.0
chr4p::gain,STATE_B,STATE_D,14,24,0.14285714285714285,0.0,0.14285714285714285,9.8,0.43625643,220.14575271,0.12944523,1.0
chr4p::gain,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr4q::loss,STATE_A,STATE_B,17,14,0.0,0.07142857142857142,-0.07142857142857142,0.25714286,0.00969068,6.82330589,0.4516129,1.0
chr4q::loss,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr4q::loss,STATE_A,STATE_D,17,24,0.0,0.08333333333333333,-0.08333333333333333,0.25714286,0.0115839,5.70813464,0.50243902,1.0
chr4q::loss,STATE_B,STATE_C,14,14,0.07142857142857142,0.0,0.07142857142857142,3.22222222,0.12059521,86.09559299,1.0,1.0
chr4q::loss,STATE_B,STATE_D,14,24,0.07142857142857142,0.08333333333333333,-0.011904761904761904,1.0,0.11838921,8.44671604,1.0,1.0
chr4q::loss,STATE_C,STATE_D,14,24,0.0,0.08333333333333333,-0.08333333333333333,0.31034483,0.01387865,6.93971924,0.52204836,1.0
chr4q::gain,STATE_A,STATE_B,17,14,0.0,0.14285714285714285,-0.14285714285714285,0.14285714,0.00629576,3.24157221,0.19569892,1.0
chr4q::gain,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr4q::gain,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr4q::gain,STATE_B,STATE_C,14,14,0.14285714285714285,0.0,0.14285714285714285,5.8,0.25375751,132.56750642,0.48148148,1.0
chr4q::gain,STATE_B,STATE_D,14,24,0.14285714285714285,0.0,0.14285714285714285,9.8,0.43625643,220.14575271,0.12944523,1.0
chr4q::gain,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr5p::loss,STATE_A,STATE_B,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr5p::loss,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr5p::loss,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr5p::loss,STATE_B,STATE_C,14,14,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
chr5p::loss,STATE_B,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr5p::loss,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr5p::gain,STATE_A,STATE_B,17,14,0.35294117647058826,0.14285714285714285,0.2100840336134454,2.82608696,0.53518174,14.92346771,0.23990607,1.0
chr5p::gain,STATE_A,STATE_C,17,14,0.35294117647058826,0.21428571428571427,0.13865546218487398,1.85714286,0.40006752,8.62099365,0.45640341,1.0
chr5p::gain,STATE_A,STATE_D,17,24,0.35294117647058826,0.2916666666666667,0.06127450980392157,1.31884058,0.36406794,4.77751617,0.74170971,1.0
chr5p::gain,STATE_B,STATE_C,14,14,0.14285714285714285,0.21428571428571427,-0.07142857142857142,0.65714286,0.1075584,4.01490466,1.0,1.0
chr5p::gain,STATE_B,STATE_D,14,24,0.14285714285714285,0.2916666666666667,-0.14880952380952384,0.46666667,0.09375791,2.32276692,0.4384484,1.0
chr5p::gain,STATE_C,STATE_D,14,24,0.21428571428571427,0.2916666666666667,-0.07738095238095241,0.71014493,0.16314248,3.09119875,0.71499688,1.0
chr5q::loss,STATE_A,STATE_B,17,14,0.0,0.07142857142857142,-0.07142857142857142,0.25714286,0.00969068,6.82330589,0.4516129,1.0
chr5q::loss,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr5q::loss,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr5q::loss,STATE_B,STATE_C,14,14,0.07142857142857142,0.0,0.07142857142857142,3.22222222,0.12059521,86.09559299,1.0,1.0
chr5q::loss,STATE_B,STATE_D,14,24,0.07142857142857142,0.0,0.07142857142857142,5.44444444,0.20715408,143.09143826,0.36842105,1.0
chr5q::loss,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr5q::gain,STATE_A,STATE_B,17,14,0.5882352941176471,0.14285714285714285,0.44537815126050423,7.0,1.34453352,36.44386654,0.02446841,0.14681046
chr5q::gain,STATE_A,STATE_C,17,14,0.5882352941176471,0.42857142857142855,0.15966386554621853,1.83076923,0.45781841,7.32105981,0.47948776,1.0
chr5q::gain,STATE_A,STATE_D,17,24,0.5882352941176471,0.4166666666666667,0.1715686274509804,1.93333333,0.56602275,6.60358225,0.3498867,1.0
chr5q::gain,STATE_B,STATE_C,14,14,0.14285714285714285,0.42857142857142855,-0.2857142857142857,0.26153846,0.04782185,1.43035799,0.20869565,1.0
chr5q::gain,STATE_B,STATE_D,14,24,0.14285714285714285,0.4166666666666667,-0.27380952380952384,0.27619048,0.0572799,1.33172684,0.147091,1.0
chr5q::gain,STATE_C,STATE_D,14,24,0.42857142857142855,0.4166666666666667,0.011904761904761862,1.05602241,0.28960587,3.85069314,1.0,1.0
chr6p::loss,STATE_A,STATE_B,17,14,0.0,0.2857142857142857,-0.2857142857142857,0.06666667,0.0032524,1.36651036,0.03181313,0.19087878
chr6p::loss,STATE_A,STATE_C,17,14,0.0,0.14285714285714285,-0.14285714285714285,0.14285714,0.00629576,3.24157221,0.19569892,0.9784946
chr6p::loss,STATE_A,STATE_D,17,24,0.0,0.08333333333333333,-0.08333333333333333,0.25714286,0.0115839,5.70813464,0.50243902,1.0
chr6p::loss,STATE_B,STATE_C,14,14,0.2857142857142857,0.14285714285714285,0.14285714285714285,2.14285714,0.37226386,12.33489789,0.64830918,1.0
chr6p::loss,STATE_B,STATE_D,14,24,0.2857142857142857,0.08333333333333333,0.20238095238095238,3.85714286,0.69704762,21.34366504,0.16732212,1.0
chr6p::loss,STATE_C,STATE_D,14,24,0.14285714285714285,0.08333333333333333,0.05952380952380952,1.8,0.27342859,11.84952914,0.61612138,1.0
chr6p::gain,STATE_A,STATE_B,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr6p::gain,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr6p::gain,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr6p::gain,STATE_B,STATE_C,14,14,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
chr6p::gain,STATE_B,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr6p::gain,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr6q::loss,STATE_A,STATE_B,17,14,0.0,0.21428571428571427,-0.21428571428571427,0.09387755,0.00442279,1.99263221,0.08097887,0.48587322
chr6q::loss,STATE_A,STATE_C,17,14,0.0,0.35714285714285715,-0.35714285714285715,0.04935065,0.00245474,0.99215505,0.01178264,0.48587322
chr6q::loss,STATE_A,STATE_D,17,24,0.0,0.125,-0.125,0.1755102,0.00848255,3.63143615,0.25365854,1.0
chr6q::loss,STATE_B,STATE_C,14,14,0.21428571428571427,0.35714285714285715,-0.14285714285714288,0.5256917,0.10698647,2.58305332,0.67761675,1.0
chr6q::loss,STATE_B,STATE_D,14,24,0.21428571428571427,0.125,0.08928571428571427,1.86956522,0.36064059,9.69184881,0.64973642,1.0
chr6q::loss,STATE_C,STATE_D,14,24,0.35714285714285715,0.125,0.23214285714285715,3.55639098,0.76056261,16.6296853,0.11659122,1.0
chr6q::gain,STATE_A,STATE_B,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr6q::gain,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr6q::gain,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr6q::gain,STATE_B,STATE_C,14,14,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
chr6q::gain,STATE_B,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr6q::gain,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr7p::loss,STATE_A,STATE_B,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr7p::loss,STATE_A,STATE_C,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
chr7p::loss,STATE_A,STATE_D,17,24,0.0,0.0,0.0,1.4,0.02648339,74.00864446,1.0,1.0
chr7p::loss,STATE_B,STATE_C,14,14,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
chr7p::loss,STATE_B,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr7p::loss,STATE_C,STATE_D,14,24,0.0,0.0,0.0,1.68965517,0.03178043,89.83309577,1.0,1.0
chr7p::gain,STATE_A,STATE_B,17,14,0.058823529411764705,0.2857142857142857,-0.22689075630252098,0.21212121,0.02861122,1.57264888,0.14835414,0.89012484
chr7p::gain,STATE_A,STATE_C,17,14,0.058823529411764705,0.14285714285714285,-0.08403361344537814,0.45454545,0.05275872,3.91615975,0.57641824,1.0
chr7p::gain,STATE_A,STATE_D,17,24,0.058823529411764705,0.20833333333333334,-0.14950980392156865,0.32231405,0.04721697,2.20019075,0.37250611,1.0
chr7p::gain,STATE_B,STATE_C,14,14,0.2857142857142857,0.14285714285714285,0.14285714285714285,2.14285714,0.37226386,12.33489789,0.64830918,1.0
chr7p::gain,STATE_B,STATE_D,14,24,0.2857142857142857,0.20833333333333334,0.07738095238095236,1.51948052,0.35489017,6.5057341,0.69945125,1.0
chr7p::gain,STATE_C,STATE_D,14,24,0.14285714285714285,0.20833333333333334,-0.0654761904761905,0.70909091,0.13548441,3.71120122,1.0,1.0
chr7q::loss,STATE_A,STATE_B,17,14,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
